session_id,agent_id,session_date,logged_hours,productive_hours
S00000055,AG0006,2025-09-01,7.62,4.93
S00000056,AG0006,2025-09-18,6.44,4.37
S00000057,AG0006,2025-09-18,5.96,5.35
S00000058,AG0007,2025-09-13,6.01,6.75
S00000059,AG0007,2025-09-18,6.0,5.58
S00000060,AG0007,2025-09-07,5.83,5.65
S00000061,AG0007,2025-09-07,6.01,3.38
S00000062,AG0007,2025-09-09,6.73,5.17
S00000063,AG0007,2025-09-10,7.44,5.26
S00000064,AG0007,2025-09-21,6.28,7.17
S00000065,AG0007,2025-09-19,5.61,4.0
S00000066,AG0007,2025-09-22,9.2,4.1
S00000067,AG0007,2025-09-26,6.97,5.0
S00000068,AG0007,2025-09-15,4.84,6.21
S00000069,AG0007,2025-09-04,6.65,5.87
S00000070,AG0007,2025-09-18,6.73,4.39
S00000071,AG0008,2025-09-11,6.63,4.64
S00000072,AG0008,2025-09-16,5.92,6.09
S00000073,AG0008,2025-09-14,6.27,3.8
S00000074,AG0008,2025-09-12,6.86,5.3
S00000075,AG0008,2025-09-08,5.27,4.03
S00000076,AG0008,2025-09-08,7.79,4.17
S00000077,AG0008,2025-09-05,7.14,4.38
S00000078,AG0008,2025-09-18,7.44,6.02
S00000079,AG0009,2025-09-03,6.03,6.07
S00000080,AG0009,2025-09-26,3.27,6.13
S00000081,AG0009,2025-09-08,7.81,4.61
S00000082,AG0009,2025-09-09,5.93,7.3
S00000083,AG0009,2025-09-02,6.62,5.46
S00000084,AG0009,2025-09-08,5.63,2.83
S00000085,AG0010,2025-09-01,6.31,6.59
S00000086,AG0010,2025-09-10,8.11,6.9
S00000087,AG0010,2025-09-10,8.47,5.09
S00000088,AG0010,2025-09-14,7.47,5.25
S00000089,AG0010,2025-09-05,6.19,5.33
S00000090,AG0010,2025-09-20,6.76,6.63
S00000091,AG0010,2025-09-10,7.18,6.08
S00000092,AG0010,2025-09-09,6.06,5.94
S00000093,AG0010,2025-09-06,9.0,5.42
S00000094,AG0010,2025-09-03,6.64,6.7
S00000095,AG0010,2025-09-05,6.35,4.96
S00000096,AG0010,2025-09-02,7.2,5.36
S00000097,AG0011,2025-09-16,5.04,5.12
S00000098,AG0011,2025-09-11,6.39,5.21
S00000099,AG0011,2025-09-08,5.54,4.39
S00000100,AG0011,2025-09-11,4.65,6.7
S00000101,AG0011,2025-09-19,7.32,4.85
S00000102,AG0011,2025-09-19,7.42,6.58
S00000103,AG0011,2025-09-24,6.55,5.51
S00000104,AG0011,2025-09-27,7.48,6.36
S00000105,AG0011,2025-09-20,5.84,4.23
S00000106,AG0011,2025-09-16,7.08,6.46
S00000107,AG0011,2025-09-18,7.17,4.42
S00000108,AG0012,2025-09-01,5.74,6.62
S00000109,AG0012,2025-09-23,7.29,5.58
S00000110,AG0012,2025-09-06,6.98,5.69
S00000111,AG0012,2025-09-19,4.73,5.72
S00000112,AG0012,2025-09-24,7.21,5.35
S00000113,AG0012,2025-09-07,4.65,6.4
S00000114,AG0012,2025-09-21,7.98,4.55
S00000115,AG0012,2025-09-07,5.55,5.87
S00000116,AG0013,2025-09-03,4.4,7.53
S00000117,AG0013,2025-09-24,6.01,6.53
S00000118,AG0013,2025-09-06,5.35,5.65
S00000119,AG0013,2025-09-24,5.07,4.7
S00000120,AG0013,2025-09-20,5.94,5.45
S00000121,AG0014,2025-09-17,8.59,6.47
S00000122,AG0014,2025-09-23,8.61,4.88
S00000123,AG0014,2025-09-11,7.58,3.65
S00000124,AG0014,2025-09-14,6.93,6.27
S00000125,AG0014,2025-09-03,4.21,5.58
S00000126,AG0014,2025-09-06,6.49,4.48
S00000127,AG0014,2025-09-13,7.03,4.78
S00000128,AG0014,2025-09-21,5.21,5.42
S00000129,AG0014,2025-09-27,5.72,4.59
S00000130,AG0014,2025-09-09,6.62,6.56
S00000131,AG0015,2025-09-27,6.41,4.93
S00000132,AG0015,2025-09-27,7.29,4.97
S00000133,AG0015,2025-09-23,6.04,5.48
S00000134,AG0015,2025-09-27,7.28,7.18
S00000135,AG0015,2025-09-27,7.92,7.22
S00000136,AG0015,2025-09-01,6.04,5.66
S00000137,AG0015,2025-09-07,4.43,5.25
S00000138,AG0015,2025-09-12,7.3,5.43
S00000139,AG0015,2025-09-10,5.23,5.19
S00000140,AG0015,2025-09-14,7.01,6.37
S00000141,AG0016,2025-09-14,4.61,6.11
S00000142,AG0016,2025-09-09,8.62,4.42
S00000143,AG0016,2025-09-13,6.5,6.46
S00000144,AG0016,2025-09-25,5.75,6.53
S00000145,AG0016,2025-09-11,7.5,5.16
S00000146,AG0016,2025-09-05,5.95,5.06
S00000147,AG0016,2025-09-20,9.3,6.5
S00000148,AG0016,2025-09-19,7.12,5.71
S00000149,AG0016,2025-09-13,5.96,5.56
S00000150,AG0016,2025-09-23,6.56,5.07
S00000151,AG0016,2025-09-03,6.24,6.63
S00000152,AG0016,2025-09-20,8.4,6.44
S00000153,AG0016,2025-09-07,5.7,7.37
S00000154,AG0017,2025-09-16,6.0,6.2
S00000155,AG0017,2025-09-03,6.16,4.63
S00000156,AG0017,2025-09-01,7.81,6.01
S00000157,AG0017,2025-09-22,6.78,5.86
S00000158,AG0017,2025-09-27,7.95,6.4
S00000159,AG0017,2025-09-07,7.61,3.83
S00000160,AG0017,2025-09-26,5.27,5.96
S00000161,AG0017,2025-09-12,5.52,6.39
S00000162,AG0018,2025-09-13,4.87,5.62
S00000163,AG0018,2025-09-14,6.19,5.82
S00000164,AG0018,2025-09-11,5.3,5.51
S00000165,AG0018,2025-09-04,6.28,5.62
S00000166,AG0018,2025-09-02,7.47,5.05
S00000167,AG0018,2025-09-13,7.11,4.87
S00000168,AG0018,2025-09-13,5.71,5.53
S00000169,AG0018,2025-09-22,5.7,5.2
S00000170,AG0018,2025-09-22,7.14,5.96
S00000171,AG0018,2025-09-08,7.42,5.59
S00000172,AG0018,2025-09-22,5.84,5.57
S00000173,AG0018,2025-09-19,4.64,4.93
S00000174,AG0018,2025-09-21,7.01,6.15
S00000175,AG0019,2025-09-20,6.83,5.52
S00000176,AG0019,2025-09-26,7.18,4.83
S00000177,AG0019,2025-09-26,4.78,6.31
S00000178,AG0019,2025-09-15,8.22,5.23
S00000179,AG0019,2025-09-16,6.16,5.79
S00000180,AG0019,2025-09-03,7.81,5.49
S00000181,AG0019,2025-09-24,6.31,5.36
S00000182,AG0020,2025-09-20,7.06,6.52
S00000183,AG0020,2025-09-06,6.33,4.78
S00000184,AG0020,2025-09-12,6.86,5.48
S00000185,AG0020,2025-09-20,4.65,3.73
S00000186,AG0020,2025-09-20,6.36,4.51
S00000187,AG0020,2025-09-14,7.31,5.22
S00000188,AG0020,2025-09-16,5.88,3.94
S00000189,AG0020,2025-09-17,6.68,5.82
S00000190,AG0021,2025-09-03,5.65,6.37
S00000191,AG0021,2025-09-13,5.35,4.35
S00000192,AG0021,2025-09-17,6.88,5.01
S00000193,AG0021,2025-09-13,4.51,5.16
S00000194,AG0021,2025-09-07,6.84,7.3
S00000195,AG0021,2025-09-11,6.76,6.3
S00000196,AG0021,2025-09-09,6.44,5.61
S00000197,AG0022,2025-09-22,7.97,5.41
S00000198,AG0022,2025-09-21,7.6,4.68
S00000199,AG0022,2025-09-21,5.98,7.35
S00000200,AG0022,2025-09-01,6.31,5.41
S00000201,AG0022,2025-09-19,7.68,5.91
S00000202,AG0023,2025-09-03,6.29,4.17
S00000203,AG0023,2025-09-14,4.33,5.12
S00000204,AG0023,2025-09-11,7.84,6.4
S00000205,AG0023,2025-09-15,6.64,5.33
S00000206,AG0023,2025-09-15,4.42,4.95
S00000207,AG0023,2025-09-25,5.38,6.95
S00000208,AG0023,2025-09-25,6.3,7.48
S00000209,AG0023,2025-09-22,5.85,6.22
S00000210,AG0024,2025-09-19,5.41,6.81
S00000211,AG0024,2025-09-05,5.24,5.65
S00000212,AG0024,2025-09-05,5.69,4.52
S00000213,AG0024,2025-09-03,4.76,5.9
S00000214,AG0024,2025-09-02,6.76,5.52
S00000215,AG0024,2025-09-06,7.15,4.68
S00000216,AG0024,2025-09-27,7.14,6.68
S00000217,AG0024,2025-09-11,6.83,5.54
S00000218,AG0024,2025-09-07,3.65,5.88
S00000219,AG0024,2025-09-21,6.41,5.64
S00000220,AG0024,2025-09-11,6.56,5.38
S00000221,AG0024,2025-09-01,9.21,5.13
S00000222,AG0024,2025-09-26,9.0,5.63
S00000223,AG0024,2025-09-08,6.46,7.49
S00000224,AG0024,2025-09-16,4.26,4.13
S00000225,AG0025,2025-09-18,5.7,5.27
S00000226,AG0025,2025-09-03,5.74,5.49
S00000227,AG0025,2025-09-13,6.42,5.72
S00000228,AG0025,2025-09-10,6.11,5.08
S00000229,AG0025,2025-09-07,5.52,5.35
S00000230,AG0025,2025-09-26,7.79,5.52
S00000231,AG0025,2025-09-23,8.03,4.07
S00000232,AG0025,2025-09-03,6.63,5.68
S00000233,AG0025,2025-09-07,5.58,5.06
S00000234,AG0025,2025-09-26,5.0,6.6
S00000235,AG0025,2025-09-15,7.14,5.22
S00000236,AG0025,2025-09-03,6.36,6.63
S00000237,AG0026,2025-09-23,8.5,5.79
S00000238,AG0026,2025-09-18,7.18,5.59
S00000239,AG0026,2025-09-21,5.53,5.91
S00000240,AG0026,2025-09-19,6.04,3.75
S00000241,AG0026,2025-09-17,7.55,5.5
S00000242,AG0026,2025-09-07,4.61,4.44
S00000243,AG0026,2025-09-01,7.16,4.57
S00000244,AG0026,2025-09-10,6.41,5.22
S00000245,AG0026,2025-09-26,6.98,3.94
S00000246,AG0026,2025-09-17,4.75,5.63
S00000247,AG0026,2025-09-27,5.71,5.64
S00000248,AG0026,2025-09-12,4.84,5.77
S00000249,AG0026,2025-09-14,4.84,4.99
S00000250,AG0027,2025-09-16,4.16,7.54
S00000251,AG0027,2025-09-13,6.95,5.78
S00000252,AG0027,2025-09-25,8.23,4.5
S00000253,AG0027,2025-09-15,8.44,4.93
S00000254,AG0027,2025-09-06,5.25,5.12
S00000255,AG0027,2025-09-20,6.21,4.45
S00000256,AG0027,2025-09-06,7.72,4.59
S00000257,AG0027,2025-09-27,7.44,4.62
S00000258,AG0028,2025-09-19,5.94,6.04
S00000259,AG0028,2025-09-24,7.32,6.56
S00000260,AG0028,2025-09-27,3.23,4.47
S00000261,AG0028,2025-09-01,4.54,4.19
S00000262,AG0029,2025-09-22,7.55,5.54
S00000263,AG0029,2025-09-16,5.39,5.14
S00000264,AG0029,2025-09-03,6.45,5.79
S00000265,AG0029,2025-09-07,7.39,5.0
S00000266,AG0029,2025-09-03,7.02,5.55
S00000267,AG0029,2025-09-18,7.36,5.22
S00000268,AG0029,2025-09-18,6.06,5.52
S00000269,AG0029,2025-09-09,7.4,5.57
S00000270,AG0029,2025-09-19,6.49,6.37
S00000271,AG0029,2025-09-03,6.22,6.55
S00000272,AG0030,2025-09-11,6.44,5.21
S00000273,AG0030,2025-09-08,5.24,5.0
S00000274,AG0030,2025-09-04,5.95,4.38
S00000275,AG0030,2025-09-13,7.1,5.84
S00000276,AG0030,2025-09-05,3.88,4.13
S00000277,AG0030,2025-09-27,6.94,7.09
S00000278,AG0030,2025-09-27,5.15,4.37
S00000279,AG0030,2025-09-15,5.08,6.25
S00000280,AG0031,2025-09-17,5.96,3.9
S00000281,AG0031,2025-09-19,6.19,6.0
S00000282,AG0031,2025-09-27,5.83,4.53
S00000283,AG0031,2025-09-03,4.73,7.12
S00000284,AG0031,2025-09-18,8.11,6.71
S00000285,AG0031,2025-09-22,6.1,3.95
S00000286,AG0031,2025-09-12,7.85,5.19
S00000287,AG0031,2025-09-17,7.69,6.11
S00000288,AG0031,2025-09-20,7.25,5.73
S00000289,AG0031,2025-09-10,6.16,5.21
S00000290,AG0031,2025-09-12,6.34,6.59
S00000291,AG0031,2025-09-25,6.11,5.73
S00000292,AG0031,2025-09-02,6.79,4.32
S00000293,AG0031,2025-09-18,7.2,6.2
S00000294,AG0032,2025-09-01,6.58,6.06
S00000295,AG0032,2025-09-21,3.53,4.37
S00000296,AG0032,2025-09-11,5.42,4.99
S00000297,AG0032,2025-09-12,6.68,7.27
S00000298,AG0032,2025-09-22,5.82,6.01
S00000299,AG0032,2025-09-01,5.91,5.11
S00000300,AG0032,2025-09-16,6.49,4.68
S00000301,AG0032,2025-09-02,5.64,3.73
S00000302,AG0032,2025-09-04,6.23,5.86
S00000303,AG0032,2025-09-01,5.66,6.94
S00000304,AG0032,2025-09-18,4.12,3.88
S00000305,AG0032,2025-09-21,7.14,4.7
S00000306,AG0033,2025-09-05,6.17,4.26
S00000307,AG0033,2025-09-08,6.02,5.92
S00000308,AG0033,2025-09-01,7.68,5.46
S00000309,AG0033,2025-09-19,7.95,5.17
S00000310,AG0033,2025-09-03,7.35,4.4
S00000311,AG0033,2025-09-15,6.68,4.66
S00000312,AG0033,2025-09-17,8.05,4.6
S00000313,AG0033,2025-09-13,7.14,4.75
S00000314,AG0033,2025-09-03,5.41,4.85
S00000315,AG0034,2025-09-01,5.61,5.18
S00000316,AG0034,2025-09-21,5.31,5.59
S00000317,AG0034,2025-09-20,7.88,5.96
S00000318,AG0034,2025-09-14,5.61,5.67
S00000319,AG0034,2025-09-08,5.49,6.1
S00000320,AG0034,2025-09-23,6.29,6.17
S00000321,AG0034,2025-09-09,6.23,5.21
S00000322,AG0034,2025-09-23,6.97,6.15
S00000323,AG0034,2025-09-21,5.41,5.78
S00000324,AG0034,2025-09-15,4.43,5.36
S00000325,AG0035,2025-09-27,7.14,5.02
S00000326,AG0035,2025-09-12,6.41,4.22
S00000327,AG0035,2025-09-27,7.74,5.95
S00000328,AG0035,2025-09-10,3.9,7.12
S00000329,AG0035,2025-09-05,6.12,4.58
S00000330,AG0035,2025-09-15,6.48,4.52
S00000331,AG0035,2025-09-24,8.34,2.46
S00000332,AG0035,2025-09-24,6.64,5.87
S00000333,AG0035,2025-09-15,5.15,5.14
S00000334,AG0035,2025-09-02,6.98,2.81
S00000335,AG0035,2025-09-01,4.57,6.3
S00000336,AG0035,2025-09-08,6.67,4.49
S00000337,AG0035,2025-09-23,6.44,6.19
S00000338,AG0036,2025-09-23,6.84,5.15
S00000339,AG0036,2025-09-04,9.05,6.03
S00000340,AG0036,2025-09-18,6.49,6.61
S00000341,AG0036,2025-09-18,8.01,5.49
S00000342,AG0036,2025-09-01,4.69,5.62
S00000343,AG0036,2025-09-15,7.97,4.57
S00000344,AG0036,2025-09-08,6.61,5.34
S00000345,AG0036,2025-09-26,6.86,4.68
S00000346,AG0036,2025-09-13,7.2,5.64
S00000347,AG0036,2025-09-01,6.07,4.42
S00000348,AG0036,2025-09-22,6.39,4.95
S00000349,AG0036,2025-09-21,5.38,5.48
S00000350,AG0036,2025-09-02,6.3,5.8
S00000351,AG0036,2025-09-11,4.12,5.49
S00000352,AG0036,2025-09-21,6.03,4.77
S00000353,AG0037,2025-09-12,5.95,5.45
S00000354,AG0037,2025-09-16,4.14,5.66
S00000355,AG0037,2025-09-23,6.89,6.52
S00000356,AG0037,2025-09-09,5.26,4.97
S00000357,AG0037,2025-09-13,4.3,6.25
S00000358,AG0037,2025-09-10,6.34,5.21
S00000359,AG0037,2025-09-22,6.38,4.04
S00000360,AG0037,2025-09-21,6.41,5.1
S00000361,AG0037,2025-09-26,7.07,6.43
S00000362,AG0037,2025-09-07,7.68,6.35
S00000363,AG0037,2025-09-15,6.88,6.46
S00000364,AG0038,2025-09-04,5.18,5.92
S00000365,AG0038,2025-09-23,8.34,4.5
S00000366,AG0038,2025-09-14,5.97,5.19
S00000367,AG0038,2025-09-18,5.44,7.18
S00000368,AG0038,2025-09-24,5.19,4.53
S00000369,AG0039,2025-09-11,6.73,4.24
S00000370,AG0039,2025-09-20,3.95,6.8
S00000371,AG0039,2025-09-13,7.09,4.4
S00000372,AG0039,2025-09-01,5.79,7.1
S00000373,AG0039,2025-09-25,8.71,4.47
S00000374,AG0039,2025-09-22,8.49,5.74
S00000375,AG0040,2025-09-21,6.71,4.17
S00000376,AG0040,2025-09-22,5.45,5.34
S00000377,AG0040,2025-09-06,7.6,4.26
S00000378,AG0040,2025-09-07,5.64,4.0
S00000379,AG0040,2025-09-13,6.09,5.3
S00000380,AG0041,2025-09-25,5.36,6.29
S00000381,AG0041,2025-09-13,6.62,5.6
S00000382,AG0041,2025-09-17,4.86,4.38
S00000383,AG0041,2025-09-27,7.68,3.91
S00000384,AG0041,2025-09-04,7.19,3.76
S00000385,AG0041,2025-09-09,8.04,4.66
S00000386,AG0041,2025-09-10,6.03,4.57
S00000387,AG0041,2025-09-20,7.94,5.87
S00000388,AG0041,2025-09-03,6.36,5.68
S00000389,AG0041,2025-09-16,6.69,5.01
S00000390,AG0041,2025-09-14,5.59,6.57
S00000391,AG0041,2025-09-08,5.0,4.86
S00000392,AG0041,2025-09-22,5.09,5.02
S00000393,AG0041,2025-09-13,6.69,6.68
S00000394,AG0041,2025-09-24,7.05,7.1
S00000395,AG0042,2025-09-24,7.37,6.01
S00000396,AG0042,2025-09-09,7.97,5.28
S00000397,AG0042,2025-09-24,7.43,5.45
S00000398,AG0042,2025-09-07,4.38,6.62
S00000399,AG0042,2025-09-07,6.99,5.39
S00000400,AG0042,2025-09-23,6.31,4.86
S00000401,AG0042,2025-09-02,5.03,4.9
S00000402,AG0042,2025-09-01,6.21,6.13
S00000403,AG0042,2025-09-24,8.55,5.63
S00000404,AG0042,2025-09-18,4.67,5.25
S00000405,AG0042,2025-09-14,6.0,4.53
S00000406,AG0042,2025-09-19,6.09,4.41
S00000407,AG0043,2025-09-13,5.97,7.09
S00000408,AG0043,2025-09-13,6.5,5.7
S00000409,AG0043,2025-09-11,7.39,5.67
S00000410,AG0043,2025-09-08,6.67,5.39
S00000411,AG0043,2025-09-03,5.22,6.99
S00000412,AG0043,2025-09-08,6.48,5.89
S00000413,AG0044,2025-09-23,8.37,4.46
S00000414,AG0044,2025-09-14,7.28,6.06
S00000415,AG0044,2025-09-12,6.33,5.72
S00000416,AG0044,2025-09-21,6.75,5.59
S00000417,AG0044,2025-09-09,4.01,4.97
S00000418,AG0045,2025-09-18,8.14,5.88
S00000419,AG0045,2025-09-26,6.22,7.03
S00000420,AG0045,2025-09-06,8.4,5.66
S00000421,AG0045,2025-09-17,5.61,5.5
S00000422,AG0045,2025-09-24,7.63,4.27
S00000423,AG0045,2025-09-15,6.38,5.17
S00000424,AG0045,2025-09-18,6.27,5.15
S00000425,AG0045,2025-09-26,5.71,5.61
S00000426,AG0045,2025-09-24,6.09,3.08
S00000427,AG0045,2025-09-18,6.14,5.14
S00000428,AG0046,2025-09-13,5.06,5.15
S00000429,AG0046,2025-09-22,6.04,6.04
S00000430,AG0046,2025-09-16,6.89,6.29
S00000431,AG0046,2025-09-24,5.89,5.9
S00000432,AG0046,2025-09-08,8.23,5.03
S00000433,AG0047,2025-09-24,6.29,6.36
S00000434,AG0047,2025-09-06,9.11,5.76
S00000435,AG0047,2025-09-09,6.08,5.19
S00000436,AG0047,2025-09-23,5.59,6.09
S00000437,AG0047,2025-09-06,6.87,6.13
S00000438,AG0047,2025-09-20,5.97,5.27
S00000439,AG0047,2025-09-24,6.68,6.05
S00000440,AG0048,2025-09-14,5.72,5.49
S00000441,AG0048,2025-09-26,7.14,7.78
S00000442,AG0048,2025-09-23,7.49,5.17
S00000443,AG0048,2025-09-21,8.7,4.7
S00000444,AG0048,2025-09-18,6.4,6.06
S00000445,AG0048,2025-09-24,5.74,3.07
S00000446,AG0048,2025-09-01,4.35,5.47
S00000447,AG0049,2025-09-13,7.01,4.24
S00000448,AG0049,2025-09-03,7.23,5.31
S00000449,AG0049,2025-09-21,4.35,7.09
S00000450,AG0049,2025-09-26,5.4,4.08
S00000451,AG0049,2025-09-04,7.86,6.52
S00000452,AG0049,2025-09-15,7.57,5.61
S00000453,AG0049,2025-09-17,6.41,5.67
S00000454,AG0049,2025-09-11,7.25,4.35
S00000455,AG0049,2025-09-12,6.13,5.1
S00000456,AG0049,2025-09-03,4.47,4.18
S00000457,AG0049,2025-09-07,6.75,4.96
S00000458,AG0049,2025-09-25,6.38,6.52
S00000459,AG0050,2025-09-01,6.97,5.85
S00000460,AG0050,2025-09-03,8.17,5.37
S00000461,AG0050,2025-09-23,6.84,5.91
S00000462,AG0050,2025-09-09,7.18,6.23
S00000463,AG0050,2025-09-08,5.38,5.91
S00000464,AG0050,2025-09-10,7.92,3.96
S00000465,AG0050,2025-09-11,7.25,6.2
S00000466,AG0050,2025-09-02,8.79,6.21
S00000467,AG0051,2025-09-15,5.65,6.41
S00000468,AG0051,2025-09-03,4.93,6.74
S00000469,AG0051,2025-09-07,6.13,6.16
S00000470,AG0051,2025-09-01,5.47,7.3
S00000471,AG0051,2025-09-03,5.71,4.65
S00000472,AG0051,2025-09-16,5.25,6.34
S00000473,AG0051,2025-09-02,7.9,3.35
S00000474,AG0051,2025-09-24,7.0,5.66
S00000475,AG0051,2025-09-08,8.01,6.43
S00000476,AG0051,2025-09-21,5.75,4.68
S00000477,AG0052,2025-09-05,6.32,5.87
S00000478,AG0052,2025-09-17,7.03,6.73
S00000479,AG0052,2025-09-03,6.76,5.96
S00000480,AG0052,2025-09-07,5.6,7.06
S00000481,AG0053,2025-09-08,8.94,4.92
S00000482,AG0053,2025-09-17,5.78,5.42
S00000483,AG0053,2025-09-07,6.69,6.32
S00000484,AG0053,2025-09-10,7.1,4.03
S00000485,AG0053,2025-09-05,6.17,5.9
S00000486,AG0053,2025-09-27,6.85,5.13
S00000487,AG0053,2025-09-09,8.25,4.78
S00000488,AG0053,2025-09-02,5.82,5.9
S00000489,AG0053,2025-09-04,5.87,6.32
S00000490,AG0053,2025-09-06,6.78,7.13
S00000491,AG0053,2025-09-05,8.62,6.25
S00000492,AG0054,2025-09-27,7.47,5.53
S00000493,AG0054,2025-09-26,9.21,6.49
S00000494,AG0054,2025-09-05,6.66,6.1
S00000495,AG0054,2025-09-24,7.5,6.2
S00000496,AG0054,2025-09-02,7.21,5.49
S00000497,AG0054,2025-09-07,6.55,5.37
S00000498,AG0054,2025-09-24,6.25,6.34
S00000499,AG0054,2025-09-21,6.55,6.22
S00000500,AG0054,2025-09-18,7.05,3.97
S00000501,AG0054,2025-09-02,8.51,5.08
S00000502,AG0054,2025-09-01,7.74,5.95
S00000503,AG0055,2025-09-21,6.73,4.84
S00000504,AG0055,2025-09-04,4.49,6.58
S00000505,AG0055,2025-09-26,4.38,6.91
S00000506,AG0055,2025-09-08,5.43,5.51
S00000507,AG0055,2025-09-16,10.33,6.74
S00000508,AG0055,2025-09-22,7.53,4.62
S00000509,AG0055,2025-09-11,7.72,6.99
S00000510,AG0055,2025-09-09,4.36,6.63
S00000511,AG0055,2025-09-18,6.76,6.07
S00000512,AG0055,2025-09-25,5.35,5.76
S00000513,AG0055,2025-09-05,5.72,5.58
S00000514,AG0055,2025-09-09,6.16,5.32
S00000515,AG0055,2025-09-21,5.35,4.98
S00000516,AG0056,2025-09-27,6.96,4.68
S00000517,AG0056,2025-09-10,6.14,6.42
S00000518,AG0056,2025-09-12,7.35,4.9
S00000519,AG0056,2025-09-08,4.84,6.6
S00000520,AG0056,2025-09-27,6.02,3.35
S00000521,AG0056,2025-09-01,6.18,6.15
S00000522,AG0056,2025-09-24,6.18,4.27
S00000523,AG0056,2025-09-15,5.99,5.65
S00000524,AG0056,2025-09-02,6.18,7.11
S00000525,AG0057,2025-09-07,5.87,5.85
S00000526,AG0057,2025-09-27,5.82,6.01
S00000527,AG0057,2025-09-10,3.39,5.73
S00000528,AG0057,2025-09-02,7.47,6.29
S00000529,AG0057,2025-09-25,7.61,6.09
S00000530,AG0058,2025-09-03,6.21,5.28
S00000531,AG0058,2025-09-05,7.81,4.72
S00000532,AG0058,2025-09-02,7.42,6.82
S00000533,AG0058,2025-09-05,5.9,6.36
S00000534,AG0058,2025-09-22,4.59,5.29
S00000535,AG0058,2025-09-13,6.32,5.25
S00000536,AG0058,2025-09-11,7.05,4.54
S00000537,AG0059,2025-09-21,6.79,5.25
S00000538,AG0059,2025-09-23,6.13,5.53
S00000539,AG0059,2025-09-08,7.23,5.87
S00000540,AG0059,2025-09-13,6.37,5.82
S00000541,AG0059,2025-09-12,5.52,4.85
S00000542,AG0059,2025-09-03,7.62,5.84
S00000543,AG0059,2025-09-04,7.19,6.78
S00000544,AG0059,2025-09-19,7.81,5.43
S00000545,AG0059,2025-09-12,6.6,5.87
S00000546,AG0059,2025-09-27,6.56,5.22
S00000547,AG0059,2025-09-21,6.5,5.71
S00000548,AG0059,2025-09-14,4.17,6.19
S00000549,AG0059,2025-09-24,6.9,4.66
S00000550,AG0059,2025-09-02,8.32,5.64
S00000551,AG0060,2025-09-24,6.21,5.14
S00000552,AG0060,2025-09-20,7.56,4.39
S00000553,AG0060,2025-09-23,6.57,5.28
S00000554,AG0060,2025-09-01,7.42,3.84
S00000555,AG0060,2025-09-25,4.33,5.77
S00000556,AG0060,2025-09-22,7.44,5.43
S00000557,AG0060,2025-09-01,6.01,6.63
S00000558,AG0060,2025-09-08,6.82,5.05
