event_id,account_id,event_timestamp,event_type
WA00000075,A002208,2025-11-08 13:00:00,FAILED
WA00000076,A002427,2026-04-03 16:00:00,DELIVERED
WA00000077,A003086,2025-11-06 20:00:00,REPLIED
WA00000078,A000319,2025-10-06 12:00:00,SENT
WA00000079,A003222,2026-03-04 17:00:00,FAILED
WA00000080,A000733,2026-02-15 15:00:00,READ
WA00000081,A000191,2026-03-25 13:00:00,SENT
WA00000082,A002590,2026-06-08 17:00:00,READ
WA00000083,A000803,2026-01-15 21:00:00,DELIVERED
WA00000084,A003562,2025-12-10 19:00:00,READ
WA00000085,A003071,2026-02-16 21:00:00,DELIVERED
WA00000086,A002510,2026-02-13 14:00:00,DELIVERED
WA00000087,A002504,2026-08-11 11:00:00,SENT
WA00000088,A000778,2025-12-24 09:00:00,DELIVERED
WA00000089,A004036,2025-09-14 12:00:00,READ
WA00000090,A000963,2025-09-25 13:00:00,DELIVERED
WA00000091,A003886,2026-02-27 07:00:00,READ
WA00000092,A000526,2026-06-21 18:00:00,DELIVERED
WA00000093,A003983,2026-07-13 14:00:00,READ
WA00000094,A001764,2025-09-15 18:00:00,READ
WA00000095,A003630,2026-04-06 15:00:00,FAILED
WA00000096,A000370,2025-09-23 18:00:00,READ
WA00000097,A002999,2026-03-25 18:00:00,DELIVERED
WA00000098,A000423,2026-08-08 12:00:00,DELIVERED
WA00000099,A003192,2026-01-11 22:00:00,READ
WA00000100,A001799,2026-07-02 16:00:00,DELIVERED
WA00000101,A003778,2026-07-03 12:00:00,DELIVERED
WA00000102,A003000,2025-10-05 16:00:00,READ
WA00000103,A002493,2025-09-14 17:00:00,FAILED
WA00000104,A001911,2026-05-15 08:00:00,DELIVERED
WA00000105,A003801,2025-11-20 11:00:00,DELIVERED
WA00000106,A001593,2026-06-12 17:00:00,DELIVERED
WA00000107,A001609,2026-04-25 08:00:00,DELIVERED
WA00000108,A002136,2026-07-08 12:00:00,DELIVERED
WA00000109,A003856,2026-01-27 08:00:00,REPLIED
WA00000110,A003232,2025-09-04 07:00:00,READ
WA00000111,A000401,2025-12-27 13:00:00,SENT
WA00000112,A000565,2026-01-17 18:00:00,READ
WA00000113,A001650,2025-12-23 08:00:00,REPLIED
WA00000114,A002154,2025-09-21 18:00:00,DELIVERED
WA00000115,A003544,2026-05-04 21:00:00,READ
WA00000116,A001879,2026-07-25 20:00:00,FAILED
WA00000117,A001537,2026-04-21 14:00:00,REPLIED
WA00000118,A003777,2026-04-23 17:00:00,DELIVERED
WA00000119,A001039,2026-07-05 17:00:00,READ
WA00000120,A000242,2026-03-11 22:00:00,FAILED
WA00000121,A003635,2025-09-13 22:00:00,READ
WA00000122,A000492,2026-02-27 13:00:00,REPLIED
WA00000123,A002715,2026-01-01 13:00:00,DELIVERED
WA00000124,A000823,2026-04-23 18:00:00,SENT
WA00000125,A002632,2025-11-12 17:00:00,READ
WA00000126,A001124,2026-06-17 21:00:00,READ
WA00000127,A000611,2026-01-04 16:00:00,FAILED
WA00000128,A001692,2026-05-04 07:00:00,REPLIED
WA00000129,A003301,2026-07-11 19:00:00,DELIVERED
WA00000130,A002391,2026-05-02 16:00:00,DELIVERED
WA00000131,A001210,2026-07-17 20:00:00,DELIVERED
WA00000132,A001405,2026-04-23 18:00:00,READ
WA00000133,A003874,2026-04-15 07:00:00,READ
WA00000134,A002830,2026-02-22 10:00:00,READ
WA00000135,A003477,2026-06-17 11:00:00,SENT
WA00000136,A000545,2025-09-18 13:00:00,SENT
WA00000137,A001911,2026-05-01 09:00:00,REPLIED
WA00000138,A000762,2025-10-07 16:00:00,REPLIED
WA00000139,A001852,2026-04-26 09:00:00,DELIVERED
WA00000140,A002837,2026-01-03 15:00:00,DELIVERED
WA00000141,A003177,2026-04-03 17:00:00,REPLIED
WA00000142,A003407,2026-04-03 07:00:00,DELIVERED
WA00000143,A001553,2026-07-25 19:00:00,SENT
WA00000144,A001916,2026-01-13 19:00:00,REPLIED
WA00000145,A001215,2025-10-08 20:00:00,READ
WA00000146,A001734,2025-09-18 20:00:00,SENT
WA00000147,A004044,2026-01-18 16:00:00,DELIVERED
WA00000148,A001482,2025-11-08 13:00:00,READ
WA00000149,A000650,2025-11-17 07:00:00,DELIVERED
WA00000150,A003603,2026-06-20 22:00:00,DELIVERED
WA00000151,A002888,2026-08-09 18:00:00,READ
WA00000152,A001300,2026-08-06 12:00:00,READ
WA00000153,A000629,2026-03-14 20:00:00,REPLIED
WA00000154,A002130,2026-05-01 17:00:00,REPLIED
WA00000155,A000532,2025-10-07 18:00:00,FAILED
WA00000156,A000751,2026-03-24 14:00:00,SENT
WA00000157,A002822,2026-04-20 21:00:00,REPLIED
WA00000158,A003255,2026-06-09 12:00:00,SENT
WA00000159,A001065,2025-11-04 21:00:00,READ
WA00000160,A002080,2025-10-27 11:00:00,READ
WA00000161,A002056,2026-02-19 16:00:00,READ
WA00000162,A000001,2026-08-01 15:00:00,SENT
WA00000163,A003494,2025-11-16 11:00:00,FAILED
WA00000164,A004106,2026-05-12 08:00:00,REPLIED
WA00000165,A002160,2026-08-09 09:00:00,READ
WA00000166,A001761,2026-05-08 18:00:00,READ
WA00000167,A004052,2026-08-17 07:00:00,DELIVERED
WA00000168,A000415,2025-10-27 10:00:00,READ
WA00000169,A000036,2026-03-05 09:00:00,REPLIED
WA00000170,A002730,2025-11-14 18:00:00,READ
WA00000171,A002323,2025-12-27 10:00:00,READ
WA00000172,A002198,2026-01-01 12:00:00,FAILED
WA00000173,A000612,2026-08-09 20:00:00,READ
WA00000174,A000923,2026-02-19 14:00:00,DELIVERED
WA00000175,A000251,2026-04-07 19:00:00,READ
WA00000176,A002466,2026-08-08 18:00:00,FAILED
WA00000177,A003353,2026-07-25 20:00:00,FAILED
WA00000178,A002282,2026-06-25 18:00:00,READ
WA00000179,A001184,2026-01-20 17:00:00,READ
WA00000180,A001818,2025-12-03 19:00:00,DELIVERED
WA00000181,A001230,2026-08-24 12:00:00,READ
WA00000182,A002316,2026-03-19 13:00:00,DELIVERED
WA00000183,A001803,2026-06-17 08:00:00,DELIVERED
WA00000184,A000894,2025-10-27 17:00:00,SENT
WA00000185,A000986,2026-01-19 08:00:00,DELIVERED
WA00000186,A002257,2025-09-26 16:00:00,SENT
WA00000187,A003376,2026-01-27 16:00:00,DELIVERED
WA00000188,A002992,2025-10-19 13:00:00,SENT
WA00000189,A002283,2026-06-22 22:00:00,DELIVERED
WA00000190,A003445,2026-06-25 17:00:00,READ
WA00000191,A003256,2026-07-24 19:00:00,FAILED
WA00000192,A003663,2026-05-09 13:00:00,READ
WA00000193,A002824,2026-05-17 09:00:00,DELIVERED
WA00000194,A002809,2026-07-08 11:00:00,FAILED
WA00000195,A002376,2026-01-01 16:00:00,FAILED
WA00000196,A001191,2026-05-16 21:00:00,REPLIED
WA00000197,A002405,2026-06-21 18:00:00,READ
WA00000198,A002652,2026-08-01 11:00:00,DELIVERED
WA00000199,A000158,2026-08-16 07:00:00,READ
WA00000200,A002311,2026-04-27 18:00:00,READ
WA00000201,A001412,2026-03-24 21:00:00,DELIVERED
WA00000202,A001598,2026-03-11 14:00:00,READ
WA00000203,A003175,2025-09-10 08:00:00,DELIVERED
WA00000204,A003660,2026-05-03 12:00:00,REPLIED
WA00000205,A002339,2026-02-20 20:00:00,READ
WA00000206,A000023,2026-04-01 22:00:00,FAILED
WA00000207,A003767,2026-06-05 07:00:00,REPLIED
WA00000208,A003876,2026-05-06 18:00:00,READ
WA00000209,A000087,2026-05-15 14:00:00,DELIVERED
WA00000210,A003416,2026-03-17 18:00:00,READ
WA00000211,A000341,2026-03-15 07:00:00,DELIVERED
WA00000212,A003946,2026-03-05 08:00:00,READ
WA00000213,A001819,2026-01-08 15:00:00,SENT
WA00000214,A001207,2026-06-08 21:00:00,FAILED
WA00000215,A002405,2026-07-15 20:00:00,DELIVERED
WA00000216,A004105,2025-09-22 11:00:00,REPLIED
WA00000217,A002284,2025-12-10 12:00:00,DELIVERED
WA00000218,A002360,2025-12-06 16:00:00,READ
WA00000219,A002416,2026-03-27 17:00:00,DELIVERED
WA00000220,A002874,2026-05-13 10:00:00,DELIVERED
WA00000221,A002954,2026-04-27 15:00:00,FAILED
WA00000222,A002660,2026-04-16 17:00:00,READ
WA00000223,A000239,2025-12-05 18:00:00,FAILED
WA00000224,A001577,2026-07-08 10:00:00,FAILED
WA00000225,A002370,2026-02-16 22:00:00,READ
WA00000226,A001415,2026-07-11 13:00:00,DELIVERED
WA00000227,A001617,2025-09-22 20:00:00,DELIVERED
WA00000228,A003080,2025-12-16 14:00:00,SENT
WA00000229,A001839,2025-11-06 13:00:00,FAILED
WA00000230,A001047,2025-09-21 19:00:00,REPLIED
WA00000231,A001776,2026-01-11 20:00:00,READ
WA00000232,A003106,2026-05-26 14:00:00,READ
WA00000233,A001070,2026-05-01 17:00:00,DELIVERED
WA00000234,A003290,2025-09-23 15:00:00,REPLIED
WA00000235,A004094,2025-12-20 11:00:00,FAILED
WA00000236,A001694,2026-04-16 07:00:00,REPLIED
WA00000237,A000134,2026-04-22 16:00:00,REPLIED
WA00000238,A003994,2026-07-24 13:00:00,SENT
WA00000239,A003518,2025-09-13 11:00:00,SENT
WA00000240,A001377,2026-03-18 21:00:00,FAILED
WA00000241,A003383,2025-12-04 08:00:00,DELIVERED
WA00000242,A003372,2026-07-24 14:00:00,SENT
WA00000243,A001653,2025-11-01 19:00:00,FAILED
WA00000244,A000183,2026-02-09 16:00:00,DELIVERED
WA00000245,A002817,2026-05-16 07:00:00,DELIVERED
WA00000246,A001819,2026-08-03 08:00:00,READ
WA00000247,A002226,2026-08-05 10:00:00,READ
WA00000248,A000035,2025-11-03 13:00:00,DELIVERED
WA00000249,A004166,2026-05-24 12:00:00,READ
WA00000250,A001047,2025-10-20 07:00:00,DELIVERED
WA00000251,A001976,2025-12-04 14:00:00,DELIVERED
WA00000252,A003116,2026-03-23 07:00:00,READ
WA00000253,A002783,2025-09-15 12:00:00,DELIVERED
WA00000254,A003649,2026-07-16 07:00:00,DELIVERED
WA00000255,A001326,2026-07-05 18:00:00,SENT
WA00000256,A002038,2026-07-11 15:00:00,SENT
WA00000257,A003534,2026-04-25 14:00:00,SENT
WA00000258,A000395,2026-01-14 11:00:00,SENT
WA00000259,A001357,2025-10-06 08:00:00,READ
WA00000260,A002355,2026-02-01 11:00:00,READ
WA00000261,A003628,2026-06-13 07:00:00,REPLIED
WA00000262,A004099,2025-12-06 20:00:00,SENT
WA00000263,A004121,2026-02-25 10:00:00,DELIVERED
WA00000264,A000439,2026-01-07 17:00:00,DELIVERED
WA00000265,A002780,2025-12-01 14:00:00,SENT
WA00000266,A000199,2026-03-25 13:00:00,DELIVERED
WA00000267,A003954,2026-01-23 08:00:00,REPLIED
WA00000268,A003439,2026-03-07 13:00:00,FAILED
WA00000269,A002008,2025-10-16 15:00:00,FAILED
WA00000270,A000820,2026-03-08 16:00:00,REPLIED
WA00000271,A001978,2026-01-17 10:00:00,READ
WA00000272,A000487,2025-10-24 10:00:00,REPLIED
WA00000273,A001292,2025-12-04 19:00:00,FAILED
WA00000274,A004099,2025-11-12 20:00:00,DELIVERED
WA00000275,A002164,2026-08-01 12:00:00,DELIVERED
WA00000276,A001436,2025-10-03 09:00:00,READ
WA00000277,A003816,2026-04-25 22:00:00,SENT
WA00000278,A001974,2026-02-03 15:00:00,DELIVERED
WA00000279,A000123,2025-10-27 08:00:00,DELIVERED
WA00000280,A002181,2026-02-15 09:00:00,FAILED
WA00000281,A002019,2026-08-08 14:00:00,SENT
WA00000282,A000391,2026-06-03 20:00:00,DELIVERED
WA00000283,A003587,2026-05-17 21:00:00,READ
WA00000284,A003784,2025-09-08 13:00:00,SENT
WA00000285,A000722,2026-04-12 20:00:00,READ
WA00000286,A001369,2025-12-17 21:00:00,DELIVERED
WA00000287,A000714,2026-05-01 09:00:00,READ
WA00000288,A002949,2026-08-17 13:00:00,SENT
WA00000289,A002056,2026-04-08 15:00:00,REPLIED
WA00000290,A002407,2025-10-18 12:00:00,DELIVERED
WA00000291,A002317,2026-05-24 19:00:00,DELIVERED
WA00000292,A003100,2026-08-08 07:00:00,DELIVERED
WA00000293,A002989,2025-10-02 13:00:00,SENT
WA00000294,A000484,2025-09-15 19:00:00,DELIVERED
WA00000295,A003328,2026-04-16 16:00:00,SENT
WA00000296,A002143,2026-08-27 16:00:00,REPLIED
WA00000297,A003157,2026-08-13 22:00:00,REPLIED
WA00000298,A002001,2026-04-04 10:00:00,SENT
WA00000299,A002312,2026-08-21 13:00:00,SENT
WA00000300,A001366,2026-08-17 11:00:00,DELIVERED
WA00000301,A000164,2026-07-08 09:00:00,DELIVERED
WA00000302,A002120,2026-05-03 13:00:00,FAILED
WA00000303,A004155,2026-01-10 17:00:00,FAILED
WA00000304,A002719,2026-06-12 19:00:00,READ
WA00000305,A002138,2025-11-23 17:00:00,READ
WA00000306,A001568,2026-04-04 16:00:00,SENT
WA00000307,A004199,2026-01-16 09:00:00,DELIVERED
WA00000308,A001988,2026-05-16 08:00:00,DELIVERED
WA00000309,A004159,2026-05-14 15:00:00,SENT
WA00000310,A000710,2026-03-08 22:00:00,FAILED
WA00000311,A001273,2026-02-26 15:00:00,DELIVERED
WA00000312,A004070,2025-09-18 12:00:00,DELIVERED
WA00000313,A003642,2026-02-12 08:00:00,READ
WA00000314,A001894,2026-03-06 09:00:00,READ
WA00000315,A003864,2026-02-02 16:00:00,READ
WA00000316,A001853,2026-07-02 10:00:00,FAILED
WA00000317,A004007,2025-12-18 17:00:00,DELIVERED
WA00000318,A004179,2026-05-18 18:00:00,REPLIED
WA00000319,A002413,2026-01-04 07:00:00,FAILED
WA00000320,A000510,2025-10-04 18:00:00,SENT
WA00000321,A000860,2025-10-13 17:00:00,DELIVERED
WA00000322,A000396,2026-07-19 21:00:00,DELIVERED
WA00000323,A003209,2026-04-05 15:00:00,READ
WA00000324,A003833,2026-06-21 20:00:00,READ
WA00000325,A003550,2026-01-03 17:00:00,READ
WA00000326,A004044,2025-12-15 17:00:00,FAILED
WA00000327,A003639,2025-10-24 10:00:00,REPLIED
WA00000328,A000319,2026-07-16 20:00:00,DELIVERED
WA00000329,A000118,2026-04-19 22:00:00,READ
WA00000330,A003590,2026-01-24 15:00:00,DELIVERED
WA00000331,A002612,2026-08-21 12:00:00,DELIVERED
WA00000332,A003146,2026-01-16 14:00:00,SENT
WA00000333,A002255,2025-12-03 07:00:00,FAILED
WA00000334,A003921,2025-12-26 10:00:00,DELIVERED
WA00000335,A003629,2026-02-24 07:00:00,REPLIED
WA00000336,A000609,2025-10-04 20:00:00,FAILED
WA00000337,A004150,2026-05-19 20:00:00,DELIVERED
WA00000338,A002740,2026-08-08 10:00:00,REPLIED
WA00000339,A000448,2025-12-12 17:00:00,DELIVERED
WA00000340,A003204,2026-01-09 08:00:00,FAILED
WA00000341,A001880,2026-06-16 17:00:00,SENT
WA00000342,A002295,2026-02-07 18:00:00,SENT
WA00000343,A000020,2025-12-18 12:00:00,DELIVERED
WA00000344,A003907,2026-03-15 12:00:00,REPLIED
WA00000345,A001599,2026-03-01 10:00:00,REPLIED
WA00000346,A001378,2026-03-08 12:00:00,DELIVERED
WA00000347,A004005,2026-01-22 15:00:00,READ
WA00000348,A000203,2026-06-04 19:00:00,READ
WA00000349,A003783,2025-12-09 17:00:00,DELIVERED
WA00000350,A002025,2026-05-05 07:00:00,DELIVERED
WA00000351,A002604,2026-07-06 22:00:00,SENT
WA00000352,A000208,2026-04-23 19:00:00,READ
WA00000353,A002351,2026-03-01 19:00:00,FAILED
WA00000354,A002410,2025-11-26 11:00:00,FAILED
WA00000355,A000587,2026-04-22 20:00:00,READ
WA00000356,A002357,2025-10-03 18:00:00,READ
WA00000357,A000514,2026-02-11 18:00:00,DELIVERED
WA00000358,A002477,2026-06-07 10:00:00,DELIVERED
WA00000359,A003261,2026-06-06 18:00:00,REPLIED
WA00000360,A000500,2026-04-05 17:00:00,DELIVERED
WA00000361,A003611,2026-06-11 10:00:00,SENT
WA00000362,A000119,2025-09-11 09:00:00,DELIVERED
WA00000363,A003385,2026-04-04 10:00:00,READ
WA00000364,A002843,2025-12-16 10:00:00,DELIVERED
WA00000365,A001669,2025-11-01 15:00:00,DELIVERED
WA00000366,A002526,2026-02-10 12:00:00,READ
WA00000367,A002508,2026-05-05 21:00:00,SENT
WA00000368,A002884,2025-11-04 12:00:00,READ
WA00000369,A003846,2026-01-01 08:00:00,READ
WA00000370,A003717,2025-11-10 14:00:00,READ
WA00000371,A004088,2026-05-06 08:00:00,READ
WA00000372,A003934,2025-09-23 21:00:00,SENT
WA00000373,A003427,2026-06-24 21:00:00,SENT
WA00000374,A001155,2025-12-20 09:00:00,REPLIED
WA00000375,A003594,2026-05-05 09:00:00,DELIVERED
WA00000376,A004074,2026-07-22 15:00:00,DELIVERED
WA00000377,A001047,2026-01-25 21:00:00,SENT
WA00000378,A001545,2026-08-14 20:00:00,REPLIED
WA00000379,A001632,2026-05-10 13:00:00,READ
WA00000380,A001683,2026-04-18 16:00:00,DELIVERED
WA00000381,A002001,2025-09-09 15:00:00,SENT
WA00000382,A003656,2025-12-22 07:00:00,DELIVERED
WA00000383,A002851,2026-01-21 14:00:00,READ
WA00000384,A001439,2026-06-01 13:00:00,DELIVERED
WA00000385,A000531,2026-07-08 08:00:00,SENT
WA00000386,A001263,2026-03-15 21:00:00,SENT
WA00000387,A000713,2026-04-18 09:00:00,DELIVERED
WA00000388,A004135,2026-06-03 10:00:00,DELIVERED
WA00000389,A001298,2026-02-17 12:00:00,REPLIED
WA00000390,A001444,2025-12-02 10:00:00,SENT
WA00000391,A002883,2025-10-15 15:00:00,FAILED
WA00000392,A002603,2025-10-17 10:00:00,REPLIED
WA00000393,A001534,2025-09-10 19:00:00,REPLIED
WA00000394,A001790,2026-01-03 22:00:00,DELIVERED
WA00000395,A004130,2026-03-19 12:00:00,DELIVERED
WA00000396,A000310,2026-04-04 21:00:00,FAILED
WA00000397,A001148,2025-09-27 14:00:00,DELIVERED
WA00000398,A002072,2026-01-16 10:00:00,DELIVERED
WA00000399,A002403,2026-01-16 13:00:00,REPLIED
WA00000400,A003267,2025-11-09 15:00:00,FAILED
WA00000401,A000968,2025-10-21 20:00:00,DELIVERED
WA00000402,A002535,2026-05-09 21:00:00,READ
WA00000403,A000677,2025-10-27 22:00:00,DELIVERED
WA00000404,A001286,2026-04-07 17:00:00,FAILED
WA00000405,A004118,2026-08-11 10:00:00,FAILED
WA00000406,A001515,2026-08-21 09:00:00,DELIVERED
WA00000407,A000254,2026-05-07 19:00:00,DELIVERED
WA00000408,A000394,2025-10-03 16:00:00,READ
WA00000409,A000522,2025-11-05 22:00:00,FAILED
WA00000410,A001327,2026-04-20 12:00:00,READ
WA00000411,A002488,2026-03-23 16:00:00,DELIVERED
WA00000412,A003670,2026-04-23 08:00:00,READ
WA00000413,A003788,2026-02-22 07:00:00,DELIVERED
WA00000414,A001249,2026-04-22 19:00:00,READ
WA00000415,A004112,2026-05-05 15:00:00,READ
WA00000416,A001758,2026-03-17 15:00:00,DELIVERED
WA00000417,A002606,2025-10-22 12:00:00,SENT
WA00000418,A001221,2026-06-21 07:00:00,SENT
WA00000419,A002454,2026-05-15 12:00:00,REPLIED
WA00000420,A003535,2026-01-12 17:00:00,READ
WA00000421,A004036,2026-08-06 12:00:00,REPLIED
WA00000422,A002274,2025-10-06 12:00:00,READ
WA00000423,A002400,2026-06-13 19:00:00,REPLIED
WA00000424,A002165,2026-04-18 14:00:00,DELIVERED
WA00000425,A001025,2025-09-22 12:00:00,READ
WA00000426,A004149,2025-12-14 15:00:00,FAILED
WA00000427,A000244,2026-03-12 14:00:00,REPLIED
WA00000428,A003598,2026-02-16 08:00:00,FAILED
WA00000429,A003413,2025-12-14 10:00:00,SENT
WA00000430,A000323,2025-11-26 11:00:00,READ
WA00000431,A003675,2026-03-09 19:00:00,FAILED
WA00000432,A001531,2025-11-14 15:00:00,REPLIED
WA00000433,A000077,2026-06-03 21:00:00,SENT
WA00000434,A000008,2026-01-17 17:00:00,FAILED
WA00000435,A003324,2026-03-14 17:00:00,DELIVERED
WA00000436,A002906,2025-11-09 19:00:00,REPLIED
WA00000437,A001025,2026-06-18 08:00:00,DELIVERED
WA00000438,A003519,2026-06-22 09:00:00,READ
WA00000439,A002329,2026-05-12 08:00:00,READ
WA00000440,A003865,2025-10-07 13:00:00,REPLIED
WA00000441,A003126,2026-06-02 08:00:00,FAILED
WA00000442,A003007,2026-05-10 21:00:00,REPLIED
WA00000443,A001105,2025-09-20 15:00:00,DELIVERED
WA00000444,A001684,2026-08-26 21:00:00,FAILED
WA00000445,A002521,2026-07-21 10:00:00,DELIVERED
WA00000446,A003657,2025-12-15 09:00:00,FAILED
WA00000447,A002580,2026-08-12 21:00:00,READ
WA00000448,A003395,2026-05-19 22:00:00,REPLIED
WA00000449,A000561,2026-03-18 17:00:00,DELIVERED
WA00000450,A001676,2026-07-10 15:00:00,DELIVERED
WA00000451,A001997,2025-09-14 21:00:00,SENT
WA00000452,A000164,2026-07-01 19:00:00,FAILED
WA00000453,A002045,2026-06-18 16:00:00,READ
WA00000454,A000760,2026-04-26 21:00:00,REPLIED
WA00000455,A002062,2026-04-07 16:00:00,READ
WA00000456,A004047,2025-09-17 07:00:00,READ
WA00000457,A002033,2025-11-17 11:00:00,READ
WA00000458,A000815,2026-02-18 19:00:00,READ
WA00000459,A000513,2026-04-07 14:00:00,DELIVERED
WA00000460,A000240,2026-05-21 18:00:00,SENT
WA00000461,A001754,2026-06-15 08:00:00,DELIVERED
WA00000462,A002753,2025-11-05 09:00:00,DELIVERED
WA00000463,A003201,2026-07-09 21:00:00,READ
WA00000464,A002136,2025-10-16 09:00:00,DELIVERED
WA00000465,A002279,2026-02-03 11:00:00,SENT
WA00000466,A002549,2026-06-08 09:00:00,REPLIED
WA00000467,A000562,2026-03-12 20:00:00,FAILED
WA00000468,A000527,2025-10-16 15:00:00,REPLIED
WA00000469,A001792,2026-05-15 09:00:00,SENT
WA00000470,A003029,2026-02-17 15:00:00,DELIVERED
WA00000471,A001306,2026-04-09 20:00:00,REPLIED
WA00000472,A000729,2025-09-08 19:00:00,READ
WA00000473,A003316,2025-09-11 11:00:00,DELIVERED
WA00000474,A001840,2026-04-05 22:00:00,DELIVERED
WA00000475,A002370,2025-10-15 18:00:00,READ
WA00000476,A003605,2026-04-26 19:00:00,FAILED
WA00000477,A003616,2026-04-11 17:00:00,READ
WA00000478,A003464,2025-11-27 09:00:00,DELIVERED
WA00000479,A003284,2026-03-09 21:00:00,FAILED
WA00000480,A003962,2026-01-14 09:00:00,DELIVERED
WA00000481,A001782,2025-09-19 21:00:00,READ
WA00000482,A001488,2026-07-14 16:00:00,SENT
WA00000483,A002238,2026-01-16 10:00:00,REPLIED
WA00000484,A002403,2025-11-27 18:00:00,DELIVERED
WA00000485,A002184,2026-08-06 08:00:00,READ
WA00000486,A003851,2026-06-12 13:00:00,DELIVERED
WA00000487,A001664,2025-12-11 21:00:00,READ
WA00000488,A000673,2026-01-12 22:00:00,READ
WA00000489,A001112,2026-08-21 07:00:00,READ
WA00000490,A002227,2025-11-17 15:00:00,REPLIED
WA00000491,A001582,2026-05-01 07:00:00,DELIVERED
WA00000492,A000858,2025-12-05 15:00:00,SENT
WA00000493,A003341,2026-01-10 16:00:00,FAILED
WA00000494,A001735,2026-04-23 19:00:00,REPLIED
WA00000495,A001331,2026-05-20 20:00:00,DELIVERED
WA00000496,A004079,2025-09-25 15:00:00,READ
