complaint_id,account_id,complaint_timestamp,complaint_type,status
COMP0000164,A000395,2026-07-11,TOO_MANY_CALLS,RESOLVED
COMP0000165,A002419,2026-06-02,WRONG_PERSON,RESOLVED
COMP0000166,A002372,2026-01-10,WRONG_PERSON,RESOLVED
COMP0000167,A001323,2026-03-26,TOO_MANY_CALLS,OPEN
COMP0000168,A002747,2026-03-13,OTHER,CLOSED
COMP0000169,A001460,2026-01-17,TOO_MANY_CALLS,OPEN
COMP0000170,A001311,2026-03-16,AGENT_BEHAVIOR,RESOLVED
COMP0000171,A003315,2026-04-02,TOO_MANY_CALLS,RESOLVED
COMP0000172,A002981,2026-08-14,AGENT_BEHAVIOR,RESOLVED
COMP0000173,A000603,2026-07-19,WRONG_PERSON,RESOLVED
COMP0000174,A002601,2026-07-09,WRONG_PERSON,OPEN
COMP0000175,A003144,2026-04-11,AGENT_BEHAVIOR,RESOLVED
COMP0000176,A002257,2026-06-13,TOO_MANY_CALLS,OPEN
COMP0000177,A002640,2025-10-09,AGENT_BEHAVIOR,RESOLVED
COMP0000178,A002726,2025-10-03,OTHER,CLOSED
COMP0000179,A000326,2026-02-10,AGENT_BEHAVIOR,CLOSED
COMP0000180,A001721,2026-02-24,TOO_MANY_CALLS,OPEN
COMP0000181,A003285,2026-05-10,WRONG_PERSON,CLOSED
COMP0000182,A002622,2026-08-08,OTHER,OPEN
COMP0000183,A000255,2025-09-03,WRONG_PERSON,RESOLVED
COMP0000184,A003437,2025-11-01,OTHER,RESOLVED
COMP0000185,A000995,2026-06-09,WRONG_PERSON,OPEN
COMP0000186,A003173,2026-03-17,AGENT_BEHAVIOR,RESOLVED
COMP0000187,A002032,2026-07-17,OTHER,OPEN
COMP0000188,A002022,2026-02-19,AGENT_BEHAVIOR,RESOLVED
COMP0000189,A000626,2025-09-16,OTHER,CLOSED
COMP0000190,A003966,2025-09-04,AGENT_BEHAVIOR,CLOSED
COMP0000191,A001935,2026-07-01,WRONG_PERSON,CLOSED
COMP0000192,A001365,2025-12-12,TOO_MANY_CALLS,OPEN
COMP0000193,A003075,2025-12-16,OTHER,CLOSED
COMP0000194,A001032,2025-11-11,OTHER,CLOSED
COMP0000195,A003365,2026-07-17,WRONG_PERSON,OPEN
COMP0000196,A003291,2026-08-17,AGENT_BEHAVIOR,CLOSED
COMP0000197,A003228,2026-02-11,TOO_MANY_CALLS,RESOLVED
COMP0000198,A002148,2025-12-15,AGENT_BEHAVIOR,OPEN
COMP0000199,A000754,2026-05-11,AGENT_BEHAVIOR,CLOSED
COMP0000200,A001734,2025-11-08,AGENT_BEHAVIOR,OPEN
COMP0000201,A000767,2026-07-12,OTHER,OPEN
COMP0000202,A003124,2026-04-17,OTHER,RESOLVED
COMP0000203,A003697,2026-01-06,TOO_MANY_CALLS,CLOSED
COMP0000204,A003628,2026-04-11,WRONG_PERSON,CLOSED
COMP0000205,A000504,2026-06-14,TOO_MANY_CALLS,OPEN
COMP0000206,A002465,2026-01-10,OTHER,OPEN
COMP0000207,A001836,2025-10-27,AGENT_BEHAVIOR,OPEN
COMP0000208,A001002,2026-07-22,WRONG_PERSON,CLOSED
COMP0000209,A000308,2025-10-15,TOO_MANY_CALLS,CLOSED
COMP0000210,A002835,2025-11-08,TOO_MANY_CALLS,CLOSED
COMP0000211,A004132,2025-12-06,OTHER,OPEN
COMP0000212,A000382,2026-01-12,AGENT_BEHAVIOR,RESOLVED
COMP0000213,A001056,2026-02-27,WRONG_PERSON,RESOLVED
COMP0000214,A001834,2025-12-02,WRONG_PERSON,OPEN
COMP0000215,A001730,2026-05-11,AGENT_BEHAVIOR,CLOSED
COMP0000216,A001317,2025-09-25,WRONG_PERSON,CLOSED
COMP0000217,A000924,2026-01-26,WRONG_PERSON,OPEN
COMP0000218,A002564,2025-09-16,TOO_MANY_CALLS,OPEN
COMP0000219,A001238,2026-01-19,TOO_MANY_CALLS,RESOLVED
COMP0000220,A001908,2026-06-25,AGENT_BEHAVIOR,CLOSED
COMP0000221,A001064,2026-03-11,OTHER,OPEN
COMP0000222,A003121,2026-03-12,OTHER,OPEN
COMP0000223,A001285,2026-02-19,OTHER,CLOSED
COMP0000224,A004197,2026-01-16,WRONG_PERSON,RESOLVED
COMP0000225,A003810,2025-12-13,WRONG_PERSON,CLOSED
COMP0000226,A000453,2026-04-24,OTHER,RESOLVED
COMP0000227,A001960,2025-10-01,TOO_MANY_CALLS,CLOSED
COMP0000228,A003203,2025-11-18,OTHER,RESOLVED
COMP0000229,A000302,2026-04-26,WRONG_PERSON,CLOSED
COMP0000230,A001168,2025-10-02,AGENT_BEHAVIOR,RESOLVED
COMP0000231,A003850,2025-12-22,OTHER,OPEN
COMP0000232,A000393,2026-03-13,WRONG_PERSON,RESOLVED
COMP0000233,A003301,2025-09-26,WRONG_PERSON,CLOSED
COMP0000234,A003303,2026-05-20,TOO_MANY_CALLS,CLOSED
COMP0000235,A002812,2026-01-08,TOO_MANY_CALLS,OPEN
COMP0000236,A000435,2026-02-06,WRONG_PERSON,CLOSED
COMP0000237,A002266,2025-10-03,TOO_MANY_CALLS,OPEN
COMP0000238,A003938,2026-01-06,AGENT_BEHAVIOR,RESOLVED
COMP0000239,A000084,2026-04-11,AGENT_BEHAVIOR,RESOLVED
COMP0000240,A001762,2026-06-23,OTHER,OPEN
COMP0000241,A001908,2026-03-14,AGENT_BEHAVIOR,CLOSED
COMP0000242,A001614,2026-07-04,WRONG_PERSON,OPEN
COMP0000243,A001342,2026-07-01,WRONG_PERSON,CLOSED
COMP0000244,A000123,2025-09-20,TOO_MANY_CALLS,CLOSED
COMP0000245,A000544,2026-04-10,OTHER,CLOSED
COMP0000246,A002995,2026-02-18,TOO_MANY_CALLS,RESOLVED
COMP0000247,A000095,2026-07-10,AGENT_BEHAVIOR,CLOSED
COMP0000248,A003631,2026-08-08,OTHER,CLOSED
COMP0000249,A002175,2026-08-14,OTHER,CLOSED
COMP0000250,A001159,2026-08-12,AGENT_BEHAVIOR,OPEN
COMP0000251,A000714,2026-08-03,OTHER,RESOLVED
COMP0000252,A002923,2026-07-10,TOO_MANY_CALLS,CLOSED
COMP0000253,A001005,2026-01-03,OTHER,RESOLVED
COMP0000254,A001804,2025-09-06,AGENT_BEHAVIOR,RESOLVED
COMP0000255,A004098,2026-07-02,WRONG_PERSON,OPEN
COMP0000256,A000191,2026-08-24,OTHER,OPEN
COMP0000257,A002078,2026-05-09,TOO_MANY_CALLS,RESOLVED
COMP0000258,A000688,2026-05-04,TOO_MANY_CALLS,CLOSED
COMP0000259,A000463,2026-05-07,WRONG_PERSON,CLOSED
COMP0000260,A001699,2026-08-05,OTHER,OPEN
COMP0000261,A001072,2025-11-15,WRONG_PERSON,RESOLVED
COMP0000262,A002652,2026-04-07,WRONG_PERSON,RESOLVED
COMP0000263,A002641,2025-11-07,OTHER,CLOSED
COMP0000264,A000033,2025-11-25,OTHER,OPEN
COMP0000265,A002266,2025-09-20,TOO_MANY_CALLS,CLOSED
COMP0000266,A003747,2025-10-21,TOO_MANY_CALLS,CLOSED
COMP0000267,A001741,2026-06-18,WRONG_PERSON,RESOLVED
COMP0000268,A000447,2026-03-14,AGENT_BEHAVIOR,OPEN
COMP0000269,A004073,2025-09-09,WRONG_PERSON,OPEN
COMP0000270,A001813,2025-09-05,OTHER,RESOLVED
COMP0000271,A001357,2026-07-22,TOO_MANY_CALLS,OPEN
COMP0000272,A002198,2025-12-18,AGENT_BEHAVIOR,OPEN
COMP0000273,A001830,2025-12-14,AGENT_BEHAVIOR,CLOSED
COMP0000274,A000205,2026-03-16,OTHER,RESOLVED
COMP0000275,A001573,2026-03-24,OTHER,OPEN
COMP0000276,A002487,2025-10-25,TOO_MANY_CALLS,OPEN
COMP0000277,A000484,2026-03-15,WRONG_PERSON,RESOLVED
COMP0000278,A000710,2025-10-12,TOO_MANY_CALLS,OPEN
COMP0000279,A002076,2025-10-24,TOO_MANY_CALLS,RESOLVED
COMP0000280,A001068,2025-11-22,AGENT_BEHAVIOR,OPEN
COMP0000281,A002737,2026-01-06,WRONG_PERSON,OPEN
COMP0000282,A003889,2026-06-04,WRONG_PERSON,RESOLVED
COMP0000283,A003913,2026-04-16,WRONG_PERSON,RESOLVED
COMP0000284,A003094,2025-12-27,AGENT_BEHAVIOR,OPEN
COMP0000285,A004140,2025-11-01,OTHER,OPEN
COMP0000286,A001863,2026-05-02,AGENT_BEHAVIOR,CLOSED
COMP0000287,A002662,2025-11-03,AGENT_BEHAVIOR,CLOSED
COMP0000288,A001837,2025-12-17,WRONG_PERSON,RESOLVED
COMP0000289,A000716,2026-03-19,AGENT_BEHAVIOR,OPEN
COMP0000290,A003171,2025-09-06,WRONG_PERSON,RESOLVED
COMP0000291,A003484,2025-12-10,OTHER,OPEN
COMP0000292,A003553,2026-04-04,OTHER,CLOSED
COMP0000293,A002952,2025-11-09,TOO_MANY_CALLS,CLOSED
COMP0000294,A003034,2025-12-10,AGENT_BEHAVIOR,CLOSED
COMP0000295,A000802,2026-03-16,WRONG_PERSON,OPEN
COMP0000296,A002922,2026-01-12,AGENT_BEHAVIOR,CLOSED
COMP0000297,A002830,2026-08-06,WRONG_PERSON,OPEN
COMP0000298,A001575,2026-08-25,WRONG_PERSON,RESOLVED
COMP0000299,A000847,2025-11-15,WRONG_PERSON,CLOSED
COMP0000300,A002609,2026-03-24,OTHER,CLOSED
COMP0000301,A000453,2026-08-23,OTHER,CLOSED
COMP0000302,A001396,2026-04-15,AGENT_BEHAVIOR,CLOSED
COMP0000303,A002883,2026-04-20,AGENT_BEHAVIOR,RESOLVED
COMP0000304,A003348,2026-08-03,TOO_MANY_CALLS,CLOSED
COMP0000305,A001453,2026-02-14,OTHER,OPEN
COMP0000306,A000035,2025-10-11,TOO_MANY_CALLS,RESOLVED
COMP0000307,A002759,2025-09-02,AGENT_BEHAVIOR,CLOSED
COMP0000308,A003295,2026-04-16,WRONG_PERSON,OPEN
COMP0000309,A000201,2026-05-01,AGENT_BEHAVIOR,CLOSED
COMP0000310,A000388,2026-06-11,AGENT_BEHAVIOR,OPEN
COMP0000311,A001637,2025-10-08,OTHER,CLOSED
COMP0000312,A002376,2026-05-20,WRONG_PERSON,OPEN
COMP0000313,A001509,2025-12-26,AGENT_BEHAVIOR,OPEN
COMP0000314,A000768,2026-04-05,WRONG_PERSON,CLOSED
COMP0000315,A002138,2026-05-26,WRONG_PERSON,RESOLVED
COMP0000316,A000415,2025-10-21,AGENT_BEHAVIOR,CLOSED
COMP0000317,A002483,2025-11-13,WRONG_PERSON,RESOLVED
COMP0000318,A000729,2025-12-22,WRONG_PERSON,OPEN
COMP0000319,A000012,2026-06-14,OTHER,OPEN
COMP0000320,A003867,2026-04-09,WRONG_PERSON,OPEN
COMP0000321,A003816,2026-02-18,TOO_MANY_CALLS,CLOSED
COMP0000322,A001638,2025-09-17,TOO_MANY_CALLS,OPEN
COMP0000323,A003081,2026-05-20,TOO_MANY_CALLS,CLOSED
COMP0000324,A000599,2025-10-19,TOO_MANY_CALLS,RESOLVED
COMP0000325,A001632,2026-01-12,OTHER,RESOLVED
COMP0000326,A002207,2026-01-04,AGENT_BEHAVIOR,CLOSED
COMP0000327,A001507,2026-07-17,OTHER,RESOLVED
COMP0000328,A004102,2026-06-23,WRONG_PERSON,RESOLVED
COMP0000329,A000884,2026-02-04,AGENT_BEHAVIOR,RESOLVED
COMP0000330,A000208,2026-02-07,WRONG_PERSON,RESOLVED
COMP0000331,A001575,2026-06-25,AGENT_BEHAVIOR,CLOSED
COMP0000332,A002414,2026-05-19,WRONG_PERSON,CLOSED
COMP0000333,A001497,2026-03-12,WRONG_PERSON,CLOSED
COMP0000334,A001547,2025-10-23,WRONG_PERSON,RESOLVED
COMP0000335,A003948,2026-02-16,WRONG_PERSON,RESOLVED
COMP0000336,A002590,2026-04-19,TOO_MANY_CALLS,OPEN
COMP0000337,A000055,2026-01-01,AGENT_BEHAVIOR,OPEN
COMP0000338,A004188,2026-01-19,WRONG_PERSON,CLOSED
COMP0000339,A000051,2026-08-14,TOO_MANY_CALLS,OPEN
COMP0000340,A003731,2025-11-18,OTHER,CLOSED
COMP0000341,A004170,2025-09-13,TOO_MANY_CALLS,RESOLVED
COMP0000342,A000749,2026-06-02,TOO_MANY_CALLS,CLOSED
COMP0000343,A000616,2025-10-11,TOO_MANY_CALLS,RESOLVED
COMP0000344,A004080,2026-04-12,WRONG_PERSON,RESOLVED
COMP0000345,A000685,2026-04-23,TOO_MANY_CALLS,RESOLVED
COMP0000346,A004197,2026-03-08,TOO_MANY_CALLS,CLOSED
COMP0000347,A003153,2026-05-26,OTHER,OPEN
COMP0000348,A001491,2025-12-17,OTHER,OPEN
COMP0000349,A002026,2026-05-22,AGENT_BEHAVIOR,CLOSED
COMP0000350,A004078,2026-05-14,TOO_MANY_CALLS,OPEN
COMP0000351,A003310,2026-06-24,OTHER,CLOSED
COMP0000352,A000189,2026-06-26,OTHER,OPEN
COMP0000353,A000446,2026-02-03,AGENT_BEHAVIOR,RESOLVED
COMP0000354,A003035,2026-01-14,OTHER,CLOSED
COMP0000355,A002814,2026-04-13,WRONG_PERSON,RESOLVED
COMP0000356,A000695,2025-09-13,AGENT_BEHAVIOR,OPEN
COMP0000357,A002009,2026-01-27,TOO_MANY_CALLS,RESOLVED
COMP0000358,A002135,2025-10-16,OTHER,RESOLVED
COMP0000359,A003660,2025-12-14,OTHER,OPEN
COMP0000360,A001477,2026-01-13,OTHER,RESOLVED
COMP0000361,A002026,2025-11-04,WRONG_PERSON,CLOSED
COMP0000362,A003202,2025-12-16,AGENT_BEHAVIOR,RESOLVED
COMP0000363,A000627,2026-06-07,OTHER,OPEN
COMP0000364,A000529,2025-10-27,AGENT_BEHAVIOR,RESOLVED
COMP0000365,A002784,2026-06-08,WRONG_PERSON,CLOSED
COMP0000366,A003753,2025-09-10,OTHER,OPEN
COMP0000367,A001345,2025-12-06,WRONG_PERSON,CLOSED
COMP0000368,A002939,2025-11-16,TOO_MANY_CALLS,RESOLVED
COMP0000369,A000256,2026-03-10,TOO_MANY_CALLS,CLOSED
COMP0000370,A001444,2026-01-08,OTHER,CLOSED
COMP0000371,A001977,2026-08-27,AGENT_BEHAVIOR,OPEN
COMP0000372,A000978,2025-11-12,OTHER,OPEN
COMP0000373,A002815,2026-06-17,AGENT_BEHAVIOR,RESOLVED
COMP0000374,A001105,2026-03-18,TOO_MANY_CALLS,RESOLVED
COMP0000375,A003069,2026-05-26,TOO_MANY_CALLS,OPEN
COMP0000376,A002070,2026-07-09,OTHER,CLOSED
COMP0000377,A003511,2026-01-11,WRONG_PERSON,CLOSED
COMP0000378,A001068,2026-03-02,AGENT_BEHAVIOR,OPEN
COMP0000379,A001214,2025-09-16,WRONG_PERSON,RESOLVED
COMP0000380,A000111,2026-05-03,WRONG_PERSON,RESOLVED
COMP0000381,A000405,2026-03-06,WRONG_PERSON,CLOSED
COMP0000382,A003984,2026-01-21,TOO_MANY_CALLS,RESOLVED
COMP0000383,A003520,2026-05-12,WRONG_PERSON,OPEN
COMP0000384,A001435,2025-09-09,AGENT_BEHAVIOR,CLOSED
COMP0000385,A004055,2026-02-02,TOO_MANY_CALLS,OPEN
COMP0000386,A000718,2025-12-25,AGENT_BEHAVIOR,CLOSED
COMP0000387,A000070,2026-05-21,TOO_MANY_CALLS,OPEN
COMP0000388,A001860,2025-10-01,AGENT_BEHAVIOR,CLOSED
COMP0000389,A001642,2026-05-20,TOO_MANY_CALLS,CLOSED
COMP0000390,A003226,2026-07-14,AGENT_BEHAVIOR,OPEN
COMP0000391,A001365,2026-06-16,WRONG_PERSON,RESOLVED
COMP0000392,A002625,2025-12-27,WRONG_PERSON,OPEN
COMP0000393,A004159,2026-05-07,OTHER,RESOLVED
COMP0000394,A002983,2026-08-21,AGENT_BEHAVIOR,RESOLVED
COMP0000395,A002655,2025-10-15,WRONG_PERSON,RESOLVED
COMP0000396,A002118,2026-01-26,TOO_MANY_CALLS,RESOLVED
COMP0000397,A003658,2026-05-21,OTHER,CLOSED
COMP0000398,A001312,2026-03-07,AGENT_BEHAVIOR,RESOLVED
COMP0000399,A000340,2026-02-11,TOO_MANY_CALLS,OPEN
COMP0000400,A001695,2026-05-15,TOO_MANY_CALLS,RESOLVED
COMP0000401,A001819,2025-11-22,TOO_MANY_CALLS,CLOSED
COMP0000402,A000432,2026-03-24,OTHER,RESOLVED
COMP0000403,A000637,2026-06-24,OTHER,CLOSED
COMP0000404,A001262,2025-09-08,WRONG_PERSON,OPEN
