targeting_id,account_id,target_date,campaign_id,strategy,priority_band,propensity_score
T000000040,A000932,2025-09-15,C001,OLD_TARGETING,MEDIUM,0.483
T000000041,A000542,2025-09-12,C001,OLD_TARGETING,MEDIUM,0.493
T000000042,A003554,2025-09-01,C001,OLD_TARGETING,MEDIUM,0.118
T000000043,A002486,2025-09-19,C001,OLD_TARGETING,MEDIUM,0.667
T000000044,A000165,2025-09-06,C001,OLD_TARGETING,HIGH,0.819
T000000045,A000035,2025-09-24,C001,OLD_TARGETING,MEDIUM,0.668
T000000046,A001673,2025-09-06,C001,OLD_TARGETING,LOW,0.378
T000000047,A003190,2025-09-25,C001,OLD_TARGETING,LOW,0.615
T000000048,A001631,2025-09-21,C001,OLD_TARGETING,HIGH,0.703
T000000049,A003228,2025-09-05,C001,OLD_TARGETING,MEDIUM,0.679
T000000050,A002556,2025-09-02,C001,OLD_TARGETING,HIGH,0.937
T000000051,A001746,2025-09-14,C001,OLD_TARGETING,HIGH,0.576
T000000052,A003727,2025-09-03,C001,OLD_TARGETING,HIGH,0.226
T000000053,A000502,2025-09-20,C001,OLD_TARGETING,LOW,0.535
T000000054,A004084,2025-09-16,C001,OLD_TARGETING,MEDIUM,0.265
T000000055,A002177,2025-09-23,C001,OLD_TARGETING,LOW,0.95
T000000056,A003357,2025-09-07,C001,OLD_TARGETING,MEDIUM,0.55
T000000057,A000694,2025-09-10,C001,OLD_TARGETING,HIGH,0.92
T000000058,A000599,2025-09-17,C001,OLD_TARGETING,LOW,0.954
T000000059,A003408,2025-09-25,C001,OLD_TARGETING,LOW,0.141
T000000060,A003570,2025-09-24,C001,OLD_TARGETING,HIGH,0.721
T000000061,A004099,2025-09-22,C001,OLD_TARGETING,HIGH,0.252
T000000062,A002421,2025-09-12,C001,OLD_TARGETING,MEDIUM,0.684
T000000063,A002546,2025-09-03,C001,OLD_TARGETING,HIGH,0.513
T000000064,A002076,2025-09-26,C001,OLD_TARGETING,LOW,0.143
T000000065,A003521,2025-09-14,C001,OLD_TARGETING,HIGH,0.55
T000000066,A002143,2025-09-11,C001,OLD_TARGETING,LOW,0.109
T000000067,A000928,2025-09-07,C001,OLD_TARGETING,MEDIUM,0.517
T000000068,A004141,2025-09-06,C001,OLD_TARGETING,LOW,0.686
T000000069,A002827,2025-09-18,C001,OLD_TARGETING,MEDIUM,0.534
T000000070,A003970,2025-09-12,C001,OLD_TARGETING,LOW,0.915
T000000071,A002619,2025-09-21,C001,OLD_TARGETING,MEDIUM,0.93
T000000072,A000174,2025-09-22,C001,OLD_TARGETING,MEDIUM,0.66
T000000073,A003874,2025-09-04,C001,OLD_TARGETING,MEDIUM,0.263
T000000074,A001831,2025-09-01,C001,OLD_TARGETING,LOW,0.342
T000000075,A002251,2025-09-05,C001,OLD_TARGETING,MEDIUM,0.762
T000000076,A003450,2025-09-15,C001,OLD_TARGETING,MEDIUM,0.539
T000000077,A000299,2025-09-19,C001,OLD_TARGETING,HIGH,0.406
T000000078,A002717,2025-09-24,C001,OLD_TARGETING,MEDIUM,0.978
T000000079,A003018,2025-09-25,C001,OLD_TARGETING,MEDIUM,0.813
T000000080,A002871,2025-09-03,C001,OLD_TARGETING,LOW,0.504
T000000081,A001570,2025-09-27,C001,OLD_TARGETING,HIGH,0.689
T000000082,A002957,2025-09-27,C001,OLD_TARGETING,MEDIUM,0.949
T000000083,A003714,2025-09-06,C001,OLD_TARGETING,MEDIUM,0.853
T000000084,A002214,2025-09-10,C001,OLD_TARGETING,MEDIUM,0.953
T000000085,A002951,2025-09-17,C001,OLD_TARGETING,LOW,0.573
T000000086,A003690,2025-09-24,C001,OLD_TARGETING,MEDIUM,0.741
T000000087,A000548,2025-09-05,C001,OLD_TARGETING,LOW,0.59
T000000088,A002149,2025-09-25,C001,OLD_TARGETING,LOW,0.484
T000000089,A001764,2025-09-25,C001,OLD_TARGETING,HIGH,0.181
T000000090,A003569,2025-09-12,C001,OLD_TARGETING,LOW,0.15
T000000091,A000389,2025-09-01,C001,OLD_TARGETING,LOW,0.262
T000000092,A003843,2025-09-15,C001,OLD_TARGETING,HIGH,0.326
T000000093,A003270,2025-09-04,C001,OLD_TARGETING,MEDIUM,0.525
T000000094,A003744,2025-09-15,C001,OLD_TARGETING,MEDIUM,0.935
T000000095,A000335,2025-09-26,C001,OLD_TARGETING,LOW,0.49
T000000096,A002059,2025-09-08,C001,OLD_TARGETING,MEDIUM,0.23
T000000097,A000111,2025-09-22,C001,OLD_TARGETING,HIGH,0.148
T000000098,A003599,2025-09-14,C001,OLD_TARGETING,MEDIUM,0.253
T000000099,A000149,2025-09-02,C001,OLD_TARGETING,MEDIUM,0.228
T000000100,A004123,2025-09-17,C001,OLD_TARGETING,LOW,0.386
T000000101,A003469,2025-09-11,C001,OLD_TARGETING,LOW,0.605
T000000102,A002463,2025-09-27,C001,OLD_TARGETING,HIGH,0.641
T000000103,A004139,2025-09-11,C001,OLD_TARGETING,MEDIUM,0.897
T000000104,A002533,2025-09-10,C001,OLD_TARGETING,MEDIUM,0.783
T000000105,A001068,2025-09-05,C001,OLD_TARGETING,MEDIUM,0.6
T000000106,A001614,2025-09-17,C001,OLD_TARGETING,MEDIUM,0.447
T000000107,A000199,2025-09-19,C001,OLD_TARGETING,LOW,0.795
T000000108,A001057,2025-09-22,C001,OLD_TARGETING,MEDIUM,0.349
T000000109,A003537,2025-09-26,C001,OLD_TARGETING,MEDIUM,0.216
T000000110,A001285,2025-09-15,C001,OLD_TARGETING,LOW,0.587
T000000111,A002805,2025-09-19,C001,OLD_TARGETING,MEDIUM,0.876
T000000112,A002053,2025-09-15,C001,OLD_TARGETING,HIGH,0.497
T000000113,A002720,2025-09-07,C001,OLD_TARGETING,HIGH,0.206
T000000114,A002714,2025-09-15,C001,OLD_TARGETING,HIGH,0.436
T000000115,A002699,2025-09-18,C001,OLD_TARGETING,LOW,0.6
T000000116,A000171,2025-09-08,C001,OLD_TARGETING,LOW,0.659
T000000117,A002386,2025-09-12,C001,OLD_TARGETING,MEDIUM,0.495
T000000118,A000407,2025-09-16,C001,OLD_TARGETING,MEDIUM,0.256
T000000119,A001648,2025-09-06,C001,OLD_TARGETING,MEDIUM,0.815
T000000120,A002812,2025-09-05,C001,OLD_TARGETING,LOW,0.365
T000000121,A000811,2025-09-06,C001,OLD_TARGETING,MEDIUM,0.757
T000000122,A003739,2025-09-17,C001,OLD_TARGETING,LOW,0.955
T000000123,A002622,2025-09-19,C001,OLD_TARGETING,LOW,0.53
T000000124,A003676,2025-09-14,C001,OLD_TARGETING,LOW,0.926
T000000125,A002601,2025-09-17,C001,OLD_TARGETING,MEDIUM,0.928
T000000126,A002637,2025-09-10,C001,OLD_TARGETING,MEDIUM,0.423
T000000127,A001053,2025-09-01,C001,OLD_TARGETING,MEDIUM,0.674
T000000128,A000564,2025-09-07,C001,OLD_TARGETING,HIGH,0.453
T000000129,A001215,2025-09-20,C001,OLD_TARGETING,MEDIUM,0.625
T000000130,A000034,2025-09-03,C001,OLD_TARGETING,HIGH,0.368
T000000131,A003531,2025-09-25,C001,OLD_TARGETING,LOW,0.233
T000000132,A001614,2025-09-17,C001,OLD_TARGETING,HIGH,0.482
T000000133,A002722,2025-09-21,C001,OLD_TARGETING,HIGH,0.927
T000000134,A003788,2025-09-08,C001,OLD_TARGETING,MEDIUM,0.468
T000000135,A001980,2025-09-25,C001,OLD_TARGETING,LOW,0.298
T000000136,A003593,2025-09-13,C001,OLD_TARGETING,MEDIUM,0.739
T000000137,A001603,2025-09-09,C001,OLD_TARGETING,MEDIUM,0.381
T000000138,A004200,2025-09-15,C001,OLD_TARGETING,HIGH,0.149
T000000139,A003393,2025-09-07,C001,OLD_TARGETING,MEDIUM,0.622
T000000140,A001359,2025-09-01,C001,OLD_TARGETING,HIGH,0.622
T000000141,A000283,2025-09-25,C001,OLD_TARGETING,MEDIUM,0.24
T000000142,A000489,2025-09-02,C001,OLD_TARGETING,MEDIUM,0.663
T000000143,A001601,2025-09-01,C001,OLD_TARGETING,LOW,0.912
T000000144,A001152,2025-09-17,C001,OLD_TARGETING,LOW,0.37
T000000145,A002688,2025-09-11,C001,OLD_TARGETING,MEDIUM,0.633
T000000146,A000564,2025-09-22,C001,OLD_TARGETING,LOW,0.661
T000000147,A003194,2025-09-01,C001,OLD_TARGETING,MEDIUM,0.551
T000000148,A002792,2025-09-08,C001,OLD_TARGETING,MEDIUM,0.655
T000000149,A003542,2025-09-24,C001,OLD_TARGETING,HIGH,0.67
T000000150,A001014,2025-09-04,C001,OLD_TARGETING,MEDIUM,0.716
T000000151,A002705,2025-09-11,C001,OLD_TARGETING,MEDIUM,0.875
T000000152,A002142,2025-09-17,C001,OLD_TARGETING,MEDIUM,0.946
T000000153,A002910,2025-09-20,C001,OLD_TARGETING,MEDIUM,0.296
T000000154,A004126,2025-09-20,C001,OLD_TARGETING,HIGH,0.675
T000000155,A001164,2025-09-05,C001,OLD_TARGETING,HIGH,0.834
T000000156,A003991,2025-09-03,C001,OLD_TARGETING,MEDIUM,0.343
T000000157,A003798,2025-09-12,C001,OLD_TARGETING,MEDIUM,0.848
T000000158,A004093,2025-09-17,C001,OLD_TARGETING,MEDIUM,0.249
T000000159,A003424,2025-09-07,C001,OLD_TARGETING,LOW,0.463
T000000160,A003275,2025-09-22,C001,OLD_TARGETING,HIGH,0.529
T000000161,A001105,2025-09-16,C001,OLD_TARGETING,LOW,0.174
T000000162,A000736,2025-09-16,C001,OLD_TARGETING,MEDIUM,0.214
T000000163,A002473,2025-09-03,C001,OLD_TARGETING,MEDIUM,0.87
T000000164,A004094,2025-09-20,C001,OLD_TARGETING,LOW,0.293
T000000165,A003891,2025-09-15,C001,OLD_TARGETING,MEDIUM,0.633
T000000166,A000639,2025-09-08,C001,OLD_TARGETING,MEDIUM,0.464
T000000167,A000575,2025-09-16,C001,OLD_TARGETING,HIGH,0.501
T000000168,A001136,2025-09-12,C001,OLD_TARGETING,HIGH,0.164
T000000169,A000383,2025-09-06,C001,OLD_TARGETING,MEDIUM,0.829
T000000170,A000863,2025-09-03,C001,OLD_TARGETING,LOW,0.62
T000000171,A000970,2025-09-19,C001,OLD_TARGETING,MEDIUM,0.525
T000000172,A004065,2025-09-01,C001,OLD_TARGETING,MEDIUM,0.548
T000000173,A000741,2025-09-27,C001,OLD_TARGETING,MEDIUM,0.859
T000000174,A001032,2025-09-09,C001,OLD_TARGETING,MEDIUM,0.663
T000000175,A002398,2025-09-09,C001,OLD_TARGETING,MEDIUM,0.93
T000000176,A003875,2025-09-22,C001,OLD_TARGETING,LOW,0.33
T000000177,A001255,2025-09-03,C001,OLD_TARGETING,MEDIUM,0.878
T000000178,A001529,2025-09-24,C001,OLD_TARGETING,MEDIUM,0.376
T000000179,A001848,2025-09-14,C001,OLD_TARGETING,LOW,0.692
T000000180,A000037,2025-09-11,C001,OLD_TARGETING,LOW,0.638
T000000181,A000024,2025-09-08,C001,OLD_TARGETING,HIGH,0.526
T000000182,A003815,2025-09-09,C001,OLD_TARGETING,HIGH,0.53
T000000183,A001525,2025-09-22,C001,OLD_TARGETING,LOW,0.267
T000000184,A001625,2025-09-06,C001,OLD_TARGETING,MEDIUM,0.429
T000000185,A002803,2025-09-17,C001,OLD_TARGETING,MEDIUM,0.928
T000000186,A002443,2025-09-24,C001,OLD_TARGETING,MEDIUM,0.981
T000000187,A001313,2025-09-14,C001,OLD_TARGETING,MEDIUM,0.462
T000000188,A000815,2025-09-19,C001,OLD_TARGETING,HIGH,0.808
T000000189,A001775,2025-09-19,C001,OLD_TARGETING,LOW,0.46
T000000190,A003818,2025-09-04,C001,OLD_TARGETING,MEDIUM,0.432
T000000191,A001622,2025-09-14,C001,OLD_TARGETING,MEDIUM,0.645
T000000192,A003548,2025-09-05,C001,OLD_TARGETING,LOW,0.923
T000000193,A003609,2025-09-04,C001,OLD_TARGETING,MEDIUM,0.502
T000000194,A000936,2025-09-17,C001,OLD_TARGETING,MEDIUM,0.253
T000000195,A003870,2025-09-17,C001,OLD_TARGETING,MEDIUM,0.392
T000000196,A000958,2025-09-12,C001,OLD_TARGETING,LOW,0.458
T000000197,A000337,2025-09-06,C001,OLD_TARGETING,HIGH,0.269
T000000198,A003813,2025-09-13,C001,OLD_TARGETING,MEDIUM,0.478
T000000199,A001079,2025-09-08,C001,OLD_TARGETING,LOW,0.213
T000000200,A001091,2025-09-08,C001,OLD_TARGETING,HIGH,0.509
T000000201,A000761,2025-09-04,C001,OLD_TARGETING,MEDIUM,0.567
T000000202,A002841,2025-09-22,C001,OLD_TARGETING,HIGH,0.376
T000000203,A000017,2025-09-06,C001,OLD_TARGETING,MEDIUM,0.148
T000000204,A001771,2025-09-07,C001,OLD_TARGETING,MEDIUM,0.294
T000000205,A003940,2025-09-21,C001,OLD_TARGETING,MEDIUM,0.402
T000000206,A001148,2025-09-19,C001,OLD_TARGETING,HIGH,0.467
T000000207,A002274,2025-09-18,C001,OLD_TARGETING,HIGH,0.438
T000000208,A000428,2025-09-11,C001,OLD_TARGETING,MEDIUM,0.971
T000000209,A000987,2025-09-06,C001,OLD_TARGETING,MEDIUM,0.235
T000000210,A002627,2025-09-25,C001,OLD_TARGETING,HIGH,0.149
T000000211,A001491,2025-09-26,C001,OLD_TARGETING,LOW,0.939
T000000212,A003201,2025-09-25,C001,OLD_TARGETING,LOW,0.22
T000000213,A001095,2025-09-08,C001,OLD_TARGETING,MEDIUM,0.969
T000000214,A001661,2025-09-17,C001,OLD_TARGETING,LOW,0.603
T000000215,A001311,2025-09-27,C001,OLD_TARGETING,HIGH,0.52
T000000216,A004051,2025-09-18,C001,OLD_TARGETING,LOW,0.255
T000000217,A001260,2025-09-27,C001,OLD_TARGETING,MEDIUM,0.174
T000000218,A001139,2025-09-26,C001,OLD_TARGETING,MEDIUM,0.326
T000000219,A000641,2025-09-19,C001,OLD_TARGETING,MEDIUM,0.442
T000000220,A000752,2025-09-25,C001,OLD_TARGETING,MEDIUM,0.577
T000000221,A001288,2025-09-17,C001,OLD_TARGETING,LOW,0.784
T000000222,A001625,2025-09-06,C001,OLD_TARGETING,HIGH,0.456
T000000223,A000861,2025-09-23,C001,OLD_TARGETING,LOW,0.359
T000000224,A000745,2025-09-04,C001,OLD_TARGETING,HIGH,0.606
T000000225,A003526,2025-09-17,C001,OLD_TARGETING,HIGH,0.817
T000000226,A001003,2025-09-10,C001,OLD_TARGETING,MEDIUM,0.536
T000000227,A002787,2025-09-16,C001,OLD_TARGETING,HIGH,0.197
T000000228,A001504,2025-09-10,C001,OLD_TARGETING,MEDIUM,0.941
T000000229,A003173,2025-09-10,C001,OLD_TARGETING,LOW,0.738
T000000230,A002153,2025-09-05,C001,OLD_TARGETING,MEDIUM,0.232
T000000231,A003887,2025-09-24,C001,OLD_TARGETING,MEDIUM,0.858
T000000232,A003366,2025-09-03,C001,OLD_TARGETING,LOW,0.427
T000000233,A000673,2025-09-01,C001,OLD_TARGETING,MEDIUM,0.945
T000000234,A001681,2025-09-19,C001,OLD_TARGETING,MEDIUM,0.766
T000000235,A003568,2025-09-12,C001,OLD_TARGETING,LOW,0.121
T000000236,A003863,2025-09-16,C001,OLD_TARGETING,LOW,0.335
T000000237,A001937,2025-09-24,C001,OLD_TARGETING,MEDIUM,0.245
T000000238,A004016,2025-09-13,C001,OLD_TARGETING,HIGH,0.538
T000000239,A003530,2025-09-25,C001,OLD_TARGETING,MEDIUM,0.752
T000000240,A000888,2025-09-08,C001,OLD_TARGETING,MEDIUM,0.437
T000000241,A002170,2025-09-18,C001,OLD_TARGETING,LOW,0.338
T000000242,A002609,2025-09-17,C001,OLD_TARGETING,LOW,0.462
T000000243,A003510,2025-09-18,C001,OLD_TARGETING,HIGH,0.665
T000000244,A003473,2025-09-22,C001,OLD_TARGETING,MEDIUM,0.357
T000000245,A000295,2025-09-23,C001,OLD_TARGETING,HIGH,0.52
T000000246,A001132,2025-09-02,C001,OLD_TARGETING,LOW,0.347
T000000247,A001793,2025-09-11,C001,OLD_TARGETING,MEDIUM,0.989
T000000248,A001130,2025-09-04,C001,OLD_TARGETING,MEDIUM,0.801
T000000249,A004073,2025-09-11,C001,OLD_TARGETING,HIGH,0.127
T000000250,A003582,2025-09-20,C001,OLD_TARGETING,MEDIUM,0.908
T000000251,A001636,2025-09-13,C001,OLD_TARGETING,MEDIUM,0.55
T000000252,A000894,2025-09-07,C001,OLD_TARGETING,MEDIUM,0.285
T000000253,A003162,2025-09-12,C001,OLD_TARGETING,MEDIUM,0.418
T000000254,A000055,2025-09-18,C001,OLD_TARGETING,MEDIUM,0.94
T000000255,A003304,2025-09-16,C001,OLD_TARGETING,LOW,0.915
T000000256,A002641,2025-09-06,C001,OLD_TARGETING,LOW,0.453
T000000257,A001147,2025-09-10,C001,OLD_TARGETING,MEDIUM,0.73
T000000258,A002406,2025-09-14,C001,OLD_TARGETING,MEDIUM,0.12
T000000259,A001361,2025-09-05,C001,OLD_TARGETING,LOW,0.936
T000000260,A003020,2025-09-16,C001,OLD_TARGETING,MEDIUM,0.667
T000000261,A003506,2025-09-26,C001,OLD_TARGETING,MEDIUM,0.232
T000000262,A000939,2025-09-15,C001,OLD_TARGETING,MEDIUM,0.201
T000000263,A002190,2025-09-02,C001,OLD_TARGETING,LOW,0.455
T000000264,A000187,2025-09-08,C001,OLD_TARGETING,LOW,0.521
T000000265,A002727,2025-09-27,C001,OLD_TARGETING,HIGH,0.516
T000000266,A001351,2025-09-03,C001,OLD_TARGETING,MEDIUM,0.775
T000000267,A004075,2025-09-23,C001,OLD_TARGETING,HIGH,0.164
T000000268,A001319,2025-09-22,C001,OLD_TARGETING,MEDIUM,0.681
T000000269,A003587,2025-09-19,C001,OLD_TARGETING,HIGH,0.369
T000000270,A003924,2025-09-13,C001,OLD_TARGETING,MEDIUM,0.451
T000000271,A003098,2025-09-12,C001,OLD_TARGETING,HIGH,0.829
T000000272,A001544,2025-09-22,C001,OLD_TARGETING,MEDIUM,0.432
T000000273,A003446,2025-09-18,C001,OLD_TARGETING,MEDIUM,0.547
T000000274,A003625,2025-09-03,C001,OLD_TARGETING,LOW,0.686
T000000275,A001659,2025-09-12,C001,OLD_TARGETING,MEDIUM,0.702
T000000276,A003698,2025-09-16,C001,OLD_TARGETING,MEDIUM,0.28
T000000277,A000679,2025-09-01,C001,OLD_TARGETING,LOW,0.392
T000000278,A002439,2025-09-26,C001,OLD_TARGETING,LOW,0.828
T000000279,A002255,2025-09-18,C001,OLD_TARGETING,MEDIUM,0.969
T000000280,A001801,2025-09-06,C001,OLD_TARGETING,HIGH,0.554
T000000281,A000839,2025-09-06,C001,OLD_TARGETING,HIGH,0.125
T000000282,A002442,2025-09-08,C001,OLD_TARGETING,LOW,0.222
T000000283,A002428,2025-09-05,C001,OLD_TARGETING,MEDIUM,0.644
T000000284,A000297,2025-09-19,C001,OLD_TARGETING,LOW,0.711
T000000285,A000087,2025-09-09,C001,OLD_TARGETING,LOW,0.197
T000000286,A001168,2025-09-12,C001,OLD_TARGETING,MEDIUM,0.578
T000000287,A000631,2025-09-17,C001,OLD_TARGETING,MEDIUM,0.633
T000000288,A001036,2025-09-07,C001,OLD_TARGETING,MEDIUM,0.442
T000000289,A001252,2025-09-11,C001,OLD_TARGETING,HIGH,0.807
T000000290,A002779,2025-09-13,C001,OLD_TARGETING,MEDIUM,0.732
T000000291,A003358,2025-09-13,C001,OLD_TARGETING,MEDIUM,0.557
T000000292,A000751,2025-09-17,C001,OLD_TARGETING,MEDIUM,0.327
T000000293,A003695,2025-09-06,C001,OLD_TARGETING,LOW,0.982
T000000294,A000675,2025-09-24,C001,OLD_TARGETING,MEDIUM,0.632
T000000295,A001796,2025-09-16,C001,OLD_TARGETING,HIGH,0.428
T000000296,A002071,2025-09-01,C001,OLD_TARGETING,LOW,0.81
T000000297,A001693,2025-09-24,C001,OLD_TARGETING,MEDIUM,0.396
T000000298,A003572,2025-09-18,C001,OLD_TARGETING,HIGH,0.327
T000000299,A002539,2025-09-27,C001,OLD_TARGETING,HIGH,0.527
T000000300,A000737,2025-09-04,C001,OLD_TARGETING,HIGH,0.524
T000000301,A002715,2025-09-27,C001,OLD_TARGETING,HIGH,0.784
T000000302,A002390,2025-09-02,C001,OLD_TARGETING,MEDIUM,0.681
T000000303,A001953,2025-09-10,C001,OLD_TARGETING,HIGH,0.228
T000000304,A003280,2025-09-21,C001,OLD_TARGETING,MEDIUM,0.38
T000000305,A002619,2025-09-24,C001,OLD_TARGETING,LOW,0.485
T000000306,A001214,2025-09-26,C001,OLD_TARGETING,LOW,0.341
T000000307,A001620,2025-09-13,C001,OLD_TARGETING,HIGH,0.457
T000000308,A000327,2025-09-16,C001,OLD_TARGETING,MEDIUM,0.852
T000000309,A003044,2025-09-27,C001,OLD_TARGETING,LOW,0.23
T000000310,A001163,2025-09-20,C001,OLD_TARGETING,MEDIUM,0.825
T000000311,A001912,2025-09-25,C001,OLD_TARGETING,HIGH,0.396
T000000312,A003343,2025-09-08,C001,OLD_TARGETING,HIGH,0.811
T000000313,A004192,2025-09-12,C001,OLD_TARGETING,MEDIUM,0.953
T000000314,A001118,2025-09-24,C001,OLD_TARGETING,MEDIUM,0.788
T000000315,A000685,2025-09-21,C001,OLD_TARGETING,MEDIUM,0.236
T000000316,A001625,2025-09-12,C001,OLD_TARGETING,MEDIUM,0.433
T000000317,A000792,2025-09-12,C001,OLD_TARGETING,HIGH,0.298
T000000318,A003799,2025-09-12,C001,OLD_TARGETING,MEDIUM,0.315
T000000319,A003931,2025-09-25,C001,OLD_TARGETING,HIGH,0.705
T000000320,A003610,2025-09-03,C001,OLD_TARGETING,MEDIUM,0.771
T000000321,A003435,2025-09-26,C001,OLD_TARGETING,LOW,0.233
T000000322,A003331,2025-09-07,C001,OLD_TARGETING,MEDIUM,0.581
T000000323,A003987,2025-09-04,C001,OLD_TARGETING,HIGH,0.121
T000000324,A002118,2025-09-23,C001,OLD_TARGETING,MEDIUM,0.479
T000000325,A003056,2025-09-21,C001,OLD_TARGETING,HIGH,0.312
T000000326,A001937,2025-09-27,C001,OLD_TARGETING,MEDIUM,0.465
T000000327,A000555,2025-09-01,C001,OLD_TARGETING,MEDIUM,0.684
T000000328,A001436,2025-09-24,C001,OLD_TARGETING,HIGH,0.729
T000000329,A002760,2025-09-01,C001,OLD_TARGETING,MEDIUM,0.211
T000000330,A003593,2025-09-27,C001,OLD_TARGETING,MEDIUM,0.333
T000000331,A002844,2025-09-26,C001,OLD_TARGETING,MEDIUM,0.72
T000000332,A001740,2025-09-03,C001,OLD_TARGETING,MEDIUM,0.197
T000000333,A001551,2025-09-07,C001,OLD_TARGETING,HIGH,0.91
T000000334,A001871,2025-09-04,C001,OLD_TARGETING,MEDIUM,0.704
T000000335,A001690,2025-09-27,C001,OLD_TARGETING,HIGH,0.518
T000000336,A000074,2025-09-17,C001,OLD_TARGETING,LOW,0.838
T000000337,A003813,2025-09-25,C001,OLD_TARGETING,MEDIUM,0.573
T000000338,A000570,2025-09-07,C001,OLD_TARGETING,MEDIUM,0.628
T000000339,A002471,2025-09-20,C001,OLD_TARGETING,MEDIUM,0.436
T000000340,A002912,2025-09-20,C001,OLD_TARGETING,MEDIUM,0.217
T000000341,A003305,2025-09-23,C001,OLD_TARGETING,MEDIUM,0.962
T000000342,A002428,2025-09-05,C001,OLD_TARGETING,LOW,0.299
T000000343,A002824,2025-09-02,C001,OLD_TARGETING,MEDIUM,0.257
T000000344,A002662,2025-09-06,C001,OLD_TARGETING,HIGH,0.763
T000000345,A002411,2025-09-04,C001,OLD_TARGETING,MEDIUM,0.354
T000000346,A000090,2025-09-23,C001,OLD_TARGETING,LOW,0.284
T000000347,A003378,2025-09-01,C001,OLD_TARGETING,MEDIUM,0.764
T000000348,A000681,2025-09-25,C001,OLD_TARGETING,HIGH,0.175
T000000349,A003022,2025-09-03,C001,OLD_TARGETING,MEDIUM,0.103
T000000350,A003698,2025-09-22,C001,OLD_TARGETING,LOW,0.307
T000000351,A003787,2025-09-27,C001,OLD_TARGETING,LOW,0.682
T000000352,A001475,2025-09-04,C001,OLD_TARGETING,HIGH,0.934
T000000353,A004119,2025-09-19,C001,OLD_TARGETING,HIGH,0.242
T000000354,A003709,2025-09-04,C001,OLD_TARGETING,HIGH,0.507
T000000355,A002170,2025-09-10,C001,OLD_TARGETING,HIGH,0.799
T000000356,A001687,2025-09-21,C001,OLD_TARGETING,MEDIUM,0.146
T000000357,A004058,2025-09-26,C001,OLD_TARGETING,MEDIUM,0.332
T000000358,A002896,2025-09-15,C001,OLD_TARGETING,LOW,0.855
T000000359,A004061,2025-09-20,C001,OLD_TARGETING,LOW,0.388
