visit_id,account_id,visit_timestamp,agent_id,visit_status
FV00000092,A000477,2026-04-13 18:00:00,AG0107,SUCCESSFUL
FV00000093,A001647,2025-11-06 10:00:00,AG0115,RESCHEDULED
FV00000094,A004035,2026-03-24 18:00:00,AG0012,RESCHEDULED
FV00000095,A004199,2026-08-18 11:00:00,AG0115,UNSUCCESSFUL
FV00000096,A002961,2025-11-10 17:00:00,AG0034,SUCCESSFUL
FV00000097,A000642,2025-09-08 18:00:00,AG0020,RESCHEDULED
FV00000098,A000600,2026-04-24 13:00:00,AG0082,UNSUCCESSFUL
FV00000099,A000908,2025-09-05 16:00:00,AG0058,UNSUCCESSFUL
FV00000100,A002322,2026-01-23 08:00:00,AG0084,UNSUCCESSFUL
FV00000101,A003260,2026-07-25 12:00:00,AG0004,SUCCESSFUL
FV00000102,A003506,2026-04-10 09:00:00,AG0048,RESCHEDULED
FV00000103,A000339,2026-05-23 13:00:00,AG0102,SUCCESSFUL
FV00000104,A002417,2026-08-20 16:00:00,AG0045,UNSUCCESSFUL
FV00000105,A002414,2026-06-12 16:00:00,AG0085,UNSUCCESSFUL
FV00000106,A004023,2025-11-02 16:00:00,AG0061,SUCCESSFUL
FV00000107,A002371,2025-10-22 11:00:00,AG0115,RESCHEDULED
FV00000108,A000006,2025-12-16 10:00:00,AG0020,RESCHEDULED
FV00000109,A001987,2026-07-24 14:00:00,AG0053,UNSUCCESSFUL
FV00000110,A003172,2026-08-10 09:00:00,AG0092,UNSUCCESSFUL
FV00000111,A002150,2026-02-05 17:00:00,AG0086,UNSUCCESSFUL
FV00000112,A000128,2026-05-26 08:00:00,AG0096,SUCCESSFUL
FV00000113,A001814,2026-04-24 17:00:00,AG0013,UNSUCCESSFUL
FV00000114,A001635,2026-08-01 14:00:00,AG0058,SUCCESSFUL
FV00000115,A003770,2026-01-22 10:00:00,AG0002,SUCCESSFUL
FV00000116,A003318,2026-01-24 18:00:00,AG0034,SUCCESSFUL
FV00000117,A000619,2026-04-09 14:00:00,AG0065,UNSUCCESSFUL
FV00000118,A001839,2026-05-24 12:00:00,AG0053,SUCCESSFUL
FV00000119,A002679,2026-08-15 09:00:00,AG0059,SUCCESSFUL
FV00000120,A002587,2026-03-08 17:00:00,AG0055,UNSUCCESSFUL
FV00000121,A003069,2025-09-18 14:00:00,AG0056,SUCCESSFUL
FV00000122,A001492,2025-09-25 14:00:00,AG0073,UNSUCCESSFUL
FV00000123,A002369,2026-03-18 08:00:00,AG0023,UNSUCCESSFUL
FV00000124,A003768,2026-06-19 08:00:00,AG0030,SUCCESSFUL
FV00000125,A001147,2025-12-27 11:00:00,AG0013,UNSUCCESSFUL
FV00000126,A000135,2025-09-05 12:00:00,AG0114,SUCCESSFUL
FV00000127,A002471,2026-06-25 08:00:00,AG0085,SUCCESSFUL
FV00000128,A002632,2026-04-07 13:00:00,AG0097,UNSUCCESSFUL
FV00000129,A002359,2025-09-22 16:00:00,AG0005,UNSUCCESSFUL
FV00000130,A002511,2025-11-21 08:00:00,AG0020,UNSUCCESSFUL
FV00000131,A002886,2026-01-21 12:00:00,AG0101,SUCCESSFUL
FV00000132,A002540,2026-04-23 12:00:00,AG0044,UNSUCCESSFUL
FV00000133,A001086,2025-09-05 15:00:00,AG0106,UNSUCCESSFUL
FV00000134,A001233,2026-06-13 11:00:00,AG0104,UNSUCCESSFUL
FV00000135,A001806,2025-12-16 12:00:00,AG0114,UNSUCCESSFUL
FV00000136,A001817,2025-11-24 14:00:00,AG0096,UNSUCCESSFUL
FV00000137,A003034,2026-08-25 17:00:00,AG0083,SUCCESSFUL
FV00000138,A002766,2025-10-27 08:00:00,AG0047,RESCHEDULED
FV00000139,A002648,2025-10-17 17:00:00,AG0043,RESCHEDULED
FV00000140,A002028,2025-11-19 18:00:00,AG0001,UNSUCCESSFUL
FV00000141,A000712,2026-01-12 11:00:00,AG0008,UNSUCCESSFUL
FV00000142,A004048,2025-09-02 11:00:00,AG0048,UNSUCCESSFUL
FV00000143,A002635,2025-10-03 17:00:00,AG0028,SUCCESSFUL
FV00000144,A003881,2026-06-16 17:00:00,AG0094,UNSUCCESSFUL
FV00000145,A000520,2026-05-09 17:00:00,AG0021,RESCHEDULED
FV00000146,A003088,2026-07-07 09:00:00,AG0105,SUCCESSFUL
FV00000147,A002636,2026-07-07 10:00:00,AG0045,RESCHEDULED
FV00000148,A001819,2026-06-12 12:00:00,AG0047,SUCCESSFUL
FV00000149,A000323,2026-08-06 15:00:00,AG0109,SUCCESSFUL
FV00000150,A002519,2026-07-26 17:00:00,AG0021,SUCCESSFUL
FV00000151,A002655,2026-05-01 11:00:00,AG0047,RESCHEDULED
FV00000152,A001523,2025-10-17 11:00:00,AG0097,UNSUCCESSFUL
FV00000153,A003012,2026-06-10 09:00:00,AG0002,UNSUCCESSFUL
FV00000154,A001599,2026-07-14 08:00:00,AG0070,UNSUCCESSFUL
FV00000155,A003744,2025-09-06 13:00:00,AG0071,RESCHEDULED
FV00000156,A000742,2025-10-16 16:00:00,AG0089,UNSUCCESSFUL
FV00000157,A000615,2025-11-10 14:00:00,AG0094,RESCHEDULED
FV00000158,A003693,2025-10-16 13:00:00,AG0021,UNSUCCESSFUL
FV00000159,A002492,2025-09-16 17:00:00,AG0050,UNSUCCESSFUL
FV00000160,A003456,2025-12-25 11:00:00,AG0029,SUCCESSFUL
FV00000161,A004019,2025-10-24 16:00:00,AG0029,SUCCESSFUL
FV00000162,A000399,2026-04-06 17:00:00,AG0004,UNSUCCESSFUL
FV00000163,A001324,2026-07-09 09:00:00,AG0010,SUCCESSFUL
FV00000164,A002379,2025-10-26 15:00:00,AG0049,UNSUCCESSFUL
FV00000165,A000086,2025-10-27 12:00:00,AG0064,UNSUCCESSFUL
FV00000166,A002849,2026-03-12 14:00:00,AG0098,SUCCESSFUL
FV00000167,A001258,2026-03-13 15:00:00,AG0117,UNSUCCESSFUL
FV00000168,A002059,2026-05-07 10:00:00,AG0110,SUCCESSFUL
FV00000169,A001033,2026-06-12 18:00:00,AG0054,UNSUCCESSFUL
FV00000170,A001991,2026-07-07 09:00:00,AG0072,RESCHEDULED
FV00000171,A000539,2025-09-24 11:00:00,AG0089,SUCCESSFUL
FV00000172,A000105,2026-05-20 17:00:00,AG0049,UNSUCCESSFUL
FV00000173,A002387,2025-10-08 09:00:00,AG0020,SUCCESSFUL
FV00000174,A002869,2025-12-14 14:00:00,AG0115,UNSUCCESSFUL
FV00000175,A002232,2025-12-27 17:00:00,AG0036,UNSUCCESSFUL
FV00000176,A003927,2026-01-17 13:00:00,AG0033,RESCHEDULED
FV00000177,A001826,2025-10-07 18:00:00,AG0048,SUCCESSFUL
FV00000178,A001362,2025-11-27 08:00:00,AG0035,SUCCESSFUL
FV00000179,A002551,2026-05-04 10:00:00,AG0073,UNSUCCESSFUL
FV00000180,A001363,2025-11-25 09:00:00,AG0031,UNSUCCESSFUL
FV00000181,A002225,2025-10-24 15:00:00,AG0013,UNSUCCESSFUL
FV00000182,A004027,2025-10-06 09:00:00,AG0118,UNSUCCESSFUL
FV00000183,A003606,2026-04-23 16:00:00,AG0019,SUCCESSFUL
FV00000184,A003414,2026-04-27 11:00:00,AG0017,SUCCESSFUL
FV00000185,A002255,2025-09-25 13:00:00,AG0101,SUCCESSFUL
FV00000186,A004054,2025-12-16 16:00:00,AG0120,UNSUCCESSFUL
FV00000187,A003432,2026-08-07 16:00:00,AG0046,UNSUCCESSFUL
FV00000188,A002326,2026-08-17 10:00:00,AG0099,SUCCESSFUL
FV00000189,A001749,2026-08-08 15:00:00,AG0063,UNSUCCESSFUL
FV00000190,A002108,2025-10-11 13:00:00,AG0091,SUCCESSFUL
FV00000191,A000546,2026-01-23 16:00:00,AG0105,SUCCESSFUL
FV00000192,A002001,2026-06-17 16:00:00,AG0001,UNSUCCESSFUL
FV00000193,A002366,2026-02-24 12:00:00,AG0111,UNSUCCESSFUL
FV00000194,A000893,2026-03-18 13:00:00,AG0112,RESCHEDULED
FV00000195,A003080,2026-08-17 14:00:00,AG0105,SUCCESSFUL
FV00000196,A003047,2026-04-23 13:00:00,AG0045,SUCCESSFUL
FV00000197,A001482,2025-09-12 17:00:00,AG0113,UNSUCCESSFUL
FV00000198,A000278,2026-04-21 11:00:00,AG0042,SUCCESSFUL
FV00000199,A001189,2025-10-17 11:00:00,AG0042,SUCCESSFUL
FV00000200,A001239,2026-07-20 08:00:00,AG0090,RESCHEDULED
FV00000201,A002978,2026-04-25 18:00:00,AG0035,SUCCESSFUL
FV00000202,A002019,2026-04-14 11:00:00,AG0055,UNSUCCESSFUL
FV00000203,A000503,2026-04-13 08:00:00,AG0043,UNSUCCESSFUL
FV00000204,A001756,2025-12-01 08:00:00,AG0072,UNSUCCESSFUL
FV00000205,A000659,2026-01-17 08:00:00,AG0100,SUCCESSFUL
FV00000206,A000605,2026-04-10 09:00:00,AG0068,UNSUCCESSFUL
FV00000207,A003527,2026-07-15 11:00:00,AG0012,UNSUCCESSFUL
FV00000208,A001438,2026-07-25 15:00:00,AG0091,RESCHEDULED
FV00000209,A001381,2026-02-18 14:00:00,AG0098,RESCHEDULED
FV00000210,A001654,2026-02-06 16:00:00,AG0072,RESCHEDULED
FV00000211,A002184,2025-10-15 12:00:00,AG0076,UNSUCCESSFUL
FV00000212,A000737,2025-12-12 17:00:00,AG0067,UNSUCCESSFUL
FV00000213,A000759,2026-03-07 10:00:00,AG0037,SUCCESSFUL
FV00000214,A003983,2025-12-13 17:00:00,AG0007,RESCHEDULED
FV00000215,A001386,2026-02-22 13:00:00,AG0030,RESCHEDULED
FV00000216,A003141,2026-01-20 09:00:00,AG0061,UNSUCCESSFUL
FV00000217,A003793,2026-06-06 17:00:00,AG0004,UNSUCCESSFUL
FV00000218,A002715,2026-02-14 13:00:00,AG0117,SUCCESSFUL
FV00000219,A000275,2025-09-24 16:00:00,AG0117,RESCHEDULED
FV00000220,A001420,2026-07-11 09:00:00,AG0050,UNSUCCESSFUL
FV00000221,A000767,2025-10-07 18:00:00,AG0078,SUCCESSFUL
FV00000222,A001558,2026-04-01 17:00:00,AG0090,UNSUCCESSFUL
FV00000223,A000045,2026-02-27 10:00:00,AG0024,SUCCESSFUL
FV00000224,A003369,2026-05-15 16:00:00,AG0081,SUCCESSFUL
FV00000225,A000623,2026-07-03 09:00:00,AG0075,UNSUCCESSFUL
FV00000226,A001287,2025-11-05 13:00:00,AG0117,SUCCESSFUL
FV00000227,A000898,2026-07-18 10:00:00,AG0030,RESCHEDULED
FV00000228,A002270,2026-01-07 17:00:00,AG0008,SUCCESSFUL
FV00000229,A001751,2026-03-26 17:00:00,AG0025,UNSUCCESSFUL
FV00000230,A000360,2026-02-07 09:00:00,AG0033,SUCCESSFUL
FV00000231,A001135,2026-06-17 15:00:00,AG0074,SUCCESSFUL
FV00000232,A002092,2025-11-03 11:00:00,AG0020,SUCCESSFUL
FV00000233,A001443,2025-12-06 13:00:00,AG0069,UNSUCCESSFUL
FV00000234,A000708,2026-02-05 15:00:00,AG0044,UNSUCCESSFUL
FV00000235,A000162,2025-10-05 15:00:00,AG0018,UNSUCCESSFUL
FV00000236,A003589,2025-12-08 09:00:00,AG0061,SUCCESSFUL
FV00000237,A000760,2026-06-23 15:00:00,AG0102,UNSUCCESSFUL
FV00000238,A002669,2026-08-13 09:00:00,AG0102,UNSUCCESSFUL
FV00000239,A003112,2025-12-11 16:00:00,AG0037,UNSUCCESSFUL
FV00000240,A001315,2026-07-09 14:00:00,AG0066,SUCCESSFUL
FV00000241,A000614,2026-03-05 14:00:00,AG0103,UNSUCCESSFUL
FV00000242,A000188,2026-04-10 11:00:00,AG0091,UNSUCCESSFUL
FV00000243,A002806,2026-04-20 11:00:00,AG0079,UNSUCCESSFUL
FV00000244,A000021,2026-06-16 09:00:00,AG0096,SUCCESSFUL
FV00000245,A002269,2026-05-09 15:00:00,AG0037,RESCHEDULED
FV00000246,A003905,2026-04-19 18:00:00,AG0065,UNSUCCESSFUL
FV00000247,A003738,2026-07-21 13:00:00,AG0002,UNSUCCESSFUL
FV00000248,A003578,2026-07-09 08:00:00,AG0029,SUCCESSFUL
FV00000249,A002371,2025-11-01 14:00:00,AG0051,SUCCESSFUL
FV00000250,A003601,2026-03-21 11:00:00,AG0009,RESCHEDULED
FV00000251,A003182,2026-05-18 10:00:00,AG0075,UNSUCCESSFUL
FV00000252,A001765,2026-01-14 16:00:00,AG0057,SUCCESSFUL
FV00000253,A003723,2025-10-06 12:00:00,AG0107,SUCCESSFUL
FV00000254,A001701,2026-06-15 10:00:00,AG0034,SUCCESSFUL
FV00000255,A003627,2026-06-21 09:00:00,AG0061,SUCCESSFUL
FV00000256,A002316,2026-05-19 08:00:00,AG0035,UNSUCCESSFUL
FV00000257,A000154,2026-04-01 11:00:00,AG0014,UNSUCCESSFUL
FV00000258,A002763,2025-11-23 15:00:00,AG0004,UNSUCCESSFUL
FV00000259,A003356,2026-05-14 15:00:00,AG0077,SUCCESSFUL
FV00000260,A002366,2025-12-18 12:00:00,AG0088,UNSUCCESSFUL
FV00000261,A002516,2026-03-16 16:00:00,AG0003,UNSUCCESSFUL
FV00000262,A003351,2026-03-18 13:00:00,AG0021,UNSUCCESSFUL
FV00000263,A000458,2026-01-26 17:00:00,AG0086,UNSUCCESSFUL
FV00000264,A002335,2026-08-03 10:00:00,AG0076,UNSUCCESSFUL
FV00000265,A000101,2026-08-24 10:00:00,AG0043,UNSUCCESSFUL
FV00000266,A002546,2026-01-16 17:00:00,AG0049,UNSUCCESSFUL
FV00000267,A001913,2025-12-09 14:00:00,AG0020,UNSUCCESSFUL
FV00000268,A001353,2026-06-18 18:00:00,AG0035,SUCCESSFUL
FV00000269,A001600,2026-01-01 10:00:00,AG0052,UNSUCCESSFUL
FV00000270,A001139,2026-08-07 11:00:00,AG0036,SUCCESSFUL
FV00000271,A004131,2026-03-08 13:00:00,AG0044,UNSUCCESSFUL
FV00000272,A000573,2026-03-01 11:00:00,AG0047,UNSUCCESSFUL
FV00000273,A002122,2026-07-01 13:00:00,AG0034,UNSUCCESSFUL
FV00000274,A002363,2026-06-13 14:00:00,AG0089,SUCCESSFUL
FV00000275,A002398,2025-09-01 11:00:00,AG0101,SUCCESSFUL
FV00000276,A001567,2025-10-14 09:00:00,AG0098,UNSUCCESSFUL
FV00000277,A001500,2026-01-13 12:00:00,AG0023,UNSUCCESSFUL
FV00000278,A003545,2025-10-11 09:00:00,AG0115,SUCCESSFUL
FV00000279,A000232,2026-04-24 14:00:00,AG0032,UNSUCCESSFUL
FV00000280,A001188,2025-11-12 14:00:00,AG0105,UNSUCCESSFUL
FV00000281,A003253,2025-09-02 15:00:00,AG0042,SUCCESSFUL
FV00000282,A003678,2026-02-15 17:00:00,AG0103,UNSUCCESSFUL
FV00000283,A001662,2026-07-04 12:00:00,AG0077,UNSUCCESSFUL
FV00000284,A003521,2026-05-21 11:00:00,AG0096,SUCCESSFUL
FV00000285,A002495,2025-09-11 11:00:00,AG0064,SUCCESSFUL
FV00000286,A003316,2025-12-17 10:00:00,AG0073,UNSUCCESSFUL
FV00000287,A003488,2026-03-06 16:00:00,AG0038,SUCCESSFUL
FV00000288,A002190,2026-02-19 15:00:00,AG0077,UNSUCCESSFUL
FV00000289,A004154,2026-05-20 08:00:00,AG0025,UNSUCCESSFUL
FV00000290,A001456,2026-03-25 17:00:00,AG0010,SUCCESSFUL
FV00000291,A000886,2025-12-14 08:00:00,AG0096,SUCCESSFUL
FV00000292,A002086,2026-07-04 10:00:00,AG0051,UNSUCCESSFUL
FV00000293,A001394,2026-04-26 08:00:00,AG0001,SUCCESSFUL
FV00000294,A001204,2026-01-19 16:00:00,AG0092,UNSUCCESSFUL
FV00000295,A003438,2026-02-03 16:00:00,AG0108,SUCCESSFUL
FV00000296,A002968,2026-01-17 18:00:00,AG0068,RESCHEDULED
FV00000297,A000375,2026-06-26 14:00:00,AG0030,SUCCESSFUL
FV00000298,A004055,2026-06-19 14:00:00,AG0059,UNSUCCESSFUL
FV00000299,A001101,2025-11-20 18:00:00,AG0108,SUCCESSFUL
FV00000300,A003443,2026-05-01 08:00:00,AG0083,UNSUCCESSFUL
FV00000301,A001751,2025-12-16 18:00:00,AG0039,SUCCESSFUL
FV00000302,A000102,2025-10-18 16:00:00,AG0082,UNSUCCESSFUL
FV00000303,A000216,2026-02-04 14:00:00,AG0100,UNSUCCESSFUL
FV00000304,A000306,2025-09-23 10:00:00,AG0030,SUCCESSFUL
FV00000305,A002432,2025-11-13 18:00:00,AG0024,SUCCESSFUL
FV00000306,A000824,2025-10-09 12:00:00,AG0108,SUCCESSFUL
FV00000307,A002116,2026-01-08 09:00:00,AG0043,SUCCESSFUL
FV00000308,A000019,2026-03-26 11:00:00,AG0063,SUCCESSFUL
FV00000309,A002131,2026-06-08 13:00:00,AG0047,SUCCESSFUL
FV00000310,A002766,2025-12-25 10:00:00,AG0008,UNSUCCESSFUL
FV00000311,A002881,2025-12-05 08:00:00,AG0097,UNSUCCESSFUL
FV00000312,A002532,2026-02-22 11:00:00,AG0117,UNSUCCESSFUL
FV00000313,A003896,2026-05-14 15:00:00,AG0003,SUCCESSFUL
FV00000314,A001010,2026-03-15 12:00:00,AG0024,RESCHEDULED
FV00000315,A002361,2026-03-07 09:00:00,AG0018,UNSUCCESSFUL
FV00000316,A004012,2026-07-27 14:00:00,AG0071,UNSUCCESSFUL
FV00000317,A000934,2026-02-15 12:00:00,AG0053,UNSUCCESSFUL
FV00000318,A003437,2026-05-17 08:00:00,AG0008,RESCHEDULED
FV00000319,A003414,2026-05-01 16:00:00,AG0112,SUCCESSFUL
FV00000320,A003980,2025-09-23 12:00:00,AG0053,UNSUCCESSFUL
FV00000321,A003300,2025-12-06 10:00:00,AG0049,UNSUCCESSFUL
FV00000322,A001580,2026-03-21 13:00:00,AG0093,SUCCESSFUL
FV00000323,A000415,2026-07-06 13:00:00,AG0013,UNSUCCESSFUL
FV00000324,A001890,2026-06-15 14:00:00,AG0078,SUCCESSFUL
FV00000325,A001002,2026-02-03 11:00:00,AG0086,RESCHEDULED
FV00000326,A003485,2025-12-25 12:00:00,AG0009,SUCCESSFUL
FV00000327,A001223,2025-09-18 09:00:00,AG0006,SUCCESSFUL
FV00000328,A001882,2025-10-06 08:00:00,AG0006,SUCCESSFUL
FV00000329,A000928,2025-11-22 10:00:00,AG0104,SUCCESSFUL
FV00000330,A003869,2025-10-20 13:00:00,AG0043,UNSUCCESSFUL
FV00000331,A001409,2026-01-05 11:00:00,AG0009,SUCCESSFUL
FV00000332,A000420,2026-01-06 15:00:00,AG0066,UNSUCCESSFUL
FV00000333,A003986,2026-03-05 15:00:00,AG0120,UNSUCCESSFUL
FV00000334,A002377,2026-04-26 16:00:00,AG0067,UNSUCCESSFUL
FV00000335,A000534,2026-04-26 08:00:00,AG0029,SUCCESSFUL
FV00000336,A003280,2025-10-11 10:00:00,AG0029,SUCCESSFUL
FV00000337,A003506,2025-12-15 08:00:00,AG0054,UNSUCCESSFUL
FV00000338,A004071,2026-02-15 12:00:00,AG0024,UNSUCCESSFUL
FV00000339,A004025,2026-05-03 15:00:00,AG0120,SUCCESSFUL
FV00000340,A004147,2026-07-01 08:00:00,AG0074,UNSUCCESSFUL
FV00000341,A001226,2026-02-03 10:00:00,AG0014,SUCCESSFUL
FV00000342,A003405,2026-02-21 14:00:00,AG0033,UNSUCCESSFUL
FV00000343,A002696,2026-06-19 09:00:00,AG0012,SUCCESSFUL
FV00000344,A000082,2026-05-26 17:00:00,AG0093,UNSUCCESSFUL
FV00000345,A003639,2026-08-16 16:00:00,AG0086,UNSUCCESSFUL
FV00000346,A003919,2026-02-19 18:00:00,AG0074,SUCCESSFUL
FV00000347,A000766,2025-09-02 14:00:00,AG0001,UNSUCCESSFUL
FV00000348,A000175,2026-08-06 14:00:00,AG0011,UNSUCCESSFUL
FV00000349,A000832,2025-12-16 09:00:00,AG0024,UNSUCCESSFUL
FV00000350,A000558,2025-10-21 14:00:00,AG0109,SUCCESSFUL
FV00000351,A003151,2025-12-10 08:00:00,AG0102,UNSUCCESSFUL
FV00000352,A000169,2025-12-05 18:00:00,AG0054,SUCCESSFUL
FV00000353,A000912,2025-11-07 16:00:00,AG0119,SUCCESSFUL
FV00000354,A002645,2026-06-17 10:00:00,AG0043,UNSUCCESSFUL
FV00000355,A003496,2026-08-27 16:00:00,AG0015,UNSUCCESSFUL
FV00000356,A003587,2025-09-23 17:00:00,AG0038,UNSUCCESSFUL
FV00000357,A000259,2025-10-09 12:00:00,AG0102,UNSUCCESSFUL
FV00000358,A000393,2026-02-12 12:00:00,AG0068,SUCCESSFUL
