attempt_id,call_id,account_id,attempt_timestamp,agent_id,channel
ATT000000058,CALL00000058,A001788,2026-02-27 21:33:00,AG0069,Predictive Dialer
ATT000000059,CALL00000059,A000825,2026-05-21 10:02:00,AG0117,Human Calling
ATT000000060,CALL00000060,A003278,2026-08-10 06:30:00,AG0023,Human Calling
ATT000000061,CALL00000061,A001593,2026-01-16 13:50:00,AG0110,AI Voice
ATT000000062,CALL00000062,A000882,2026-05-17 22:01:00,AG0110,IVR
ATT000000063,CALL00000063,A001291,2025-10-25 07:53:00,AG0056,Human Calling
ATT000000064,CALL00000064,A002292,2026-07-24 20:03:00,AG0108,Human Calling
ATT000000065,CALL00000065,A000103,2026-04-24 12:05:00,AG0034,Human Calling
ATT000000066,CALL00000066,A003858,2026-08-07 12:21:00,AG0014,Predictive Dialer
ATT000000067,CALL00000067,A000401,2026-02-11 13:58:00,AG0066,Human Calling
ATT000000068,CALL00000068,A002058,2026-06-16 06:18:00,AG0003,AI Voice
ATT000000069,CALL00000069,A001654,2025-09-25 06:12:00,AG0007,Human Calling
ATT000000070,CALL00000070,A001130,2026-02-23 23:01:00,AG0056,AI Voice
ATT000000071,CALL00000071,A003291,2026-01-19 19:56:00,AG0004,Human Calling
ATT000000072,CALL00000072,A001539,2026-02-01 07:29:00,AG0014,Human Calling
ATT000000073,CALL00000073,A001049,2026-03-05 23:07:00,AG0067,Human Calling
ATT000000074,CALL00000074,A001883,2025-10-10 12:27:00,AG0085,Predictive Dialer
ATT000000075,CALL00000075,A002961,2025-09-22 22:37:00,AG0079,Predictive Dialer
ATT000000076,CALL00000076,A003482,2026-04-12 12:22:00,AG0091,IVR
ATT000000077,CALL00000077,A003503,2026-05-26 16:57:00,AG0082,Human Calling
ATT000000078,CALL00000078,A000680,2026-02-02 07:19:00,AG0022,Predictive Dialer
ATT000000079,CALL00000079,A004004,2025-11-10 17:13:00,AG0051,Human Calling
ATT000000080,CALL00000080,A001358,2026-03-10 12:13:00,AG0059,Human Calling
ATT000000081,CALL00000081,A004108,2026-04-09 07:12:00,AG0099,Predictive Dialer
ATT000000082,CALL00000082,A004027,2025-10-26 18:28:00,AG0052,Human Calling
ATT000000083,CALL00000083,A000694,2026-06-09 15:59:00,AG0093,Predictive Dialer
ATT000000084,CALL00000084,A000170,2026-06-17 07:39:00,AG0024,Human Calling
ATT000000085,CALL00000085,A002509,2026-07-09 11:13:00,AG0058,Predictive Dialer
ATT000000086,CALL00000086,A003370,2026-05-25 16:43:00,AG0118,AI Voice
ATT000000087,CALL00000087,A002716,2026-01-04 08:34:00,AG0069,AI Voice
ATT000000088,CALL00000088,A001881,2026-08-02 11:45:00,AG0036,AI Voice
ATT000000089,CALL00000089,A002138,2026-06-12 23:41:00,AG0029,AI Voice
ATT000000090,CALL00000090,A003021,2026-01-21 09:28:00,AG0085,Predictive Dialer
ATT000000091,CALL00000091,A002232,2026-04-26 23:23:00,AG0047,Predictive Dialer
ATT000000092,CALL00000092,A003430,2025-12-25 16:29:00,AG0082,IVR
ATT000000093,CALL00000093,A000456,2025-10-16 18:34:00,AG0042,Human Calling
ATT000000094,CALL00000094,A001397,2026-05-17 18:33:00,AG0089,AI Voice
ATT000000095,CALL00000095,A002002,2026-02-18 06:04:00,AG0111,AI Voice
ATT000000096,CALL00000096,A002733,2026-02-23 15:51:00,AG0020,Human Calling
ATT000000097,CALL00000097,A001644,2026-03-10 13:46:00,AG0052,AI Voice
ATT000000098,CALL00000098,A000419,2025-11-26 07:25:00,AG0017,IVR
ATT000000099,CALL00000099,A001193,2026-01-21 21:48:00,AG0081,Human Calling
ATT000000100,CALL00000100,A000682,2026-07-25 14:17:00,AG0048,Human Calling
ATT000000101,CALL00000101,A002158,2026-06-25 18:21:00,AG0002,Human Calling
ATT000000102,CALL00000102,A001420,2026-03-01 11:57:00,AG0061,Human Calling
ATT000000103,CALL00000103,A001010,2026-03-12 14:10:00,AG0066,IVR
ATT000000104,CALL00000104,A004059,2026-06-02 15:42:00,AG0091,Human Calling
ATT000000105,CALL00000105,A003723,2025-11-20 13:56:00,AG0120,Predictive Dialer
ATT000000106,CALL00000106,A002963,2025-12-03 13:27:00,AG0019,Human Calling
ATT000000107,CALL00000107,A001702,2026-04-16 18:00:00,AG0048,Human Calling
ATT000000108,CALL00000108,A001801,2026-05-10 14:37:00,AG0102,Human Calling
ATT000000109,CALL00000109,A000768,2026-05-05 14:53:00,AG0093,Human Calling
ATT000000110,CALL00000110,A002926,2026-03-11 16:06:00,AG0028,Human Calling
ATT000000111,CALL00000111,A003642,2026-04-25 23:30:00,AG0046,Human Calling
ATT000000112,CALL00000112,A000989,2025-11-27 18:03:00,AG0114,Human Calling
ATT000000113,CALL00000113,A001189,2026-06-24 14:52:00,AG0029,Predictive Dialer
ATT000000114,CALL00000114,A002175,2026-06-11 10:15:00,AG0011,IVR
ATT000000115,CALL00000115,A004006,2026-06-18 07:34:00,AG0106,Human Calling
ATT000000116,CALL00000116,A001825,2026-01-16 16:04:00,AG0112,Human Calling
ATT000000117,CALL00000117,A003671,2026-08-10 14:09:00,AG0002,IVR
ATT000000118,CALL00000118,A003676,2026-08-18 06:24:00,AG0017,Predictive Dialer
ATT000000119,CALL00000119,A003285,2025-12-15 09:53:00,AG0008,IVR
ATT000000120,CALL00000120,A003508,2025-09-13 10:52:00,AG0083,IVR
ATT000000121,CALL00000121,A002522,2025-11-15 11:29:00,AG0077,AI Voice
ATT000000122,CALL00000122,A001563,2026-04-27 19:45:00,AG0049,IVR
ATT000000123,CALL00000123,A001686,2026-02-07 06:22:00,AG0061,Human Calling
ATT000000124,CALL00000124,A001248,2026-08-13 08:00:00,AG0097,IVR
ATT000000125,CALL00000125,A000979,2025-11-12 14:12:00,AG0094,Human Calling
ATT000000126,CALL00000126,A001460,2026-05-05 17:46:00,AG0026,Human Calling
ATT000000127,CALL00000127,A001497,2025-12-05 12:07:00,AG0086,AI Voice
ATT000000128,CALL00000128,A003969,2026-04-17 15:21:00,AG0103,Human Calling
ATT000000129,CALL00000129,A001260,2026-05-06 22:16:00,AG0036,Human Calling
ATT000000130,CALL00000130,A002432,2026-02-13 20:34:00,AG0060,AI Voice
ATT000000131,CALL00000131,A000307,2026-06-16 07:21:00,AG0113,Human Calling
ATT000000132,CALL00000132,A004190,2026-04-10 14:52:00,AG0108,IVR
ATT000000133,CALL00000133,A003719,2026-03-05 09:24:00,AG0072,Human Calling
ATT000000134,CALL00000134,A003620,2026-03-22 16:05:00,AG0065,Human Calling
ATT000000135,CALL00000135,A002645,2026-04-07 21:07:00,AG0067,Human Calling
ATT000000136,CALL00000136,A000889,2026-05-11 16:19:00,AG0005,Human Calling
ATT000000137,CALL00000137,A003380,2026-05-27 22:12:00,AG0047,Predictive Dialer
ATT000000138,CALL00000138,A001774,2026-08-14 20:56:00,AG0091,AI Voice
ATT000000139,CALL00000139,A000648,2026-04-17 19:48:00,AG0004,Predictive Dialer
ATT000000140,CALL00000140,A003665,2025-11-08 14:40:00,AG0002,Human Calling
ATT000000141,CALL00000141,A002996,2026-05-01 18:04:00,AG0036,IVR
ATT000000142,CALL00000142,A003502,2026-04-22 16:41:00,AG0041,IVR
ATT000000143,CALL00000143,A003001,2025-10-05 16:28:00,AG0116,Predictive Dialer
ATT000000144,CALL00000144,A004156,2026-07-08 09:15:00,AG0102,Human Calling
ATT000000145,CALL00000145,A003748,2026-03-24 23:59:00,AG0049,AI Voice
ATT000000146,CALL00000146,A000811,2026-03-27 22:43:00,AG0007,Predictive Dialer
ATT000000147,CALL00000147,A002110,2026-02-01 17:54:00,AG0028,Human Calling
ATT000000148,CALL00000148,A001435,2025-10-09 22:57:00,AG0005,Human Calling
ATT000000149,CALL00000149,A002111,2025-10-04 06:17:00,AG0056,AI Voice
ATT000000150,CALL00000150,A003573,2026-01-21 07:43:00,AG0012,Predictive Dialer
ATT000000151,CALL00000151,A003718,2026-02-12 06:43:00,AG0109,Human Calling
ATT000000152,CALL00000152,A001069,2025-09-24 09:57:00,AG0029,AI Voice
ATT000000153,CALL00000153,A003949,2025-09-27 07:41:00,AG0030,Human Calling
ATT000000154,CALL00000154,A003416,2025-10-01 18:43:00,AG0029,Human Calling
ATT000000155,CALL00000155,A001406,2025-10-27 16:13:00,AG0102,Predictive Dialer
ATT000000156,CALL00000156,A000965,2025-11-10 12:40:00,AG0116,AI Voice
ATT000000157,CALL00000157,A003707,2025-11-22 15:39:00,AG0116,Human Calling
ATT000000158,CALL00000158,A003794,2026-03-21 14:01:00,AG0064,IVR
ATT000000159,CALL00000159,A001359,2026-03-01 16:41:00,AG0013,AI Voice
ATT000000160,CALL00000160,A003304,2026-06-08 17:08:00,AG0087,Predictive Dialer
ATT000000161,CALL00000161,A003821,2026-08-06 16:31:00,AG0064,Predictive Dialer
ATT000000162,CALL00000162,A001264,2026-04-25 20:39:00,AG0096,Human Calling
ATT000000163,CALL00000163,A000423,2025-09-20 17:00:00,AG0063,Human Calling
ATT000000164,CALL00000164,A000754,2025-12-24 20:36:00,AG0118,Human Calling
ATT000000165,CALL00000165,A004008,2025-12-01 15:48:00,AG0066,Human Calling
ATT000000166,CALL00000166,A000909,2025-11-10 06:20:00,AG0048,Predictive Dialer
ATT000000167,CALL00000167,A003222,2026-07-26 11:41:00,AG0004,Human Calling
ATT000000168,CALL00000168,A001199,2026-06-23 22:46:00,AG0038,Predictive Dialer
ATT000000169,CALL00000169,A000478,2026-05-01 12:16:00,AG0119,AI Voice
ATT000000170,CALL00000170,A000879,2026-04-23 08:17:00,AG0024,Predictive Dialer
ATT000000171,CALL00000171,A000397,2026-03-16 08:54:00,AG0087,Predictive Dialer
ATT000000172,CALL00000172,A000671,2026-05-04 18:22:00,AG0011,IVR
ATT000000173,CALL00000173,A001832,2026-07-08 06:31:00,AG0075,Human Calling
ATT000000174,CALL00000174,A001967,2026-07-17 08:26:00,AG0063,IVR
ATT000000175,CALL00000175,A001622,2025-09-24 17:21:00,AG0109,AI Voice
ATT000000176,CALL00000176,A003486,2025-11-11 12:42:00,AG0030,Human Calling
ATT000000177,CALL00000177,A003082,2025-11-11 09:15:00,AG0053,Human Calling
ATT000000178,CALL00000178,A001153,2026-06-12 06:58:00,AG0075,Human Calling
ATT000000179,CALL00000179,A000745,2026-04-05 19:25:00,AG0081,Predictive Dialer
ATT000000180,CALL00000180,A001687,2026-08-20 15:29:00,AG0032,Human Calling
ATT000000181,CALL00000181,A003695,2025-12-26 09:13:00,AG0090,AI Voice
ATT000000182,CALL00000182,A002879,2026-05-18 10:58:00,AG0092,Human Calling
ATT000000183,CALL00000183,A000127,2025-09-10 22:49:00,AG0059,Human Calling
ATT000000184,CALL00000184,A003641,2025-11-25 15:22:00,AG0071,Human Calling
ATT000000185,CALL00000185,A003126,2026-06-16 23:29:00,AG0046,IVR
ATT000000186,CALL00000186,A001462,2026-02-07 13:24:00,AG0088,AI Voice
ATT000000187,CALL00000187,A002181,2026-07-07 14:03:00,AG0005,Human Calling
ATT000000188,CALL00000188,A003087,2026-06-25 21:28:00,AG0075,AI Voice
ATT000000189,CALL00000189,A003644,2026-08-11 15:46:00,AG0093,IVR
ATT000000190,CALL00000190,A004083,2026-01-12 07:21:00,AG0045,AI Voice
ATT000000191,CALL00000191,A003332,2026-02-22 20:27:00,AG0069,Human Calling
ATT000000192,CALL00000192,A003897,2026-02-14 11:48:00,AG0078,Human Calling
ATT000000193,CALL00000193,A001060,2025-11-16 16:29:00,AG0030,AI Voice
ATT000000194,CALL00000194,A001201,2025-10-04 18:34:00,AG0093,Human Calling
ATT000000195,CALL00000195,A000594,2026-03-03 20:11:00,AG0034,Human Calling
ATT000000196,CALL00000196,A002810,2026-08-01 14:08:00,AG0115,Human Calling
ATT000000197,CALL00000197,A001630,2026-01-15 10:06:00,AG0040,AI Voice
ATT000000198,CALL00000198,A002546,2026-03-24 19:19:00,AG0085,Human Calling
ATT000000199,CALL00000199,A003261,2026-08-11 14:47:00,AG0090,Human Calling
ATT000000200,CALL00000200,A001722,2026-01-19 08:26:00,AG0090,Human Calling
ATT000000201,CALL00000201,A001674,2025-09-21 15:30:00,AG0075,IVR
ATT000000202,CALL00000202,A000413,2026-07-18 15:31:00,AG0073,Predictive Dialer
ATT000000203,CALL00000203,A003936,2025-10-14 14:46:00,AG0088,Human Calling
ATT000000204,CALL00000204,A003012,2026-07-01 17:40:00,AG0015,Predictive Dialer
ATT000000205,CALL00000205,A003757,2026-03-23 11:50:00,AG0038,Human Calling
ATT000000206,CALL00000206,A001146,2026-02-03 19:50:00,AG0115,Predictive Dialer
ATT000000207,CALL00000207,A003006,2026-04-08 17:29:00,AG0081,IVR
ATT000000208,CALL00000208,A003464,2026-05-12 15:48:00,AG0013,Human Calling
ATT000000209,CALL00000209,A003412,2026-01-27 12:19:00,AG0071,Predictive Dialer
ATT000000210,CALL00000210,A001365,2025-11-19 22:48:00,AG0068,Predictive Dialer
ATT000000211,CALL00000211,A003273,2025-09-11 16:48:00,AG0008,AI Voice
ATT000000212,CALL00000212,A001579,2025-12-24 12:09:00,AG0015,Human Calling
ATT000000213,CALL00000213,A000686,2026-01-22 14:42:00,AG0027,Human Calling
ATT000000214,CALL00000214,A000711,2026-05-18 06:23:00,AG0067,Human Calling
ATT000000215,CALL00000215,A003376,2026-02-05 17:36:00,AG0042,Human Calling
ATT000000216,CALL00000216,A000342,2025-12-26 14:31:00,AG0006,Predictive Dialer
ATT000000217,CALL00000217,A001850,2026-04-26 11:25:00,AG0073,Human Calling
ATT000000218,CALL00000218,A000227,2025-10-04 23:17:00,AG0022,Human Calling
ATT000000219,CALL00000219,A000589,2025-10-10 14:39:00,AG0038,AI Voice
ATT000000220,CALL00000220,A001481,2026-01-03 19:34:00,AG0011,Human Calling
ATT000000221,CALL00000221,A002229,2025-11-01 11:37:00,AG0078,Human Calling
ATT000000222,CALL00000222,A002210,2025-12-27 16:56:00,AG0081,IVR
ATT000000223,CALL00000223,A003754,2025-09-05 16:56:00,AG0015,Predictive Dialer
ATT000000224,CALL00000224,A001791,2025-12-26 12:47:00,AG0071,AI Voice
ATT000000225,CALL00000225,A001590,2025-09-22 21:47:00,AG0043,AI Voice
ATT000000226,CALL00000226,A000688,2025-11-05 11:31:00,AG0017,Predictive Dialer
ATT000000227,CALL00000227,A002146,2025-10-24 23:54:00,AG0064,IVR
ATT000000228,CALL00000228,A002197,2026-01-03 19:59:00,AG0041,Human Calling
ATT000000229,CALL00000229,A001070,2025-11-14 09:09:00,AG0081,Human Calling
ATT000000230,CALL00000230,A004104,2026-02-03 20:19:00,AG0104,Human Calling
ATT000000231,CALL00000231,A003665,2025-09-14 22:47:00,AG0084,Human Calling
ATT000000232,CALL00000232,A003687,2026-05-01 17:19:00,AG0012,AI Voice
ATT000000233,CALL00000233,A002605,2026-08-08 13:19:00,AG0025,AI Voice
ATT000000234,CALL00000234,A002777,2026-07-17 17:20:00,AG0029,Predictive Dialer
ATT000000235,CALL00000235,A000385,2026-01-11 15:53:00,AG0016,AI Voice
ATT000000236,CALL00000236,A003854,2026-06-26 19:25:00,AG0108,Predictive Dialer
ATT000000237,CALL00000237,A000169,2025-09-10 07:54:00,AG0068,Human Calling
ATT000000238,CALL00000238,A001945,2026-03-10 06:35:00,AG0061,AI Voice
ATT000000239,CALL00000239,A001496,2025-10-16 22:25:00,AG0067,AI Voice
ATT000000240,CALL00000240,A002776,2026-08-08 21:52:00,AG0098,AI Voice
ATT000000241,CALL00000241,A003086,2025-12-24 06:58:00,AG0011,Human Calling
ATT000000242,CALL00000242,A001558,2026-01-03 17:32:00,AG0058,Human Calling
ATT000000243,CALL00000243,A004049,2026-08-21 07:34:00,AG0056,AI Voice
ATT000000244,CALL00000244,A000042,2025-11-25 16:11:00,AG0098,Predictive Dialer
ATT000000245,CALL00000245,A001465,2026-08-17 13:44:00,AG0026,AI Voice
ATT000000246,CALL00000246,A001775,2025-12-26 21:57:00,AG0031,IVR
ATT000000247,CALL00000247,A000244,2025-11-02 10:36:00,AG0042,Predictive Dialer
ATT000000248,CALL00000248,A002929,2026-07-09 18:57:00,AG0058,Human Calling
ATT000000249,CALL00000249,A000912,2026-02-05 08:18:00,AG0069,AI Voice
ATT000000250,CALL00000250,A001086,2025-11-06 17:41:00,AG0067,Predictive Dialer
ATT000000251,CALL00000251,A000299,2026-07-12 21:32:00,AG0109,Human Calling
ATT000000252,CALL00000252,A002446,2025-10-26 09:19:00,AG0096,AI Voice
ATT000000253,CALL00000253,A003926,2026-08-08 07:00:00,AG0004,Human Calling
ATT000000254,CALL00000254,A003770,2026-08-22 06:13:00,AG0071,Human Calling
ATT000000255,CALL00000255,A002491,2026-04-25 07:35:00,AG0062,Human Calling
ATT000000256,CALL00000256,A000763,2026-06-22 15:51:00,AG0014,Human Calling
ATT000000257,CALL00000257,A003145,2026-01-06 13:28:00,AG0086,Human Calling
ATT000000258,CALL00000258,A000851,2026-05-25 12:21:00,AG0087,Human Calling
ATT000000259,CALL00000259,A000697,2026-07-11 23:31:00,AG0038,Predictive Dialer
ATT000000260,CALL00000260,A000581,2025-09-24 21:26:00,AG0065,Human Calling
ATT000000261,CALL00000261,A003151,2026-03-20 20:48:00,AG0097,Human Calling
ATT000000262,CALL00000262,A000183,2025-11-24 15:09:00,AG0041,IVR
ATT000000263,CALL00000263,A000698,2026-05-22 08:45:00,AG0002,Human Calling
ATT000000264,CALL00000264,A000914,2025-09-07 13:59:00,AG0060,Human Calling
ATT000000265,CALL00000265,A001359,2026-01-01 08:05:00,AG0062,Predictive Dialer
ATT000000266,CALL00000266,A000094,2026-08-10 07:03:00,AG0112,Human Calling
ATT000000267,CALL00000267,A002203,2026-08-15 15:15:00,AG0119,Human Calling
ATT000000268,CALL00000268,A002070,2026-04-01 08:32:00,AG0110,Human Calling
ATT000000269,CALL00000269,A001136,2025-09-22 17:01:00,AG0049,IVR
ATT000000270,CALL00000270,A003555,2026-02-04 15:46:00,AG0031,Human Calling
ATT000000271,CALL00000271,A002516,2025-11-27 06:41:00,AG0018,Predictive Dialer
ATT000000272,CALL00000272,A002871,2026-08-11 14:42:00,AG0055,Predictive Dialer
ATT000000273,CALL00000273,A003967,2026-02-25 08:26:00,AG0057,Human Calling
ATT000000274,CALL00000274,A001820,2026-05-10 19:13:00,AG0079,Human Calling
ATT000000275,CALL00000275,A000221,2026-08-07 14:29:00,AG0114,AI Voice
ATT000000276,CALL00000276,A002591,2026-03-23 11:47:00,AG0006,Human Calling
ATT000000277,CALL00000277,A004141,2026-08-17 09:06:00,AG0049,Predictive Dialer
ATT000000278,CALL00000278,A001258,2026-06-13 18:33:00,AG0110,Predictive Dialer
ATT000000279,CALL00000279,A002319,2026-05-07 18:10:00,AG0073,IVR
ATT000000280,CALL00000280,A002441,2026-07-26 20:20:00,AG0023,Predictive Dialer
ATT000000281,CALL00000281,A002635,2025-12-09 16:18:00,AG0078,Predictive Dialer
ATT000000282,CALL00000282,A000897,2026-08-11 21:17:00,AG0096,IVR
ATT000000283,CALL00000283,A001117,2026-06-13 12:47:00,AG0024,AI Voice
ATT000000284,CALL00000284,A003938,2026-04-08 21:16:00,AG0116,AI Voice
ATT000000285,CALL00000285,A001457,2025-12-03 06:21:00,AG0040,Predictive Dialer
ATT000000286,CALL00000286,A001507,2026-02-18 14:02:00,AG0016,Human Calling
ATT000000287,CALL00000287,A003755,2026-07-25 18:14:00,AG0053,Human Calling
ATT000000288,CALL00000288,A002670,2026-05-09 08:19:00,AG0057,Predictive Dialer
ATT000000289,CALL00000289,A001546,2026-05-07 13:17:00,AG0074,AI Voice
ATT000000290,CALL00000290,A002418,2026-01-26 09:15:00,AG0080,AI Voice
ATT000000291,CALL00000291,A003076,2025-10-13 19:59:00,AG0059,Predictive Dialer
ATT000000292,CALL00000292,A002014,2025-11-09 11:54:00,AG0081,Human Calling
ATT000000293,CALL00000293,A003093,2026-01-26 17:25:00,AG0071,Human Calling
ATT000000294,CALL00000294,A000657,2025-12-08 17:06:00,AG0040,Human Calling
ATT000000295,CALL00000295,A002074,2025-11-03 14:02:00,AG0031,AI Voice
ATT000000296,CALL00000296,A003045,2026-01-20 15:35:00,AG0095,Predictive Dialer
ATT000000297,CALL00000297,A001733,2026-07-24 09:35:00,AG0008,IVR
ATT000000298,CALL00000298,A000171,2026-05-26 16:48:00,AG0034,AI Voice
ATT000000299,CALL00000299,A002055,2025-09-03 19:32:00,AG0004,Human Calling
ATT000000300,CALL00000300,A000844,2026-02-05 06:16:00,AG0057,Predictive Dialer
ATT000000301,CALL00000301,A002132,2025-09-25 15:04:00,AG0101,Predictive Dialer
ATT000000302,CALL00000302,A003218,2025-11-08 11:56:00,AG0061,Predictive Dialer
ATT000000303,CALL00000303,A001429,2026-02-27 17:52:00,AG0067,Predictive Dialer
ATT000000304,CALL00000304,A001167,2026-04-26 17:22:00,AG0026,IVR
ATT000000305,CALL00000305,A001096,2025-09-27 23:27:00,AG0012,Human Calling
ATT000000306,CALL00000306,A003612,2026-07-14 13:48:00,AG0111,IVR
ATT000000307,CALL00000307,A001176,2025-10-09 11:30:00,AG0001,Human Calling
ATT000000308,CALL00000308,A002735,2026-06-17 07:43:00,AG0098,Human Calling
ATT000000309,CALL00000309,A001888,2026-01-26 20:37:00,AG0022,Predictive Dialer
ATT000000310,CALL00000310,A000568,2026-04-14 17:09:00,AG0007,Human Calling
ATT000000311,CALL00000311,A004013,2026-08-10 20:39:00,AG0033,Predictive Dialer
ATT000000312,CALL00000312,A000785,2026-01-01 12:32:00,AG0117,Human Calling
ATT000000313,CALL00000313,A000356,2026-01-25 20:19:00,AG0036,IVR
ATT000000314,CALL00000314,A002692,2026-06-18 17:10:00,AG0101,IVR
ATT000000315,CALL00000315,A003612,2026-07-20 18:10:00,AG0004,Human Calling
ATT000000316,CALL00000316,A000126,2026-06-07 12:05:00,AG0054,Predictive Dialer
ATT000000317,CALL00000317,A002483,2025-09-12 17:39:00,AG0100,Predictive Dialer
ATT000000318,CALL00000318,A002201,2025-09-02 23:10:00,AG0067,Predictive Dialer
ATT000000319,CALL00000319,A000314,2025-11-18 14:07:00,AG0118,Human Calling
ATT000000320,CALL00000320,A004126,2026-06-19 15:05:00,AG0052,IVR
ATT000000321,CALL00000321,A000167,2026-07-12 11:32:00,AG0085,Predictive Dialer
ATT000000322,CALL00000322,A003420,2026-02-18 20:19:00,AG0024,AI Voice
ATT000000323,CALL00000323,A003610,2025-11-01 23:04:00,AG0035,Predictive Dialer
ATT000000324,CALL00000324,A000544,2025-10-16 13:19:00,AG0018,Human Calling
ATT000000325,CALL00000325,A000382,2026-03-25 17:10:00,AG0075,Human Calling
ATT000000326,CALL00000326,A002560,2026-01-20 17:15:00,AG0109,AI Voice
ATT000000327,CALL00000327,A003012,2026-07-17 06:49:00,AG0105,Predictive Dialer
