history_id,account_id,status_timestamp,status
H00000058,A000048,2025-02-02,CLOSED
H00000059,A000049,2025-08-24,ACTIVE
H00000060,A000050,2025-01-19,ACTIVE
H00000061,A000050,2026-02-16,CLOSED
H00000062,A000051,2025-08-02,ACTIVE
H00000063,A000052,2026-01-07,ACTIVE
H00000064,A000052,2026-10-14,WRITTEN_OFF
H00000065,A000053,2025-10-21,ACTIVE
H00000066,A000053,2026-09-23,CLOSED
H00000067,A000054,2024-08-03,ACTIVE
H00000068,A000055,2024-08-25,ACTIVE
H00000069,A000056,2024-01-03,ACTIVE
H00000070,A000057,2026-02-05,ACTIVE
H00000071,A000057,2026-05-29,CLOSED
H00000072,A000058,2024-11-11,ACTIVE
H00000073,A000059,2025-10-30,ACTIVE
H00000074,A000060,2026-03-21,ACTIVE
H00000075,A000061,2026-04-24,ACTIVE
H00000076,A000062,2025-05-27,ACTIVE
H00000077,A000063,2024-03-25,ACTIVE
H00000078,A000064,2024-04-13,ACTIVE
H00000079,A000065,2025-12-18,ACTIVE
H00000080,A000066,2024-02-09,ACTIVE
H00000081,A000067,2024-12-11,ACTIVE
H00000082,A000068,2026-05-08,ACTIVE
H00000083,A000068,2027-10-05,CLOSED
H00000084,A000069,2024-07-31,ACTIVE
H00000085,A000070,2024-04-01,ACTIVE
H00000086,A000070,2024-12-01,CLOSED
H00000087,A000071,2024-01-06,ACTIVE
H00000088,A000072,2025-11-07,ACTIVE
H00000089,A000073,2024-01-28,ACTIVE
H00000090,A000074,2024-04-23,ACTIVE
H00000091,A000075,2024-11-18,ACTIVE
H00000092,A000076,2024-09-19,ACTIVE
H00000093,A000077,2024-12-22,ACTIVE
H00000094,A000078,2024-12-05,ACTIVE
H00000095,A000078,2025-03-30,CLOSED
H00000096,A000079,2025-03-16,ACTIVE
H00000097,A000080,2024-06-03,ACTIVE
H00000098,A000081,2024-09-05,ACTIVE
H00000099,A000082,2025-08-21,ACTIVE
H00000100,A000083,2024-09-21,ACTIVE
H00000101,A000083,2025-01-26,WRITTEN_OFF
H00000102,A000084,2025-07-04,ACTIVE
H00000103,A000085,2025-06-16,ACTIVE
H00000104,A000085,2027-01-02,WRITTEN_OFF
H00000105,A000086,2025-03-08,ACTIVE
H00000106,A000087,2025-03-12,ACTIVE
H00000107,A000088,2025-03-13,ACTIVE
H00000108,A000089,2024-06-07,ACTIVE
H00000109,A000089,2025-07-17,CLOSED
H00000110,A000090,2024-11-21,ACTIVE
H00000111,A000091,2025-07-17,ACTIVE
H00000112,A000092,2025-02-12,ACTIVE
H00000113,A000093,2026-02-16,ACTIVE
H00000114,A000094,2025-04-11,ACTIVE
H00000115,A000095,2024-12-21,ACTIVE
H00000116,A000096,2025-06-13,ACTIVE
H00000117,A000097,2026-03-20,ACTIVE
H00000118,A000098,2025-10-19,ACTIVE
H00000119,A000099,2025-11-06,ACTIVE
H00000120,A000100,2025-11-15,ACTIVE
H00000121,A000101,2025-01-27,ACTIVE
H00000122,A000102,2025-06-03,ACTIVE
H00000123,A000102,2025-12-04,CLOSED
H00000124,A000103,2025-02-28,ACTIVE
H00000125,A000103,2025-09-11,WRITTEN_OFF
H00000126,A000104,2025-08-29,ACTIVE
H00000127,A000105,2025-02-24,ACTIVE
H00000128,A000106,2025-02-17,ACTIVE
H00000129,A000107,2024-07-17,ACTIVE
H00000130,A000108,2025-05-11,ACTIVE
H00000131,A000109,2024-04-10,ACTIVE
H00000132,A000109,2025-10-17,CLOSED
H00000133,A000110,2026-02-09,ACTIVE
H00000134,A000111,2024-09-08,ACTIVE
H00000135,A000112,2025-03-28,ACTIVE
H00000136,A000113,2025-04-15,ACTIVE
H00000137,A000114,2024-07-23,ACTIVE
H00000138,A000115,2025-09-02,ACTIVE
H00000139,A000116,2024-05-11,ACTIVE
H00000140,A000116,2025-04-26,CLOSED
H00000141,A000117,2025-07-06,ACTIVE
H00000142,A000118,2025-02-21,ACTIVE
H00000143,A000118,2025-08-16,WRITTEN_OFF
H00000144,A000119,2024-01-22,ACTIVE
H00000145,A000120,2025-12-12,ACTIVE
H00000146,A000121,2026-03-05,ACTIVE
H00000147,A000122,2024-12-07,ACTIVE
H00000148,A000123,2024-09-25,ACTIVE
H00000149,A000124,2025-07-08,ACTIVE
H00000150,A000125,2024-07-02,ACTIVE
H00000151,A000126,2025-12-29,ACTIVE
H00000152,A000127,2025-06-29,ACTIVE
H00000153,A000127,2026-06-22,CLOSED
H00000154,A000128,2024-07-31,ACTIVE
H00000155,A000129,2024-02-20,ACTIVE
H00000156,A000130,2026-04-17,ACTIVE
H00000157,A000131,2024-05-02,ACTIVE
H00000158,A000132,2024-12-11,ACTIVE
H00000159,A000132,2026-01-29,CLOSED
H00000160,A000133,2024-12-22,ACTIVE
H00000161,A000134,2024-10-30,ACTIVE
H00000162,A000134,2026-01-19,CLOSED
H00000163,A000135,2024-09-01,ACTIVE
H00000164,A000136,2025-07-10,ACTIVE
H00000165,A000137,2025-09-23,ACTIVE
H00000166,A000138,2024-05-03,ACTIVE
H00000167,A000138,2025-10-28,CLOSED
H00000168,A000139,2026-05-05,ACTIVE
H00000169,A000140,2025-01-04,ACTIVE
H00000170,A000141,2025-09-09,ACTIVE
H00000171,A000141,2026-11-06,WRITTEN_OFF
H00000172,A000142,2024-04-08,ACTIVE
H00000173,A000143,2024-06-03,ACTIVE
H00000174,A000144,2025-03-07,ACTIVE
H00000175,A000145,2025-06-28,ACTIVE
H00000176,A000145,2026-05-31,CLOSED
H00000177,A000146,2024-05-07,ACTIVE
H00000178,A000146,2024-10-19,WRITTEN_OFF
H00000179,A000147,2025-12-14,ACTIVE
H00000180,A000148,2024-02-17,ACTIVE
H00000181,A000149,2025-12-28,ACTIVE
H00000182,A000150,2025-11-10,ACTIVE
H00000183,A000151,2026-05-28,ACTIVE
H00000184,A000151,2027-08-11,CLOSED
H00000185,A000152,2025-12-01,ACTIVE
H00000186,A000152,2027-05-30,CLOSED
H00000187,A000153,2025-07-25,ACTIVE
H00000188,A000154,2024-10-12,ACTIVE
H00000189,A000155,2025-05-15,ACTIVE
H00000190,A000156,2025-04-10,ACTIVE
H00000191,A000157,2026-02-12,ACTIVE
H00000192,A000158,2025-06-21,ACTIVE
H00000193,A000159,2024-12-15,ACTIVE
H00000194,A000160,2024-12-10,ACTIVE
H00000195,A000161,2024-08-16,ACTIVE
H00000196,A000161,2024-11-29,CLOSED
H00000197,A000162,2024-08-11,ACTIVE
H00000198,A000163,2025-12-08,ACTIVE
H00000199,A000163,2026-09-01,WRITTEN_OFF
H00000200,A000164,2026-03-28,ACTIVE
H00000201,A000165,2024-04-14,ACTIVE
H00000202,A000166,2026-02-27,ACTIVE
H00000203,A000167,2024-08-01,ACTIVE
H00000204,A000168,2024-02-16,ACTIVE
H00000205,A000169,2025-06-08,ACTIVE
H00000206,A000170,2024-03-13,ACTIVE
H00000207,A000171,2026-04-20,ACTIVE
H00000208,A000171,2027-07-28,CLOSED
H00000209,A000172,2024-07-02,ACTIVE
H00000210,A000173,2025-06-02,ACTIVE
H00000211,A000174,2025-04-13,ACTIVE
H00000212,A000175,2024-12-28,ACTIVE
H00000213,A000176,2024-06-23,ACTIVE
H00000214,A000177,2024-03-29,ACTIVE
H00000215,A000177,2025-10-02,CLOSED
H00000216,A000178,2026-04-25,ACTIVE
H00000217,A000178,2027-12-02,CLOSED
H00000218,A000179,2026-06-01,ACTIVE
H00000219,A000180,2025-05-13,ACTIVE
H00000220,A000180,2025-11-12,CLOSED
H00000221,A000181,2024-09-20,ACTIVE
H00000222,A000182,2025-04-27,ACTIVE
H00000223,A000183,2025-03-24,ACTIVE
H00000224,A000184,2025-05-30,ACTIVE
H00000225,A000185,2024-10-04,ACTIVE
H00000226,A000186,2025-05-18,ACTIVE
H00000227,A000187,2024-11-12,ACTIVE
H00000228,A000187,2025-06-12,WRITTEN_OFF
H00000229,A000188,2025-10-12,ACTIVE
H00000230,A000189,2025-07-30,ACTIVE
H00000231,A000190,2025-04-07,ACTIVE
H00000232,A000190,2026-06-14,CLOSED
H00000233,A000191,2024-02-28,ACTIVE
H00000234,A000192,2024-11-30,ACTIVE
H00000235,A000193,2025-08-14,ACTIVE
H00000236,A000194,2025-09-28,ACTIVE
H00000237,A000195,2024-11-08,ACTIVE
H00000238,A000196,2024-01-30,ACTIVE
H00000239,A000197,2024-07-30,ACTIVE
H00000240,A000198,2024-04-29,ACTIVE
H00000241,A000199,2024-11-17,ACTIVE
H00000242,A000199,2026-03-08,CLOSED
H00000243,A000200,2024-06-14,ACTIVE
H00000244,A000201,2025-11-13,ACTIVE
H00000245,A000202,2025-02-03,ACTIVE
H00000246,A000203,2024-11-05,ACTIVE
H00000247,A000203,2025-03-14,CLOSED
H00000248,A000204,2025-03-11,ACTIVE
H00000249,A000205,2024-11-01,ACTIVE
H00000250,A000205,2026-03-30,WRITTEN_OFF
H00000251,A000206,2024-03-16,ACTIVE
H00000252,A000207,2025-09-30,ACTIVE
H00000253,A000208,2025-11-13,ACTIVE
H00000254,A000209,2025-07-11,ACTIVE
H00000255,A000210,2024-01-07,ACTIVE
H00000256,A000211,2024-12-04,ACTIVE
H00000257,A000212,2024-08-11,ACTIVE
H00000258,A000212,2025-03-27,CLOSED
H00000259,A000213,2025-12-20,ACTIVE
H00000260,A000214,2024-03-27,ACTIVE
H00000261,A000215,2024-10-03,ACTIVE
H00000262,A000216,2025-04-02,ACTIVE
H00000263,A000217,2025-07-16,ACTIVE
H00000264,A000218,2026-04-05,ACTIVE
H00000265,A000219,2024-05-12,ACTIVE
H00000266,A000220,2024-06-15,ACTIVE
H00000267,A000221,2024-10-13,ACTIVE
H00000268,A000222,2025-09-24,ACTIVE
H00000269,A000222,2027-03-07,CLOSED
H00000270,A000223,2025-08-18,ACTIVE
H00000271,A000224,2025-02-09,ACTIVE
H00000272,A000225,2025-12-21,ACTIVE
H00000273,A000226,2025-05-15,ACTIVE
H00000274,A000226,2026-05-20,CLOSED
H00000275,A000227,2024-12-01,ACTIVE
H00000276,A000228,2026-02-15,ACTIVE
H00000277,A000228,2027-02-15,WRITTEN_OFF
H00000278,A000229,2025-03-14,ACTIVE
H00000279,A000230,2024-06-07,ACTIVE
H00000280,A000230,2025-10-20,CLOSED
H00000281,A000231,2025-01-01,ACTIVE
H00000282,A000232,2025-03-11,ACTIVE
H00000283,A000232,2026-05-29,CLOSED
H00000284,A000233,2025-09-28,ACTIVE
H00000285,A000234,2025-11-03,ACTIVE
H00000286,A000235,2024-03-13,ACTIVE
H00000287,A000236,2025-05-07,ACTIVE
H00000288,A000236,2026-09-01,CLOSED
H00000289,A000237,2025-04-28,ACTIVE
H00000290,A000238,2024-12-27,ACTIVE
H00000291,A000239,2026-03-12,ACTIVE
H00000292,A000239,2026-06-10,CLOSED
H00000293,A000240,2024-01-01,ACTIVE
H00000294,A000241,2025-07-24,ACTIVE
H00000295,A000242,2026-04-06,ACTIVE
H00000296,A000243,2025-11-10,ACTIVE
H00000297,A000244,2025-03-12,ACTIVE
H00000298,A000244,2026-10-18,CLOSED
H00000299,A000245,2024-07-07,ACTIVE
H00000300,A000246,2024-09-14,ACTIVE
H00000301,A000247,2024-10-22,ACTIVE
H00000302,A000247,2025-08-06,CLOSED
H00000303,A000248,2024-11-03,ACTIVE
H00000304,A000248,2026-01-24,CLOSED
H00000305,A000249,2024-08-04,ACTIVE
H00000306,A000250,2025-01-30,ACTIVE
H00000307,A000250,2026-03-25,CLOSED
H00000308,A000251,2026-03-23,ACTIVE
H00000309,A000251,2027-05-23,CLOSED
H00000310,A000252,2025-04-19,ACTIVE
H00000311,A000252,2026-11-19,WRITTEN_OFF
H00000312,A000253,2024-10-24,ACTIVE
H00000313,A000253,2025-10-16,CLOSED
H00000314,A000254,2025-01-27,ACTIVE
H00000315,A000255,2024-05-20,ACTIVE
H00000316,A000256,2025-02-28,ACTIVE
H00000317,A000257,2026-02-03,ACTIVE
H00000318,A000258,2024-04-22,ACTIVE
H00000319,A000259,2024-04-25,ACTIVE
H00000320,A000259,2024-10-18,CLOSED
H00000321,A000260,2026-03-04,ACTIVE
H00000322,A000261,2025-10-15,ACTIVE
H00000323,A000262,2025-10-18,ACTIVE
H00000324,A000262,2027-02-25,CLOSED
H00000325,A000263,2024-03-14,ACTIVE
H00000326,A000264,2025-02-09,ACTIVE
H00000327,A000265,2024-01-14,ACTIVE
H00000328,A000266,2025-01-04,ACTIVE
H00000329,A000267,2026-05-21,ACTIVE
H00000330,A000268,2025-10-09,ACTIVE
H00000331,A000268,2026-03-23,WRITTEN_OFF
H00000332,A000269,2024-09-04,ACTIVE
H00000333,A000270,2024-06-06,ACTIVE
H00000334,A000271,2026-04-19,ACTIVE
H00000335,A000272,2025-01-22,ACTIVE
H00000336,A000273,2025-09-01,ACTIVE
H00000337,A000274,2025-12-01,ACTIVE
H00000338,A000275,2025-01-17,ACTIVE
H00000339,A000276,2024-07-19,ACTIVE
H00000340,A000277,2026-02-19,ACTIVE
H00000341,A000278,2024-05-17,ACTIVE
H00000342,A000278,2025-10-03,CLOSED
H00000343,A000279,2025-10-12,ACTIVE
H00000344,A000279,2027-05-04,CLOSED
H00000345,A000280,2025-02-17,ACTIVE
H00000346,A000280,2025-08-29,CLOSED
H00000347,A000281,2024-04-24,ACTIVE
H00000348,A000282,2025-05-03,ACTIVE
H00000349,A000283,2025-07-23,ACTIVE
H00000350,A000284,2025-07-23,ACTIVE
H00000351,A000285,2024-11-24,ACTIVE
H00000352,A000286,2024-10-14,ACTIVE
H00000353,A000286,2025-04-10,CLOSED
H00000354,A000287,2025-11-08,ACTIVE
H00000355,A000287,2027-04-20,CLOSED
H00000356,A000288,2024-03-24,ACTIVE
H00000357,A000289,2026-02-07,ACTIVE
H00000358,A000289,2026-08-14,WRITTEN_OFF
H00000359,A000290,2024-10-24,ACTIVE
H00000360,A000291,2024-07-20,ACTIVE
H00000361,A000292,2024-07-20,ACTIVE
H00000362,A000293,2025-01-27,ACTIVE
H00000363,A000294,2025-07-20,ACTIVE
H00000364,A000295,2024-06-09,ACTIVE
H00000365,A000295,2025-04-19,CLOSED
H00000366,A000296,2026-04-27,ACTIVE
H00000367,A000297,2024-03-10,ACTIVE
H00000368,A000298,2025-02-16,ACTIVE
H00000369,A000299,2024-01-27,ACTIVE
H00000370,A000300,2024-04-22,ACTIVE
H00000371,A000300,2025-09-09,CLOSED
H00000372,A000301,2024-01-29,ACTIVE
H00000373,A000302,2024-05-28,ACTIVE
H00000374,A000303,2024-03-28,ACTIVE
H00000375,A000304,2024-01-09,ACTIVE
H00000376,A000305,2024-12-30,ACTIVE
H00000377,A000306,2026-05-26,ACTIVE
H00000378,A000307,2026-01-30,ACTIVE
H00000379,A000308,2024-07-02,ACTIVE
H00000380,A000308,2025-01-26,WRITTEN_OFF
H00000381,A000309,2025-01-08,ACTIVE
H00000382,A000310,2024-05-27,ACTIVE
H00000383,A000311,2024-12-04,ACTIVE
H00000384,A000312,2025-10-10,ACTIVE
H00000385,A000313,2024-04-08,ACTIVE
H00000386,A000314,2025-03-30,ACTIVE
H00000387,A000315,2025-07-22,ACTIVE
H00000388,A000315,2027-02-21,WRITTEN_OFF
H00000389,A000316,2024-07-16,ACTIVE
H00000390,A000317,2025-11-17,ACTIVE
H00000391,A000318,2025-04-20,ACTIVE
H00000392,A000319,2026-03-25,ACTIVE
H00000393,A000320,2025-12-25,ACTIVE
H00000394,A000321,2025-04-30,ACTIVE
H00000395,A000322,2024-11-24,ACTIVE
H00000396,A000323,2025-04-29,ACTIVE
H00000397,A000324,2024-02-15,ACTIVE
H00000398,A000324,2024-07-07,WRITTEN_OFF
H00000399,A000325,2026-04-22,ACTIVE
H00000400,A000326,2025-09-01,ACTIVE
H00000401,A000327,2025-03-15,ACTIVE
H00000402,A000328,2026-03-04,ACTIVE
H00000403,A000329,2025-05-09,ACTIVE
H00000404,A000330,2024-08-10,ACTIVE
H00000405,A000331,2026-02-02,ACTIVE
H00000406,A000332,2026-05-26,ACTIVE
H00000407,A000333,2026-01-28,ACTIVE
H00000408,A000334,2026-04-12,ACTIVE
H00000409,A000335,2025-08-01,ACTIVE
H00000410,A000336,2025-01-02,ACTIVE
H00000411,A000337,2026-02-06,ACTIVE
H00000412,A000337,2026-06-09,CLOSED
H00000413,A000338,2026-03-10,ACTIVE
H00000414,A000338,2027-05-08,CLOSED
H00000415,A000339,2024-11-13,ACTIVE
H00000416,A000340,2025-08-31,ACTIVE
H00000417,A000341,2024-05-30,ACTIVE
H00000418,A000341,2024-12-09,WRITTEN_OFF
H00000419,A000342,2024-02-06,ACTIVE
H00000420,A000343,2024-10-31,ACTIVE
H00000421,A000344,2024-06-01,ACTIVE
H00000422,A000345,2025-06-06,ACTIVE
H00000423,A000346,2025-07-28,ACTIVE
H00000424,A000347,2024-09-24,ACTIVE
H00000425,A000348,2024-04-09,ACTIVE
H00000426,A000349,2025-04-27,ACTIVE
H00000427,A000349,2026-04-23,CLOSED
H00000428,A000350,2025-12-29,ACTIVE
H00000429,A000351,2025-10-02,ACTIVE
H00000430,A000351,2026-03-28,CLOSED
H00000431,A000352,2024-06-18,ACTIVE
H00000432,A000353,2024-04-18,ACTIVE
H00000433,A000354,2026-05-12,ACTIVE
H00000434,A000355,2024-12-27,ACTIVE
H00000435,A000356,2025-11-03,ACTIVE
H00000436,A000357,2025-05-22,ACTIVE
H00000437,A000358,2025-03-05,ACTIVE
H00000438,A000359,2024-12-21,ACTIVE
H00000439,A000360,2026-04-10,ACTIVE
H00000440,A000361,2025-08-13,ACTIVE
H00000441,A000362,2025-12-01,ACTIVE
H00000442,A000363,2024-10-22,ACTIVE
H00000443,A000363,2025-05-01,WRITTEN_OFF
H00000444,A000364,2025-08-22,ACTIVE
H00000445,A000365,2024-07-22,ACTIVE
H00000446,A000365,2025-07-06,WRITTEN_OFF
H00000447,A000366,2024-10-24,ACTIVE
H00000448,A000367,2026-05-18,ACTIVE
H00000449,A000368,2024-10-15,ACTIVE
H00000450,A000369,2026-04-15,ACTIVE
H00000451,A000369,2027-11-06,CLOSED
H00000452,A000370,2024-07-30,ACTIVE
H00000453,A000371,2025-07-09,ACTIVE
H00000454,A000372,2025-09-04,ACTIVE
H00000455,A000373,2025-03-12,ACTIVE
H00000456,A000374,2025-09-14,ACTIVE
H00000457,A000374,2026-09-11,WRITTEN_OFF
H00000458,A000375,2024-06-25,ACTIVE
H00000459,A000376,2025-04-14,ACTIVE
H00000460,A000377,2024-03-22,ACTIVE
H00000461,A000378,2026-03-09,ACTIVE
H00000462,A000379,2024-03-06,ACTIVE
H00000463,A000380,2025-06-29,ACTIVE
H00000464,A000381,2025-07-21,ACTIVE
H00000465,A000381,2025-11-06,CLOSED
H00000466,A000382,2026-04-29,ACTIVE
H00000467,A000383,2026-01-10,ACTIVE
H00000468,A000383,2027-07-24,WRITTEN_OFF
H00000469,A000384,2025-08-15,ACTIVE
H00000470,A000385,2026-02-14,ACTIVE
H00000471,A000386,2025-12-05,ACTIVE
H00000472,A000387,2024-05-21,ACTIVE
H00000473,A000388,2024-06-06,ACTIVE
H00000474,A000389,2025-03-20,ACTIVE
H00000475,A000390,2025-01-11,ACTIVE
H00000476,A000391,2025-05-26,ACTIVE
H00000477,A000392,2025-10-18,ACTIVE
H00000478,A000392,2026-04-19,CLOSED
H00000479,A000393,2024-09-29,ACTIVE
H00000480,A000394,2024-05-13,ACTIVE
H00000481,A000395,2024-01-04,ACTIVE
H00000482,A000396,2025-06-24,ACTIVE
H00000483,A000396,2027-02-09,CLOSED
H00000484,A000397,2025-05-08,ACTIVE
H00000485,A000398,2025-12-20,ACTIVE
H00000486,A000399,2025-10-29,ACTIVE
H00000487,A000400,2025-06-14,ACTIVE
H00000488,A000401,2025-05-24,ACTIVE
H00000489,A000402,2024-03-18,ACTIVE
H00000490,A000403,2024-11-14,ACTIVE
H00000491,A000404,2025-11-12,ACTIVE
H00000492,A000405,2025-04-05,ACTIVE
H00000493,A000406,2024-08-25,ACTIVE
H00000494,A000407,2026-01-13,ACTIVE
H00000495,A000408,2024-01-22,ACTIVE
H00000496,A000409,2025-05-07,ACTIVE
H00000497,A000409,2026-02-17,WRITTEN_OFF
H00000498,A000410,2024-11-06,ACTIVE
H00000499,A000411,2025-01-02,ACTIVE
H00000500,A000411,2026-06-01,WRITTEN_OFF
H00000501,A000412,2025-08-11,ACTIVE
H00000502,A000413,2024-05-05,ACTIVE
H00000503,A000414,2024-07-24,ACTIVE
H00000504,A000415,2024-11-28,ACTIVE
H00000505,A000416,2024-08-18,ACTIVE
H00000506,A000416,2025-03-09,CLOSED
H00000507,A000417,2026-01-01,ACTIVE
H00000508,A000418,2025-07-19,ACTIVE
H00000509,A000419,2024-03-20,ACTIVE
H00000510,A000420,2024-05-14,ACTIVE
H00000511,A000420,2024-08-14,CLOSED
H00000512,A000421,2025-07-06,ACTIVE
H00000513,A000421,2026-11-06,CLOSED
H00000514,A000422,2026-04-24,ACTIVE
H00000515,A000423,2024-10-30,ACTIVE
H00000516,A000424,2025-04-28,ACTIVE
H00000517,A000425,2024-03-25,ACTIVE
H00000518,A000426,2024-09-17,ACTIVE
H00000519,A000427,2025-03-18,ACTIVE
H00000520,A000428,2024-02-05,ACTIVE
H00000521,A000429,2026-03-03,ACTIVE
H00000522,A000430,2025-10-08,ACTIVE
H00000523,A000431,2025-01-07,ACTIVE
H00000524,A000431,2025-06-04,CLOSED
H00000525,A000432,2025-07-31,ACTIVE
H00000526,A000433,2025-07-05,ACTIVE
H00000527,A000434,2024-05-23,ACTIVE
H00000528,A000435,2024-01-30,ACTIVE
H00000529,A000436,2025-11-25,ACTIVE
H00000530,A000437,2025-12-16,ACTIVE
H00000531,A000438,2024-03-26,ACTIVE
H00000532,A000439,2024-04-03,ACTIVE
H00000533,A000440,2025-01-09,ACTIVE
H00000534,A000441,2025-11-11,ACTIVE
H00000535,A000442,2024-09-18,ACTIVE
H00000536,A000443,2024-07-21,ACTIVE
H00000537,A000444,2025-03-10,ACTIVE
H00000538,A000445,2025-10-27,ACTIVE
H00000539,A000446,2025-12-12,ACTIVE
H00000540,A000447,2025-06-20,ACTIVE
H00000541,A000448,2025-03-12,ACTIVE
H00000542,A000449,2024-04-20,ACTIVE
H00000543,A000450,2024-11-30,ACTIVE
H00000544,A000451,2025-01-19,ACTIVE
H00000545,A000452,2025-07-23,ACTIVE
H00000546,A000453,2025-10-03,ACTIVE
H00000547,A000454,2025-10-08,ACTIVE
H00000548,A000455,2024-03-24,ACTIVE
H00000549,A000456,2026-04-13,ACTIVE
H00000550,A000457,2026-03-21,ACTIVE
H00000551,A000458,2025-10-04,ACTIVE
H00000552,A000458,2027-02-12,WRITTEN_OFF
H00000553,A000459,2025-08-06,ACTIVE
H00000554,A000460,2024-05-17,ACTIVE
H00000555,A000461,2024-10-31,ACTIVE
H00000556,A000462,2024-08-26,ACTIVE
H00000557,A000463,2024-01-16,ACTIVE
H00000558,A000464,2025-03-06,ACTIVE
H00000559,A000465,2025-07-25,ACTIVE
H00000560,A000466,2025-11-02,ACTIVE
H00000561,A000467,2024-01-04,ACTIVE
H00000562,A000468,2025-03-18,ACTIVE
H00000563,A000468,2025-06-23,WRITTEN_OFF
H00000564,A000469,2024-11-05,ACTIVE
H00000565,A000470,2025-01-29,ACTIVE
H00000566,A000471,2025-02-26,ACTIVE
H00000567,A000471,2025-07-18,CLOSED
H00000568,A000472,2025-03-13,ACTIVE
H00000569,A000473,2024-06-19,ACTIVE
H00000570,A000474,2025-07-25,ACTIVE
H00000571,A000475,2026-05-27,ACTIVE
H00000572,A000476,2025-03-04,ACTIVE
H00000573,A000477,2024-03-01,ACTIVE
H00000574,A000478,2025-06-07,ACTIVE
H00000575,A000479,2024-05-02,ACTIVE
H00000576,A000480,2025-08-04,ACTIVE
H00000577,A000480,2026-10-05,CLOSED
H00000578,A000481,2025-07-31,ACTIVE
H00000579,A000482,2024-05-21,ACTIVE
H00000580,A000483,2024-12-29,ACTIVE
H00000581,A000484,2024-04-26,ACTIVE
H00000582,A000485,2024-08-12,ACTIVE
H00000583,A000486,2024-03-28,ACTIVE
H00000584,A000487,2025-02-20,ACTIVE
H00000585,A000488,2025-07-25,ACTIVE
H00000586,A000489,2024-07-21,ACTIVE
H00000587,A000490,2025-10-31,ACTIVE
H00000588,A000491,2025-04-18,ACTIVE
H00000589,A000492,2024-06-09,ACTIVE
H00000590,A000493,2024-03-29,ACTIVE
H00000591,A000493,2025-04-25,WRITTEN_OFF
H00000592,A000494,2025-10-09,ACTIVE
H00000593,A000495,2024-09-12,ACTIVE
H00000594,A000496,2026-01-09,ACTIVE
H00000595,A000497,2024-05-05,ACTIVE
H00000596,A000498,2026-01-04,ACTIVE
H00000597,A000499,2024-10-17,ACTIVE
H00000598,A000500,2026-03-04,ACTIVE
H00000599,A000501,2024-03-08,ACTIVE
H00000600,A000502,2024-09-26,ACTIVE
H00000601,A000502,2025-02-09,CLOSED
H00000602,A000503,2024-10-10,ACTIVE
H00000603,A000504,2024-08-06,ACTIVE
H00000604,A000505,2024-03-24,ACTIVE
H00000605,A000506,2024-01-26,ACTIVE
