sms_id,account_id,event_timestamp,event_type
SMS00000088,A002907,2026-05-18 21:00:00,DELIVERED
SMS00000089,A002863,2025-09-11 17:00:00,DELIVERED
SMS00000090,A003396,2026-01-12 15:00:00,SENT
SMS00000091,A002820,2025-09-20 08:00:00,DELIVERED
SMS00000092,A002847,2026-01-23 18:00:00,DELIVERED
SMS00000093,A002250,2025-11-10 17:00:00,DELIVERED
SMS00000094,A000708,2026-04-18 12:00:00,DELIVERED
SMS00000095,A001502,2026-08-03 15:00:00,DELIVERED
SMS00000096,A001025,2025-09-17 13:00:00,DELIVERED
SMS00000097,A001319,2025-10-03 19:00:00,SENT
SMS00000098,A001335,2026-05-02 15:00:00,DELIVERED
SMS00000099,A004087,2025-09-13 11:00:00,SENT
SMS00000100,A002011,2026-04-26 18:00:00,SENT
SMS00000101,A002090,2026-01-13 21:00:00,DELIVERED
SMS00000102,A001527,2026-06-15 11:00:00,DELIVERED
SMS00000103,A000046,2025-10-08 22:00:00,SENT
SMS00000104,A000884,2026-03-08 07:00:00,DELIVERED
SMS00000105,A001493,2026-04-01 20:00:00,DELIVERED
SMS00000106,A003562,2025-10-17 13:00:00,DELIVERED
SMS00000107,A002730,2025-10-22 07:00:00,DELIVERED
SMS00000108,A002000,2025-12-10 18:00:00,FAILED
SMS00000109,A001248,2026-07-13 09:00:00,FAILED
SMS00000110,A004038,2026-03-15 13:00:00,SENT
SMS00000111,A002731,2026-01-18 08:00:00,SENT
SMS00000112,A002127,2026-08-03 21:00:00,DELIVERED
SMS00000113,A002703,2026-03-23 11:00:00,DELIVERED
SMS00000114,A000216,2025-09-16 12:00:00,SENT
SMS00000115,A002717,2025-11-11 20:00:00,DELIVERED
SMS00000116,A002961,2025-09-05 10:00:00,DELIVERED
SMS00000117,A003037,2026-01-25 15:00:00,SENT
SMS00000118,A003015,2026-08-11 10:00:00,DELIVERED
SMS00000119,A000449,2025-11-22 07:00:00,DELIVERED
SMS00000120,A002220,2026-03-20 18:00:00,DELIVERED
SMS00000121,A000499,2026-08-13 09:00:00,DELIVERED
SMS00000122,A002386,2026-06-21 19:00:00,DELIVERED
SMS00000123,A001445,2026-03-25 21:00:00,DELIVERED
SMS00000124,A002522,2026-04-24 17:00:00,FAILED
SMS00000125,A003461,2026-06-02 11:00:00,DELIVERED
SMS00000126,A002971,2026-03-26 08:00:00,DELIVERED
SMS00000127,A002292,2025-09-17 18:00:00,FAILED
SMS00000128,A000538,2026-07-18 20:00:00,SENT
SMS00000129,A001608,2025-10-27 21:00:00,DELIVERED
SMS00000130,A003857,2025-10-09 15:00:00,DELIVERED
SMS00000131,A000544,2026-05-05 22:00:00,DELIVERED
SMS00000132,A000655,2026-05-22 12:00:00,DELIVERED
SMS00000133,A003172,2025-12-11 09:00:00,DELIVERED
SMS00000134,A000913,2026-07-25 09:00:00,DELIVERED
SMS00000135,A003100,2026-04-15 12:00:00,DELIVERED
SMS00000136,A002754,2025-12-02 19:00:00,SENT
SMS00000137,A001514,2026-04-21 22:00:00,DELIVERED
SMS00000138,A002365,2026-04-02 11:00:00,FAILED
SMS00000139,A000193,2026-03-22 21:00:00,DELIVERED
SMS00000140,A003770,2025-11-14 19:00:00,SENT
SMS00000141,A002780,2026-03-27 22:00:00,DELIVERED
SMS00000142,A004112,2025-10-22 14:00:00,DELIVERED
SMS00000143,A002502,2025-11-24 13:00:00,DELIVERED
SMS00000144,A003165,2025-12-08 21:00:00,DELIVERED
SMS00000145,A002623,2026-06-25 12:00:00,DELIVERED
SMS00000146,A000895,2025-10-15 21:00:00,DELIVERED
SMS00000147,A000282,2026-07-03 21:00:00,DELIVERED
SMS00000148,A001892,2026-01-20 20:00:00,DELIVERED
SMS00000149,A002502,2025-10-17 07:00:00,SENT
SMS00000150,A002050,2025-12-02 22:00:00,DELIVERED
SMS00000151,A000935,2025-10-20 17:00:00,DELIVERED
SMS00000152,A001191,2026-03-20 20:00:00,DELIVERED
SMS00000153,A003193,2026-06-21 16:00:00,DELIVERED
SMS00000154,A000870,2026-01-19 17:00:00,SENT
SMS00000155,A001131,2025-12-20 16:00:00,DELIVERED
SMS00000156,A000525,2026-01-05 18:00:00,SENT
SMS00000157,A001708,2026-08-09 08:00:00,FAILED
SMS00000158,A000938,2025-10-04 20:00:00,DELIVERED
SMS00000159,A003100,2026-08-27 12:00:00,DELIVERED
SMS00000160,A001485,2026-05-11 12:00:00,DELIVERED
SMS00000161,A001102,2025-12-13 15:00:00,DELIVERED
SMS00000162,A002587,2025-12-09 12:00:00,DELIVERED
SMS00000163,A002463,2026-06-02 07:00:00,DELIVERED
SMS00000164,A003541,2026-07-07 19:00:00,DELIVERED
SMS00000165,A001868,2026-04-20 12:00:00,SENT
SMS00000166,A001053,2025-12-09 12:00:00,SENT
SMS00000167,A001462,2025-09-11 13:00:00,DELIVERED
SMS00000168,A001555,2026-03-27 07:00:00,DELIVERED
SMS00000169,A001168,2026-07-17 16:00:00,DELIVERED
SMS00000170,A002827,2026-07-03 22:00:00,DELIVERED
SMS00000171,A001048,2026-05-24 11:00:00,SENT
SMS00000172,A004083,2026-06-22 07:00:00,DELIVERED
SMS00000173,A000170,2026-04-08 11:00:00,FAILED
SMS00000174,A002377,2026-01-12 21:00:00,DELIVERED
SMS00000175,A002279,2026-08-26 17:00:00,SENT
SMS00000176,A003357,2025-12-10 20:00:00,DELIVERED
SMS00000177,A000079,2026-04-26 13:00:00,DELIVERED
SMS00000178,A003994,2026-04-27 14:00:00,FAILED
SMS00000179,A000631,2026-05-03 09:00:00,FAILED
SMS00000180,A002819,2026-02-26 18:00:00,DELIVERED
SMS00000181,A003044,2026-05-16 11:00:00,DELIVERED
SMS00000182,A001426,2026-04-26 08:00:00,DELIVERED
SMS00000183,A002517,2026-02-27 11:00:00,SENT
SMS00000184,A002309,2025-12-03 13:00:00,DELIVERED
SMS00000185,A000099,2026-07-13 16:00:00,FAILED
SMS00000186,A003369,2026-08-20 18:00:00,SENT
SMS00000187,A000424,2025-12-22 08:00:00,DELIVERED
SMS00000188,A002488,2026-04-02 15:00:00,DELIVERED
SMS00000189,A000347,2026-04-12 17:00:00,FAILED
SMS00000190,A001008,2025-12-05 18:00:00,DELIVERED
SMS00000191,A000230,2026-05-23 13:00:00,DELIVERED
SMS00000192,A001403,2026-08-07 22:00:00,DELIVERED
SMS00000193,A001764,2025-09-22 11:00:00,SENT
SMS00000194,A002083,2025-10-04 18:00:00,FAILED
SMS00000195,A001022,2026-06-19 14:00:00,DELIVERED
SMS00000196,A001505,2025-09-18 08:00:00,DELIVERED
SMS00000197,A001628,2026-05-04 19:00:00,DELIVERED
SMS00000198,A000554,2026-08-15 12:00:00,DELIVERED
SMS00000199,A001694,2026-01-16 21:00:00,FAILED
SMS00000200,A003335,2026-07-20 17:00:00,DELIVERED
SMS00000201,A003717,2025-10-24 08:00:00,FAILED
SMS00000202,A001009,2026-03-09 08:00:00,DELIVERED
SMS00000203,A003361,2026-04-09 17:00:00,DELIVERED
SMS00000204,A000424,2026-06-20 21:00:00,SENT
SMS00000205,A002885,2026-02-04 18:00:00,DELIVERED
SMS00000206,A002948,2026-07-26 21:00:00,SENT
SMS00000207,A002135,2026-02-20 13:00:00,SENT
SMS00000208,A004001,2026-04-09 20:00:00,FAILED
SMS00000209,A001523,2026-07-05 14:00:00,DELIVERED
SMS00000210,A000139,2026-07-19 14:00:00,SENT
SMS00000211,A001179,2026-04-06 13:00:00,DELIVERED
SMS00000212,A002009,2026-01-23 17:00:00,FAILED
SMS00000213,A001989,2026-01-06 18:00:00,DELIVERED
SMS00000214,A002481,2026-02-13 10:00:00,SENT
SMS00000215,A000033,2025-12-08 20:00:00,SENT
SMS00000216,A001945,2026-04-17 22:00:00,DELIVERED
SMS00000217,A002563,2025-12-19 10:00:00,DELIVERED
SMS00000218,A003469,2025-10-14 13:00:00,DELIVERED
SMS00000219,A000937,2026-07-15 17:00:00,DELIVERED
SMS00000220,A001386,2026-06-04 11:00:00,FAILED
SMS00000221,A000301,2025-10-13 14:00:00,SENT
SMS00000222,A000627,2026-01-22 17:00:00,DELIVERED
SMS00000223,A000678,2026-01-07 17:00:00,DELIVERED
SMS00000224,A002844,2025-09-26 20:00:00,DELIVERED
SMS00000225,A002287,2025-12-21 17:00:00,DELIVERED
SMS00000226,A000477,2025-10-27 09:00:00,DELIVERED
SMS00000227,A001593,2026-02-10 11:00:00,DELIVERED
SMS00000228,A000728,2026-03-15 16:00:00,DELIVERED
SMS00000229,A000815,2026-08-15 22:00:00,DELIVERED
SMS00000230,A002827,2025-12-25 20:00:00,DELIVERED
SMS00000231,A003014,2025-09-02 19:00:00,DELIVERED
SMS00000232,A002624,2026-01-18 16:00:00,DELIVERED
SMS00000233,A003161,2026-08-19 09:00:00,DELIVERED
SMS00000234,A000257,2026-05-05 17:00:00,SENT
SMS00000235,A001154,2025-12-02 15:00:00,DELIVERED
SMS00000236,A001105,2026-01-17 17:00:00,DELIVERED
SMS00000237,A000770,2026-01-13 18:00:00,FAILED
SMS00000238,A002020,2025-12-03 09:00:00,DELIVERED
SMS00000239,A000263,2026-04-22 21:00:00,DELIVERED
SMS00000240,A001124,2026-07-09 12:00:00,DELIVERED
SMS00000241,A000460,2025-09-05 15:00:00,DELIVERED
SMS00000242,A002948,2026-04-02 22:00:00,DELIVERED
SMS00000243,A000491,2026-04-09 15:00:00,DELIVERED
SMS00000244,A000806,2026-06-26 08:00:00,DELIVERED
SMS00000245,A003324,2025-12-15 19:00:00,SENT
SMS00000246,A000728,2026-01-12 07:00:00,SENT
SMS00000247,A000339,2025-10-02 11:00:00,DELIVERED
SMS00000248,A001902,2026-06-16 21:00:00,DELIVERED
SMS00000249,A000785,2026-07-12 21:00:00,FAILED
SMS00000250,A003828,2026-07-26 13:00:00,DELIVERED
SMS00000251,A002686,2026-02-17 17:00:00,DELIVERED
SMS00000252,A000966,2026-05-11 09:00:00,DELIVERED
SMS00000253,A002831,2025-12-11 12:00:00,DELIVERED
SMS00000254,A003234,2026-01-22 17:00:00,DELIVERED
SMS00000255,A003828,2026-07-25 18:00:00,SENT
SMS00000256,A000940,2026-04-14 21:00:00,FAILED
SMS00000257,A003712,2025-11-25 17:00:00,SENT
SMS00000258,A001039,2025-11-01 16:00:00,DELIVERED
SMS00000259,A001225,2026-02-03 22:00:00,DELIVERED
SMS00000260,A000531,2025-12-24 22:00:00,DELIVERED
SMS00000261,A003155,2026-01-03 20:00:00,DELIVERED
SMS00000262,A003991,2026-07-12 21:00:00,SENT
SMS00000263,A001345,2026-02-15 22:00:00,DELIVERED
SMS00000264,A000718,2026-01-18 15:00:00,DELIVERED
SMS00000265,A002996,2026-02-26 11:00:00,SENT
SMS00000266,A000520,2026-07-26 07:00:00,DELIVERED
SMS00000267,A002856,2026-01-12 18:00:00,FAILED
SMS00000268,A000085,2026-04-16 18:00:00,DELIVERED
SMS00000269,A001856,2026-05-21 20:00:00,DELIVERED
SMS00000270,A000632,2025-11-06 20:00:00,DELIVERED
SMS00000271,A002808,2025-11-04 09:00:00,DELIVERED
SMS00000272,A000646,2025-12-11 07:00:00,FAILED
SMS00000273,A001264,2026-01-23 09:00:00,DELIVERED
SMS00000274,A002140,2025-12-20 16:00:00,DELIVERED
SMS00000275,A001213,2025-09-08 21:00:00,FAILED
SMS00000276,A001396,2025-11-18 18:00:00,DELIVERED
SMS00000277,A001419,2026-05-05 15:00:00,DELIVERED
SMS00000278,A001783,2025-12-09 08:00:00,DELIVERED
SMS00000279,A001862,2026-03-15 21:00:00,FAILED
SMS00000280,A002718,2025-09-10 20:00:00,FAILED
SMS00000281,A002146,2026-03-14 14:00:00,DELIVERED
SMS00000282,A000995,2026-06-21 19:00:00,DELIVERED
SMS00000283,A000676,2025-10-07 22:00:00,DELIVERED
SMS00000284,A004185,2026-05-11 14:00:00,SENT
SMS00000285,A003531,2025-12-23 22:00:00,FAILED
SMS00000286,A002030,2026-04-10 15:00:00,DELIVERED
SMS00000287,A001545,2026-01-14 21:00:00,FAILED
SMS00000288,A003791,2025-11-21 10:00:00,FAILED
SMS00000289,A000662,2026-07-20 09:00:00,DELIVERED
SMS00000290,A003031,2025-11-15 13:00:00,DELIVERED
SMS00000291,A001016,2026-04-19 11:00:00,DELIVERED
SMS00000292,A000048,2025-12-04 08:00:00,SENT
SMS00000293,A000558,2026-04-12 16:00:00,DELIVERED
SMS00000294,A002622,2026-06-16 07:00:00,DELIVERED
SMS00000295,A001614,2025-09-05 22:00:00,DELIVERED
SMS00000296,A003889,2026-08-12 17:00:00,DELIVERED
SMS00000297,A004005,2025-11-18 12:00:00,FAILED
SMS00000298,A000188,2025-09-11 20:00:00,SENT
SMS00000299,A004184,2026-01-04 22:00:00,SENT
SMS00000300,A002990,2025-10-20 18:00:00,DELIVERED
SMS00000301,A002484,2026-08-14 21:00:00,DELIVERED
SMS00000302,A000099,2026-07-19 13:00:00,DELIVERED
SMS00000303,A001678,2025-10-01 07:00:00,DELIVERED
SMS00000304,A003513,2025-09-10 19:00:00,DELIVERED
SMS00000305,A001299,2026-05-15 11:00:00,DELIVERED
SMS00000306,A003784,2026-06-27 08:00:00,DELIVERED
SMS00000307,A003523,2025-10-26 17:00:00,DELIVERED
SMS00000308,A003123,2026-08-01 21:00:00,SENT
SMS00000309,A000622,2026-01-15 18:00:00,DELIVERED
SMS00000310,A002237,2025-10-22 18:00:00,DELIVERED
SMS00000311,A000269,2025-10-26 14:00:00,DELIVERED
SMS00000312,A002647,2025-10-13 19:00:00,DELIVERED
SMS00000313,A000438,2026-06-14 07:00:00,DELIVERED
SMS00000314,A000689,2026-02-06 18:00:00,SENT
SMS00000315,A001407,2026-07-13 11:00:00,DELIVERED
SMS00000316,A003483,2026-05-08 17:00:00,DELIVERED
SMS00000317,A001056,2025-11-11 17:00:00,DELIVERED
SMS00000318,A002904,2026-06-21 08:00:00,DELIVERED
SMS00000319,A004021,2026-03-12 13:00:00,DELIVERED
SMS00000320,A001821,2026-08-01 14:00:00,DELIVERED
SMS00000321,A002023,2026-03-25 17:00:00,DELIVERED
SMS00000322,A002305,2025-11-01 11:00:00,DELIVERED
SMS00000323,A000594,2025-11-27 22:00:00,FAILED
SMS00000324,A000899,2026-03-12 07:00:00,DELIVERED
SMS00000325,A001906,2025-10-05 15:00:00,SENT
SMS00000326,A003063,2025-09-09 12:00:00,DELIVERED
SMS00000327,A003194,2026-07-10 18:00:00,DELIVERED
SMS00000328,A002964,2026-01-02 12:00:00,DELIVERED
SMS00000329,A002786,2025-09-08 07:00:00,DELIVERED
SMS00000330,A003613,2026-07-04 09:00:00,FAILED
SMS00000331,A000174,2026-04-27 20:00:00,SENT
SMS00000332,A002156,2026-03-22 09:00:00,SENT
SMS00000333,A000813,2026-07-03 19:00:00,DELIVERED
SMS00000334,A001437,2025-12-21 15:00:00,FAILED
SMS00000335,A003152,2025-11-27 16:00:00,DELIVERED
SMS00000336,A004115,2026-02-09 08:00:00,DELIVERED
SMS00000337,A003926,2025-09-27 11:00:00,DELIVERED
SMS00000338,A002451,2026-07-16 19:00:00,SENT
SMS00000339,A003058,2025-12-18 12:00:00,DELIVERED
SMS00000340,A002161,2026-02-04 10:00:00,DELIVERED
SMS00000341,A000504,2025-11-20 12:00:00,SENT
SMS00000342,A002931,2026-02-14 18:00:00,DELIVERED
SMS00000343,A002827,2025-12-05 13:00:00,DELIVERED
SMS00000344,A001235,2026-05-19 15:00:00,DELIVERED
SMS00000345,A001094,2026-06-16 19:00:00,SENT
SMS00000346,A004091,2026-04-03 18:00:00,DELIVERED
SMS00000347,A000449,2026-06-04 16:00:00,SENT
SMS00000348,A004103,2025-11-23 11:00:00,DELIVERED
SMS00000349,A000182,2026-06-26 16:00:00,DELIVERED
SMS00000350,A002363,2026-02-26 09:00:00,SENT
SMS00000351,A000825,2025-11-21 19:00:00,DELIVERED
SMS00000352,A002245,2026-01-06 15:00:00,DELIVERED
SMS00000353,A003766,2026-05-10 21:00:00,DELIVERED
SMS00000354,A002510,2026-03-25 08:00:00,DELIVERED
SMS00000355,A002404,2025-12-05 22:00:00,DELIVERED
SMS00000356,A000451,2026-01-06 21:00:00,DELIVERED
SMS00000357,A001736,2026-02-19 18:00:00,DELIVERED
SMS00000358,A001995,2025-11-21 15:00:00,DELIVERED
SMS00000359,A001300,2026-01-16 09:00:00,FAILED
SMS00000360,A002995,2026-04-02 10:00:00,DELIVERED
SMS00000361,A004032,2026-01-04 15:00:00,FAILED
SMS00000362,A002732,2026-04-14 21:00:00,SENT
SMS00000363,A002988,2026-01-22 10:00:00,DELIVERED
SMS00000364,A003103,2026-01-22 19:00:00,DELIVERED
SMS00000365,A001184,2026-01-22 13:00:00,SENT
SMS00000366,A000392,2026-07-21 15:00:00,DELIVERED
SMS00000367,A001680,2026-06-25 07:00:00,SENT
SMS00000368,A002408,2026-05-09 15:00:00,DELIVERED
SMS00000369,A001117,2025-10-27 20:00:00,DELIVERED
SMS00000370,A001283,2026-01-21 07:00:00,DELIVERED
SMS00000371,A002688,2026-08-05 17:00:00,DELIVERED
SMS00000372,A002139,2026-06-26 17:00:00,DELIVERED
SMS00000373,A001313,2026-05-01 10:00:00,DELIVERED
SMS00000374,A002285,2026-01-10 19:00:00,SENT
SMS00000375,A002293,2026-01-09 09:00:00,SENT
SMS00000376,A000567,2025-09-21 13:00:00,DELIVERED
SMS00000377,A000044,2026-05-11 10:00:00,DELIVERED
SMS00000378,A000916,2026-02-25 17:00:00,DELIVERED
SMS00000379,A003754,2026-07-15 19:00:00,FAILED
SMS00000380,A004055,2026-04-27 07:00:00,DELIVERED
SMS00000381,A000160,2025-09-08 13:00:00,SENT
SMS00000382,A000825,2025-12-19 17:00:00,DELIVERED
SMS00000383,A000240,2025-11-12 20:00:00,DELIVERED
SMS00000384,A001395,2026-01-08 19:00:00,DELIVERED
SMS00000385,A001677,2025-10-14 09:00:00,DELIVERED
SMS00000386,A002661,2026-06-08 11:00:00,DELIVERED
SMS00000387,A001163,2025-11-22 20:00:00,DELIVERED
SMS00000388,A002855,2026-05-25 07:00:00,DELIVERED
SMS00000389,A000774,2026-07-15 15:00:00,SENT
SMS00000390,A002645,2026-03-11 22:00:00,DELIVERED
SMS00000391,A003808,2026-01-26 22:00:00,DELIVERED
SMS00000392,A001860,2026-07-02 22:00:00,DELIVERED
SMS00000393,A003818,2026-06-26 11:00:00,DELIVERED
SMS00000394,A003214,2025-11-08 09:00:00,DELIVERED
SMS00000395,A000408,2026-07-09 08:00:00,DELIVERED
SMS00000396,A000825,2025-09-07 19:00:00,DELIVERED
SMS00000397,A000451,2026-07-17 16:00:00,DELIVERED
SMS00000398,A000349,2026-07-11 17:00:00,DELIVERED
SMS00000399,A004048,2025-11-25 14:00:00,DELIVERED
SMS00000400,A002415,2025-10-27 07:00:00,SENT
SMS00000401,A001349,2025-10-06 18:00:00,DELIVERED
SMS00000402,A000626,2026-05-02 11:00:00,SENT
SMS00000403,A001470,2026-02-21 14:00:00,DELIVERED
SMS00000404,A000737,2026-03-08 22:00:00,DELIVERED
SMS00000405,A000485,2025-12-08 22:00:00,DELIVERED
SMS00000406,A003908,2026-08-18 11:00:00,DELIVERED
SMS00000407,A002398,2025-10-07 10:00:00,SENT
SMS00000408,A000452,2025-10-22 09:00:00,DELIVERED
SMS00000409,A000441,2025-11-24 11:00:00,DELIVERED
SMS00000410,A003852,2025-11-27 13:00:00,DELIVERED
SMS00000411,A002616,2025-11-16 14:00:00,DELIVERED
SMS00000412,A004169,2026-07-26 09:00:00,DELIVERED
SMS00000413,A001169,2025-09-18 21:00:00,DELIVERED
SMS00000414,A002021,2026-05-13 14:00:00,DELIVERED
SMS00000415,A001578,2025-10-04 22:00:00,DELIVERED
SMS00000416,A003064,2026-07-15 09:00:00,SENT
SMS00000417,A002582,2026-02-17 16:00:00,SENT
SMS00000418,A002124,2026-07-17 16:00:00,FAILED
SMS00000419,A002239,2025-09-03 17:00:00,DELIVERED
SMS00000420,A000231,2026-05-22 20:00:00,FAILED
SMS00000421,A001139,2025-12-21 08:00:00,FAILED
SMS00000422,A000873,2026-01-13 09:00:00,DELIVERED
SMS00000423,A003855,2026-02-07 16:00:00,DELIVERED
SMS00000424,A004175,2026-01-01 19:00:00,FAILED
SMS00000425,A001476,2026-01-20 21:00:00,DELIVERED
SMS00000426,A002414,2026-02-02 10:00:00,SENT
SMS00000427,A002414,2025-10-22 13:00:00,DELIVERED
SMS00000428,A001291,2025-11-19 21:00:00,SENT
SMS00000429,A000969,2026-04-17 10:00:00,DELIVERED
SMS00000430,A003798,2026-04-18 10:00:00,DELIVERED
SMS00000431,A003742,2026-02-11 22:00:00,DELIVERED
SMS00000432,A001905,2026-07-11 20:00:00,DELIVERED
SMS00000433,A002049,2026-06-24 08:00:00,FAILED
SMS00000434,A001712,2026-05-05 11:00:00,DELIVERED
SMS00000435,A000300,2026-07-23 10:00:00,DELIVERED
SMS00000436,A001903,2025-11-22 17:00:00,DELIVERED
SMS00000437,A000465,2025-09-24 19:00:00,DELIVERED
SMS00000438,A001614,2025-12-27 07:00:00,DELIVERED
SMS00000439,A002959,2026-08-19 09:00:00,SENT
SMS00000440,A003069,2026-04-19 10:00:00,DELIVERED
SMS00000441,A002925,2026-06-17 15:00:00,SENT
SMS00000442,A001204,2026-03-15 08:00:00,SENT
SMS00000443,A002403,2026-05-22 17:00:00,DELIVERED
SMS00000444,A002890,2025-12-11 19:00:00,DELIVERED
SMS00000445,A001528,2025-10-05 21:00:00,DELIVERED
SMS00000446,A004062,2026-04-17 16:00:00,DELIVERED
SMS00000447,A000697,2026-07-09 08:00:00,DELIVERED
SMS00000448,A000485,2026-08-11 14:00:00,DELIVERED
SMS00000449,A000360,2026-04-06 14:00:00,DELIVERED
SMS00000450,A002925,2026-05-01 16:00:00,DELIVERED
SMS00000451,A003218,2026-07-21 19:00:00,SENT
SMS00000452,A003361,2025-10-17 19:00:00,DELIVERED
SMS00000453,A003958,2025-10-11 11:00:00,DELIVERED
SMS00000454,A002947,2025-09-14 21:00:00,DELIVERED
SMS00000455,A001611,2026-06-09 20:00:00,SENT
SMS00000456,A003699,2026-07-21 18:00:00,FAILED
SMS00000457,A003909,2025-09-26 07:00:00,DELIVERED
SMS00000458,A002642,2025-11-13 07:00:00,DELIVERED
SMS00000459,A002795,2026-03-05 14:00:00,DELIVERED
SMS00000460,A003685,2025-12-26 20:00:00,DELIVERED
