ptp_id,account_id,ptp_created_at,promised_due_date,promised_amount,ptp_status,source_channel
PTP00000031,A003916,2025-09-05 16:00:00,2025-09-12 16:00:00,13283.69,BROKEN,WhatsApp
PTP00000032,A001345,2026-04-12 14:00:00,2026-04-26 14:00:00,3701.1,KEPT,WhatsApp
PTP00000033,A001938,2025-10-16 18:00:00,2025-10-23 18:00:00,7898.05,BROKEN,Human
PTP00000034,A003147,2026-02-06 08:00:00,2026-02-13 08:00:00,9933.05,KEPT,Human
PTP00000035,A001579,2025-11-22 13:00:00,2025-11-29 13:00:00,7604.68,BROKEN,WhatsApp
PTP00000036,A001843,2026-08-20 14:00:00,2026-08-21 14:00:00,9606.1,PENDING,WhatsApp
PTP00000037,A000296,2026-01-12 14:00:00,2026-01-19 14:00:00,7585.12,KEPT,Human
PTP00000038,A003500,2026-03-03 09:00:00,2026-03-10 09:00:00,6308.05,BROKEN,AI Voice
PTP00000039,A002330,2026-02-17 14:00:00,2026-02-20 14:00:00,11159.48,BROKEN,AI Voice
PTP00000040,A000344,2025-10-14 19:00:00,2025-10-15 19:00:00,6180.28,KEPT,WhatsApp
PTP00000041,A004176,2026-03-18 18:00:00,2026-03-25 18:00:00,11675.52,PENDING,AI Voice
PTP00000042,A002363,2026-05-10 18:00:00,2026-05-17 18:00:00,5689.35,KEPT,WhatsApp
PTP00000043,A001475,2026-04-27 19:00:00,2026-04-28 19:00:00,12417.72,KEPT,Human
PTP00000044,A003345,2026-06-03 16:00:00,2026-06-10 16:00:00,6006.12,KEPT,Field
PTP00000045,A003218,2025-09-19 14:00:00,2025-09-20 14:00:00,6452.89,PENDING,WhatsApp
PTP00000046,A003389,2026-07-15 10:00:00,2026-07-16 10:00:00,13849.71,BROKEN,Field
PTP00000047,A001031,2025-09-19 19:00:00,2025-09-20 19:00:00,2839.04,KEPT,WhatsApp
PTP00000048,A003850,2025-11-20 18:00:00,2025-11-21 18:00:00,3395.71,KEPT,AI Voice
PTP00000049,A002052,2026-08-25 09:00:00,2026-08-26 09:00:00,2297.83,BROKEN,AI Voice
PTP00000050,A003076,2026-06-12 12:00:00,2026-06-13 12:00:00,10950.83,BROKEN,Human
PTP00000051,A003248,2026-01-11 17:00:00,2026-01-18 17:00:00,13228.3,KEPT,WhatsApp
PTP00000052,A001655,2026-01-03 15:00:00,2026-01-06 15:00:00,12863.55,BROKEN,AI Voice
PTP00000053,A003471,2026-07-01 20:00:00,2026-07-15 20:00:00,14194.12,BROKEN,WhatsApp
PTP00000054,A000960,2026-05-07 13:00:00,2026-05-14 13:00:00,4052.98,KEPT,WhatsApp
PTP00000055,A002503,2026-04-27 17:00:00,2026-05-04 17:00:00,5476.47,BROKEN,Human
PTP00000056,A003994,2026-08-19 18:00:00,2026-08-22 18:00:00,10558.68,KEPT,Human
PTP00000057,A000968,2026-07-04 19:00:00,2026-07-07 19:00:00,6082.12,BROKEN,Field
PTP00000058,A001505,2025-09-11 17:00:00,2025-09-14 17:00:00,12042.35,BROKEN,Human
PTP00000059,A001897,2025-09-19 17:00:00,2025-10-03 17:00:00,5857.44,KEPT,Field
PTP00000060,A002738,2025-12-17 16:00:00,2025-12-24 16:00:00,14739.3,PENDING,Human
PTP00000061,A002226,2026-03-01 10:00:00,2026-03-15 10:00:00,10806.04,KEPT,Human
PTP00000062,A000639,2025-12-08 15:00:00,2025-12-15 15:00:00,9843.72,PENDING,Field
PTP00000063,A000297,2026-04-04 14:00:00,2026-04-11 14:00:00,2795.38,BROKEN,Human
PTP00000064,A003094,2026-08-01 13:00:00,2026-08-04 13:00:00,11101.04,KEPT,Field
PTP00000065,A000936,2026-03-13 10:00:00,2026-03-20 10:00:00,13342.13,BROKEN,Field
PTP00000066,A002667,2025-11-19 19:00:00,2025-11-26 19:00:00,11586.02,BROKEN,WhatsApp
PTP00000067,A000679,2026-01-02 12:00:00,2026-01-09 12:00:00,9954.3,PENDING,Field
PTP00000068,A001116,2025-11-04 11:00:00,2025-11-18 11:00:00,9057.5,BROKEN,Field
PTP00000069,A000418,2026-06-21 18:00:00,2026-06-24 18:00:00,13432.18,KEPT,AI Voice
PTP00000070,A003820,2025-12-12 09:00:00,2025-12-13 09:00:00,4722.48,KEPT,WhatsApp
PTP00000071,A001258,2026-08-14 14:00:00,2026-08-21 14:00:00,5453.06,BROKEN,WhatsApp
PTP00000072,A003133,2025-12-19 15:00:00,2025-12-26 15:00:00,12022.63,PENDING,WhatsApp
PTP00000073,A001265,2026-04-19 18:00:00,2026-04-20 18:00:00,11809.0,KEPT,AI Voice
PTP00000074,A000145,2025-11-16 17:00:00,2025-11-23 17:00:00,7105.42,PENDING,WhatsApp
PTP00000075,A001733,2026-06-06 08:00:00,2026-06-20 08:00:00,12650.65,BROKEN,AI Voice
PTP00000076,A001483,2026-06-19 14:00:00,2026-07-03 14:00:00,4599.06,KEPT,WhatsApp
PTP00000077,A002931,2026-03-10 16:00:00,2026-03-11 16:00:00,13758.51,BROKEN,Field
PTP00000078,A000662,2026-02-07 08:00:00,2026-02-21 08:00:00,7416.85,KEPT,Human
PTP00000079,A003505,2025-11-20 09:00:00,2025-11-21 09:00:00,8507.54,BROKEN,Field
PTP00000080,A000184,2026-06-26 08:00:00,2026-07-03 08:00:00,7645.77,KEPT,WhatsApp
PTP00000081,A000566,2026-02-20 09:00:00,2026-02-21 09:00:00,9451.95,KEPT,WhatsApp
PTP00000082,A000247,2026-07-27 19:00:00,2026-07-30 19:00:00,7671.61,KEPT,AI Voice
PTP00000083,A000795,2025-09-14 19:00:00,2025-09-17 19:00:00,8133.0,BROKEN,AI Voice
PTP00000084,A000743,2026-06-23 08:00:00,2026-06-26 08:00:00,13257.29,KEPT,WhatsApp
PTP00000085,A004125,2025-09-26 13:00:00,2025-10-10 13:00:00,5485.45,PENDING,AI Voice
PTP00000086,A001263,2026-02-25 18:00:00,2026-03-11 18:00:00,14821.0,KEPT,WhatsApp
PTP00000087,A000076,2025-10-14 11:00:00,2025-10-28 11:00:00,5020.55,PENDING,AI Voice
PTP00000088,A001286,2026-03-12 18:00:00,2026-03-26 18:00:00,13445.2,KEPT,AI Voice
PTP00000089,A000560,2026-03-17 15:00:00,2026-03-24 15:00:00,11209.54,KEPT,WhatsApp
PTP00000090,A003462,2025-11-21 17:00:00,2025-12-05 17:00:00,9207.34,BROKEN,AI Voice
PTP00000091,A000550,2026-04-02 14:00:00,2026-04-05 14:00:00,2331.09,PENDING,AI Voice
PTP00000092,A003083,2026-05-19 15:00:00,2026-06-02 15:00:00,5423.67,PENDING,Human
PTP00000093,A001328,2026-04-19 20:00:00,2026-04-20 20:00:00,5010.83,KEPT,WhatsApp
PTP00000094,A000394,2025-12-11 20:00:00,2025-12-25 20:00:00,2909.04,BROKEN,Field
PTP00000095,A000450,2026-01-15 10:00:00,2026-01-22 10:00:00,6372.37,PENDING,Field
PTP00000096,A000038,2026-06-12 19:00:00,2026-06-13 19:00:00,12098.99,BROKEN,Field
PTP00000097,A002045,2026-03-23 10:00:00,2026-03-24 10:00:00,12983.23,BROKEN,WhatsApp
PTP00000098,A003342,2026-04-22 18:00:00,2026-05-06 18:00:00,3042.69,KEPT,AI Voice
PTP00000099,A002142,2026-04-06 15:00:00,2026-04-13 15:00:00,8304.02,BROKEN,Human
PTP00000100,A001533,2026-02-11 10:00:00,2026-02-14 10:00:00,5696.89,KEPT,Human
PTP00000101,A000164,2025-09-11 18:00:00,2025-09-14 18:00:00,9414.75,PENDING,Field
PTP00000102,A003555,2025-10-02 09:00:00,2025-10-05 09:00:00,11464.45,BROKEN,Human
PTP00000103,A001198,2026-04-10 18:00:00,2026-04-11 18:00:00,2039.34,KEPT,WhatsApp
PTP00000104,A003073,2025-09-11 12:00:00,2025-09-12 12:00:00,5498.41,KEPT,Human
PTP00000105,A001322,2026-06-22 08:00:00,2026-06-29 08:00:00,2667.03,PENDING,Field
PTP00000106,A001327,2026-08-23 15:00:00,2026-08-26 15:00:00,2309.92,KEPT,Field
PTP00000107,A001458,2026-01-08 19:00:00,2026-01-11 19:00:00,11579.12,KEPT,WhatsApp
PTP00000108,A003421,2026-03-12 19:00:00,2026-03-26 19:00:00,3363.88,PENDING,Human
PTP00000109,A003124,2026-06-20 10:00:00,2026-06-23 10:00:00,7266.9,BROKEN,WhatsApp
PTP00000110,A000623,2025-09-22 18:00:00,2025-09-25 18:00:00,14513.51,KEPT,Human
PTP00000111,A000150,2025-10-03 09:00:00,2025-10-06 09:00:00,2774.27,BROKEN,AI Voice
PTP00000112,A000289,2026-03-19 20:00:00,2026-03-26 20:00:00,2739.1,PENDING,Field
PTP00000113,A003986,2025-10-13 15:00:00,2025-10-14 15:00:00,4360.89,KEPT,Human
PTP00000114,A003831,2026-07-24 18:00:00,2026-07-27 18:00:00,4829.6,KEPT,WhatsApp
PTP00000115,A003971,2026-01-04 16:00:00,2026-01-07 16:00:00,3181.77,BROKEN,Human
PTP00000116,A003970,2026-06-23 19:00:00,2026-06-24 19:00:00,12341.65,KEPT,Human
PTP00000117,A003404,2026-01-13 14:00:00,2026-01-27 14:00:00,3198.0,KEPT,Field
PTP00000118,A000949,2026-05-14 19:00:00,2026-05-17 19:00:00,7514.44,BROKEN,WhatsApp
PTP00000119,A003662,2026-07-01 14:00:00,2026-07-02 14:00:00,6054.58,BROKEN,Field
PTP00000120,A003422,2026-04-05 16:00:00,2026-04-06 16:00:00,13105.32,PENDING,WhatsApp
PTP00000121,A002205,2025-10-01 10:00:00,2025-10-04 10:00:00,14074.14,PENDING,Field
PTP00000122,A002400,2026-07-19 17:00:00,2026-07-22 17:00:00,3698.16,BROKEN,AI Voice
PTP00000123,A003592,2026-07-17 16:00:00,2026-07-18 16:00:00,9752.89,PENDING,AI Voice
PTP00000124,A001935,2025-09-22 09:00:00,2025-09-25 09:00:00,7166.76,BROKEN,Human
PTP00000125,A000795,2025-10-13 09:00:00,2025-10-27 09:00:00,7171.91,BROKEN,Human
PTP00000126,A001885,2026-01-08 13:00:00,2026-01-15 13:00:00,5725.94,KEPT,Field
PTP00000127,A001907,2025-12-15 08:00:00,2025-12-22 08:00:00,11648.73,KEPT,WhatsApp
PTP00000128,A001745,2025-11-02 09:00:00,2025-11-16 09:00:00,3298.82,KEPT,Human
PTP00000129,A003321,2025-11-01 13:00:00,2025-11-02 13:00:00,7247.75,KEPT,AI Voice
PTP00000130,A000395,2025-10-04 16:00:00,2025-10-18 16:00:00,7634.75,PENDING,Field
PTP00000131,A002293,2026-03-18 16:00:00,2026-03-25 16:00:00,5850.3,KEPT,AI Voice
PTP00000132,A002674,2025-11-19 10:00:00,2025-11-20 10:00:00,3770.02,KEPT,WhatsApp
PTP00000133,A002863,2025-12-04 12:00:00,2025-12-18 12:00:00,3799.29,BROKEN,Human
PTP00000134,A002520,2025-10-26 16:00:00,2025-10-27 16:00:00,7149.57,KEPT,Field
PTP00000135,A001813,2025-10-25 10:00:00,2025-11-01 10:00:00,8821.75,BROKEN,Field
PTP00000136,A000647,2025-10-08 16:00:00,2025-10-11 16:00:00,5907.46,KEPT,WhatsApp
PTP00000137,A001445,2026-05-27 08:00:00,2026-05-30 08:00:00,5968.42,KEPT,AI Voice
PTP00000138,A003672,2026-08-17 13:00:00,2026-08-24 13:00:00,8365.18,KEPT,WhatsApp
PTP00000139,A002725,2026-06-24 13:00:00,2026-07-08 13:00:00,7590.78,KEPT,AI Voice
PTP00000140,A001747,2026-07-01 20:00:00,2026-07-04 20:00:00,8424.67,KEPT,Human
PTP00000141,A001326,2026-04-16 15:00:00,2026-04-17 15:00:00,9080.5,PENDING,WhatsApp
PTP00000142,A000977,2026-02-13 13:00:00,2026-02-27 13:00:00,2641.95,PENDING,Human
PTP00000143,A000581,2026-02-10 11:00:00,2026-02-13 11:00:00,7119.17,KEPT,AI Voice
PTP00000144,A003215,2026-08-15 14:00:00,2026-08-16 14:00:00,14861.59,KEPT,Human
PTP00000145,A002577,2026-06-23 11:00:00,2026-06-30 11:00:00,12925.06,PENDING,Human
PTP00000146,A004061,2026-07-22 15:00:00,2026-08-05 15:00:00,4935.47,BROKEN,AI Voice
PTP00000147,A001771,2026-06-18 14:00:00,2026-06-19 14:00:00,4543.36,KEPT,AI Voice
PTP00000148,A002141,2026-03-01 19:00:00,2026-03-02 19:00:00,10950.85,KEPT,Human
PTP00000149,A000242,2026-07-14 12:00:00,2026-07-28 12:00:00,3910.22,KEPT,Field
PTP00000150,A003877,2025-09-12 11:00:00,2025-09-19 11:00:00,14219.03,PENDING,AI Voice
PTP00000151,A001600,2026-04-03 13:00:00,2026-04-10 13:00:00,11130.27,PENDING,Field
PTP00000152,A001271,2026-06-21 19:00:00,2026-06-22 19:00:00,10019.48,BROKEN,Field
PTP00000153,A003724,2026-06-08 09:00:00,2026-06-09 09:00:00,6058.18,KEPT,WhatsApp
PTP00000154,A000012,2026-02-25 15:00:00,2026-02-26 15:00:00,14946.07,KEPT,Field
PTP00000155,A000100,2025-09-02 11:00:00,2025-09-05 11:00:00,11178.75,BROKEN,WhatsApp
PTP00000156,A002183,2026-01-06 08:00:00,2026-01-09 08:00:00,5617.03,KEPT,AI Voice
PTP00000157,A003390,2025-11-21 13:00:00,2025-12-05 13:00:00,2697.49,BROKEN,Field
PTP00000158,A001872,2026-07-09 13:00:00,2026-07-10 13:00:00,6240.17,KEPT,WhatsApp
PTP00000159,A003814,2026-06-10 17:00:00,2026-06-11 17:00:00,8643.3,KEPT,WhatsApp
PTP00000160,A001044,2025-09-22 11:00:00,2025-10-06 11:00:00,4818.49,KEPT,Field
PTP00000161,A001979,2026-04-11 12:00:00,2026-04-25 12:00:00,3451.2,PENDING,WhatsApp
PTP00000162,A000116,2026-08-13 12:00:00,2026-08-14 12:00:00,7728.98,KEPT,AI Voice
PTP00000163,A003538,2026-04-19 18:00:00,2026-05-03 18:00:00,3225.03,BROKEN,Field
PTP00000164,A002414,2026-04-18 18:00:00,2026-04-25 18:00:00,4583.83,KEPT,WhatsApp
PTP00000165,A001972,2025-10-21 12:00:00,2025-10-22 12:00:00,14981.66,BROKEN,WhatsApp
PTP00000166,A001482,2026-02-27 13:00:00,2026-03-02 13:00:00,14215.91,BROKEN,AI Voice
PTP00000167,A002780,2025-11-25 12:00:00,2025-12-09 12:00:00,10960.61,PENDING,AI Voice
PTP00000168,A002586,2026-05-04 19:00:00,2026-05-18 19:00:00,3784.12,PENDING,Human
PTP00000169,A002629,2025-10-12 16:00:00,2025-10-13 16:00:00,10153.92,KEPT,AI Voice
PTP00000170,A000345,2026-02-06 10:00:00,2026-02-07 10:00:00,4134.29,KEPT,AI Voice
PTP00000171,A000127,2025-09-24 18:00:00,2025-09-27 18:00:00,3781.19,KEPT,Human
PTP00000172,A003186,2026-02-01 15:00:00,2026-02-08 15:00:00,5494.91,BROKEN,WhatsApp
PTP00000173,A002388,2026-03-18 12:00:00,2026-03-21 12:00:00,6874.01,KEPT,Field
PTP00000174,A003157,2026-01-08 13:00:00,2026-01-09 13:00:00,14087.79,BROKEN,Human
PTP00000175,A002834,2026-07-07 17:00:00,2026-07-21 17:00:00,11734.46,KEPT,WhatsApp
PTP00000176,A000870,2025-09-23 17:00:00,2025-09-24 17:00:00,12801.64,KEPT,AI Voice
PTP00000177,A003946,2025-11-27 18:00:00,2025-11-28 18:00:00,11692.47,PENDING,Human
PTP00000178,A001366,2026-03-10 12:00:00,2026-03-17 12:00:00,11201.9,KEPT,Human
PTP00000179,A001549,2025-12-21 11:00:00,2026-01-04 11:00:00,6451.68,KEPT,AI Voice
PTP00000180,A003510,2026-04-25 17:00:00,2026-04-28 17:00:00,10356.88,KEPT,Human
PTP00000181,A000737,2026-07-27 15:00:00,2026-08-03 15:00:00,14896.58,BROKEN,Human
PTP00000182,A003490,2026-01-23 13:00:00,2026-01-30 13:00:00,2016.4,KEPT,Human
PTP00000183,A001477,2026-06-04 17:00:00,2026-06-11 17:00:00,10262.3,KEPT,WhatsApp
PTP00000184,A000781,2026-05-21 11:00:00,2026-05-28 11:00:00,2357.66,KEPT,WhatsApp
PTP00000185,A000251,2025-11-23 10:00:00,2025-11-30 10:00:00,12549.9,KEPT,Field
PTP00000186,A004168,2026-02-02 19:00:00,2026-02-09 19:00:00,3539.32,KEPT,WhatsApp
PTP00000187,A000924,2026-08-05 20:00:00,2026-08-06 20:00:00,4348.37,BROKEN,Human
PTP00000188,A003387,2026-05-10 10:00:00,2026-05-17 10:00:00,8408.6,KEPT,WhatsApp
PTP00000189,A001551,2026-06-04 09:00:00,2026-06-11 09:00:00,2080.21,BROKEN,Field
PTP00000190,A000786,2026-01-24 18:00:00,2026-01-31 18:00:00,4469.57,KEPT,WhatsApp
PTP00000191,A003623,2025-12-20 09:00:00,2025-12-27 09:00:00,2307.99,KEPT,Field
PTP00000192,A003546,2026-07-03 17:00:00,2026-07-06 17:00:00,3018.23,PENDING,Human
PTP00000193,A003099,2026-05-08 09:00:00,2026-05-09 09:00:00,4957.22,KEPT,AI Voice
PTP00000194,A001165,2025-12-13 17:00:00,2025-12-27 17:00:00,3755.24,KEPT,Human
PTP00000195,A001068,2025-09-21 08:00:00,2025-10-05 08:00:00,9215.71,KEPT,WhatsApp
PTP00000196,A003532,2026-04-05 08:00:00,2026-04-08 08:00:00,11644.79,KEPT,WhatsApp
PTP00000197,A000183,2026-06-02 08:00:00,2026-06-03 08:00:00,4164.88,KEPT,Human
PTP00000198,A001495,2026-03-07 13:00:00,2026-03-10 13:00:00,6719.84,BROKEN,AI Voice
PTP00000199,A002201,2025-12-21 18:00:00,2026-01-04 18:00:00,11339.2,PENDING,Human
PTP00000200,A000428,2026-03-09 11:00:00,2026-03-12 11:00:00,2977.42,BROKEN,Field
PTP00000201,A002866,2026-02-01 20:00:00,2026-02-15 20:00:00,14191.97,PENDING,Field
PTP00000202,A000368,2026-03-01 15:00:00,2026-03-04 15:00:00,8182.18,BROKEN,AI Voice
PTP00000203,A002023,2025-11-15 08:00:00,2025-11-22 08:00:00,8530.85,KEPT,Field
PTP00000204,A002797,2026-08-25 08:00:00,2026-08-28 08:00:00,9378.24,BROKEN,Field
PTP00000205,A001108,2026-04-19 16:00:00,2026-04-26 16:00:00,13618.8,PENDING,Human
PTP00000206,A002223,2026-06-19 16:00:00,2026-06-26 16:00:00,12663.83,BROKEN,Human
PTP00000207,A002635,2025-11-01 17:00:00,2025-11-04 17:00:00,2483.91,KEPT,Human
PTP00000208,A002828,2026-06-20 09:00:00,2026-06-21 09:00:00,5727.87,PENDING,WhatsApp
PTP00000209,A001625,2026-03-16 13:00:00,2026-03-19 13:00:00,11565.63,BROKEN,WhatsApp
PTP00000210,A000199,2026-01-26 14:00:00,2026-01-27 14:00:00,5613.62,BROKEN,WhatsApp
PTP00000211,A000968,2025-12-06 11:00:00,2025-12-13 11:00:00,5300.48,KEPT,WhatsApp
PTP00000212,A004189,2025-12-06 10:00:00,2025-12-13 10:00:00,5016.04,KEPT,Human
PTP00000213,A000982,2025-10-01 16:00:00,2025-10-08 16:00:00,10710.14,BROKEN,AI Voice
PTP00000214,A000064,2025-11-18 11:00:00,2025-11-21 11:00:00,9364.81,KEPT,Human
PTP00000215,A002642,2026-01-25 11:00:00,2026-02-01 11:00:00,2544.42,PENDING,WhatsApp
PTP00000216,A000723,2026-04-07 11:00:00,2026-04-10 11:00:00,9246.43,KEPT,WhatsApp
PTP00000217,A001659,2026-06-22 18:00:00,2026-06-25 18:00:00,2426.42,PENDING,AI Voice
PTP00000218,A003547,2025-09-14 11:00:00,2025-09-15 11:00:00,13410.58,KEPT,AI Voice
PTP00000219,A002965,2026-02-14 20:00:00,2026-02-28 20:00:00,3021.59,KEPT,AI Voice
PTP00000220,A003226,2025-11-20 08:00:00,2025-12-04 08:00:00,6923.39,KEPT,Field
PTP00000221,A003039,2026-07-25 15:00:00,2026-08-08 15:00:00,8952.13,KEPT,WhatsApp
PTP00000222,A000606,2025-10-20 08:00:00,2025-11-03 08:00:00,6828.61,KEPT,WhatsApp
PTP00000223,A003766,2026-07-13 14:00:00,2026-07-16 14:00:00,11185.21,BROKEN,Human
PTP00000224,A001863,2025-10-08 19:00:00,2025-10-15 19:00:00,6002.85,KEPT,Human
PTP00000225,A002934,2026-02-21 20:00:00,2026-02-24 20:00:00,12957.54,KEPT,AI Voice
PTP00000226,A000351,2025-12-11 16:00:00,2025-12-14 16:00:00,10172.95,KEPT,WhatsApp
PTP00000227,A001251,2025-10-15 13:00:00,2025-10-16 13:00:00,14342.34,KEPT,AI Voice
PTP00000228,A002726,2025-10-15 09:00:00,2025-10-22 09:00:00,2380.63,BROKEN,Field
PTP00000229,A003437,2025-10-17 18:00:00,2025-10-20 18:00:00,6097.12,BROKEN,AI Voice
PTP00000230,A004160,2026-08-09 19:00:00,2026-08-12 19:00:00,10170.21,BROKEN,Human
PTP00000231,A003337,2026-04-27 18:00:00,2026-04-30 18:00:00,4904.32,BROKEN,WhatsApp
PTP00000232,A001590,2025-11-20 09:00:00,2025-11-27 09:00:00,4100.72,BROKEN,WhatsApp
PTP00000233,A003536,2025-10-13 08:00:00,2025-10-16 08:00:00,7229.62,KEPT,AI Voice
PTP00000234,A003137,2025-11-21 10:00:00,2025-11-22 10:00:00,8280.69,KEPT,Field
PTP00000235,A002028,2025-09-06 20:00:00,2025-09-20 20:00:00,7050.54,KEPT,Human
PTP00000236,A000966,2026-01-05 16:00:00,2026-01-08 16:00:00,6766.75,KEPT,AI Voice
PTP00000237,A001673,2026-01-05 15:00:00,2026-01-19 15:00:00,14617.02,BROKEN,WhatsApp
PTP00000238,A000200,2026-06-17 15:00:00,2026-06-18 15:00:00,6731.42,KEPT,AI Voice
PTP00000239,A004004,2025-09-15 20:00:00,2025-09-22 20:00:00,7758.62,KEPT,Human
PTP00000240,A001567,2025-12-14 12:00:00,2025-12-21 12:00:00,6003.98,BROKEN,WhatsApp
PTP00000241,A001089,2026-07-03 10:00:00,2026-07-04 10:00:00,8235.67,KEPT,AI Voice
PTP00000242,A001712,2026-01-12 08:00:00,2026-01-19 08:00:00,8016.69,KEPT,Human
PTP00000243,A000218,2026-07-07 10:00:00,2026-07-08 10:00:00,2314.84,PENDING,Human
PTP00000244,A000709,2026-01-17 17:00:00,2026-01-24 17:00:00,7893.06,KEPT,Human
PTP00000245,A001114,2026-07-23 10:00:00,2026-07-30 10:00:00,4907.03,KEPT,Field
PTP00000246,A000193,2026-08-03 13:00:00,2026-08-06 13:00:00,11110.08,KEPT,AI Voice
PTP00000247,A001424,2025-09-24 12:00:00,2025-10-08 12:00:00,14152.24,BROKEN,WhatsApp
PTP00000248,A003345,2025-11-12 14:00:00,2025-11-19 14:00:00,5205.33,BROKEN,Field
PTP00000249,A001702,2026-01-09 08:00:00,2026-01-10 08:00:00,9573.84,KEPT,Human
PTP00000250,A001598,2026-03-01 10:00:00,2026-03-15 10:00:00,5132.05,KEPT,Human
PTP00000251,A000745,2025-10-13 15:00:00,2025-10-14 15:00:00,10316.43,KEPT,AI Voice
PTP00000252,A002655,2025-10-18 14:00:00,2025-10-19 14:00:00,14030.57,KEPT,Field
PTP00000253,A000109,2025-12-27 10:00:00,2025-12-28 10:00:00,6611.19,BROKEN,AI Voice
PTP00000254,A002587,2026-03-14 13:00:00,2026-03-28 13:00:00,3281.25,KEPT,AI Voice
PTP00000255,A002051,2026-02-19 19:00:00,2026-02-20 19:00:00,13582.43,PENDING,WhatsApp
PTP00000256,A002658,2025-12-01 12:00:00,2025-12-04 12:00:00,14320.78,KEPT,WhatsApp
PTP00000257,A000984,2026-08-06 08:00:00,2026-08-07 08:00:00,2677.09,BROKEN,WhatsApp
PTP00000258,A002133,2025-11-26 16:00:00,2025-12-10 16:00:00,2342.27,BROKEN,Field
PTP00000259,A002470,2026-07-04 10:00:00,2026-07-05 10:00:00,3012.18,KEPT,Field
PTP00000260,A001161,2025-09-07 11:00:00,2025-09-10 11:00:00,5547.75,BROKEN,Field
PTP00000261,A003478,2026-05-11 10:00:00,2026-05-12 10:00:00,8120.66,KEPT,Human
PTP00000262,A001847,2025-11-05 13:00:00,2025-11-08 13:00:00,6780.33,PENDING,AI Voice
PTP00000263,A003519,2026-05-22 08:00:00,2026-06-05 08:00:00,10183.52,BROKEN,AI Voice
PTP00000264,A003501,2025-12-24 08:00:00,2025-12-31 08:00:00,6123.87,BROKEN,WhatsApp
PTP00000265,A002257,2026-03-26 09:00:00,2026-04-02 09:00:00,10317.48,BROKEN,AI Voice
PTP00000266,A000927,2026-06-09 12:00:00,2026-06-16 12:00:00,2260.16,PENDING,WhatsApp
