agent_id,agent_name,tenure_months,base_location,vendor,status
AG0108,Agent_108,15,Bengaluru,Vendor_Y,ACTIVE
AG0109,Agent_109,12,Hyderabad,Vendor_X,ACTIVE
AG0110,Agent_110,47,Hyderabad,Vendor_Y,ACTIVE
AG0111,Agent_111,32,Delhi,Vendor_Y,ACTIVE
AG0112,Agent_112,1,Mumbai,Vendor_X,ACTIVE
AG0113,Agent_113,47,Mumbai,Vendor_Z,ACTIVE
AG0114,Agent_114,30,Hyderabad,Vendor_Y,ACTIVE
AG0115,Agent_115,40,Mumbai,Vendor_X,ACTIVE
AG0116,Agent_116,8,Mumbai,Vendor_X,ACTIVE
AG0117,Agent_117,22,Bengaluru,Vendor_Y,ACTIVE
AG0118,Agent_118,8,Hyderabad,Vendor_Y,ACTIVE
AG0119,Agent_119,37,Mumbai,Vendor_X,ACTIVE
AG0120,Agent_120,31,Delhi,Vendor_X,INACTIVE
X005,Agent_005,44,Chennai,Vendor_X,ACTIVE
AG018_EXT,Agent_018,40,Delhi,Vendor_X,ACTIVE
X034,Agent_034,15,Hyderabad,Vendor_Y,ACTIVE
AG059_EXT,Agent_059,39,Bengaluru,Vendor_X,ACTIVE
TEMP078,Agent_078,28,Chennai,Vendor_X,ACTIVE
