account_id,borrower_id,client,dpd,outstanding_amount,account_open_date,status
A000061,B02958,Client_A,60,16292.0,2026-04-24,ACTIVE
A000062,B00856,Client_D,150,52412.0,2025-05-27,ACTIVE
A000063,B01574,Client_A,15,19114.0,2024-03-25,ACTIVE
A000064,B00564,Client_B,60,16560.0,2024-04-13,ACTIVE
A000065,B01236,Client_A,45,18542.0,2025-12-18,ACTIVE
A000066,B01684,Client_D,90,45867.0,2024-02-09,ACTIVE
A000067,B00174,Client_A,90,25215.0,2024-12-11,ACTIVE
A000068,B02789,Client_B,150,18772.0,2026-05-08,CLOSED
A000069,B00689,Client_C,30,55066.0,2024-07-31,ACTIVE
A000070,B00818,Client_C,15,27354.0,2024-04-01,CLOSED
A000071,B01794,Client_B,75,12865.0,2024-01-06,ACTIVE
A000072,B02788,Client_D,150,25610.0,2025-11-07,ACTIVE
A000073,B01182,Client_C,15,17036.0,2024-01-28,ACTIVE
A000074,B02260,Client_B,60,79965.0,2024-04-23,ACTIVE
A000075,B02258,Client_C,15,13933.0,2024-11-18,ACTIVE
A000076,B02511,Client_D,30,20287.0,2024-09-19,ACTIVE
A000077,B01854,Client_D,60,27011.0,2024-12-22,ACTIVE
A000078,B02960,Client_B,15,13193.0,2024-12-05,CLOSED
A000079,B01710,Client_B,60,7223.0,2025-03-16,ACTIVE
A000080,B00005,Client_B,45,40061.0,2024-06-03,ACTIVE
A000081,B00931,Client_C,150,10237.0,2024-09-05,ACTIVE
A000082,B00059,Client_A,90,31424.0,2025-08-21,ACTIVE
A000083,B01838,Client_A,60,27848.0,2024-09-21,WRITTEN_OFF
A000084,B01009,Client_B,45,19574.0,2025-07-04,ACTIVE
A000085,B02985,Client_B,45,50861.0,2025-06-16,WRITTEN_OFF
A000086,B02754,Client_D,75,7678.0,2025-03-08,ACTIVE
A000087,B00726,Client_A,120,46851.0,2025-03-12,ACTIVE
A000088,B00918,Client_C,15,34790.0,2025-03-13,ACTIVE
A000089,B00857,Client_C,120,23840.0,2024-06-07,CLOSED
A000090,B00386,Client_A,30,26401.0,2024-11-21,ACTIVE
A000091,B00435,Client_C,75,51582.0,2025-07-17,ACTIVE
A000092,B02927,Client_A,30,38272.0,2025-02-12,ACTIVE
A000093,B00355,Client_C,150,11964.0,2026-02-16,ACTIVE
A000094,B01401,Client_A,15,40277.0,2025-04-11,ACTIVE
A000095,B00765,Client_B,45,27330.0,2024-12-21,ACTIVE
A000096,B00848,Client_A,60,10236.0,2025-06-13,ACTIVE
A000097,B02150,Client_D,45,31148.0,2026-03-20,ACTIVE
A000098,B01197,Client_A,75,29017.0,2025-10-19,ACTIVE
A000099,B00571,Client_B,60,9735.0,2025-11-06,ACTIVE
A000100,B00493,Client_A,45,21404.0,2025-11-15,ACTIVE
A000101,B01810,Client_B,75,19714.0,2025-01-27,ACTIVE
A000102,B00087,Client_B,90,12698.0,2025-06-03,CLOSED
A000103,B01125,Client_C,45,7526.0,2025-02-28,WRITTEN_OFF
A000104,B01934,Client_C,120,51854.0,2025-08-29,ACTIVE
A000105,B02269,Client_A,60,30112.0,2025-02-24,ACTIVE
A000106,B00415,Client_C,75,11095.0,2025-02-17,ACTIVE
A000107,B01807,Client_B,180,10309.0,2024-07-17,ACTIVE
A000108,B02116,Client_D,75,33929.0,2025-05-11,ACTIVE
A000109,B02096,Client_A,90,17907.0,2024-04-10,CLOSED
A000110,B00037,Client_C,30,18650.0,2026-02-09,ACTIVE
A000111,B00731,Client_B,15,17970.0,2024-09-08,ACTIVE
A000112,B01342,Client_B,30,21200.0,2025-03-28,ACTIVE
A000113,B02291,Client_A,90,34164.0,2025-04-15,ACTIVE
A000114,B02747,Client_A,75,70427.0,2024-07-23,ACTIVE
A000115,B00706,Client_A,75,12858.0,2025-09-02,ACTIVE
A000116,B00269,Client_A,75,12560.0,2024-05-11,CLOSED
A000117,B00824,Client_D,15,30891.0,2025-07-06,ACTIVE
A000118,B01641,Client_B,120,59714.0,2025-02-21,WRITTEN_OFF
A000119,B02254,Client_D,15,38786.0,2024-01-22,ACTIVE
A000120,B00739,Client_A,120,35333.0,2025-12-12,ACTIVE
A000121,B01079,Client_A,150,58339.0,2026-03-05,ACTIVE
A000122,B00174,Client_B,15,20102.0,2024-12-07,ACTIVE
A000123,B00164,Client_C,15,14002.0,2024-09-25,ACTIVE
A000124,B02808,Client_A,150,53226.0,2025-07-08,ACTIVE
A000125,B00303,Client_B,90,19961.0,2024-07-02,ACTIVE
A000126,B01791,Client_B,75,37918.0,2025-12-29,ACTIVE
A000127,B02784,Client_A,120,27393.0,2025-06-29,CLOSED
A000128,B00518,Client_C,90,19640.0,2024-07-31,ACTIVE
A000129,B00024,Client_C,150,41612.0,2024-02-20,ACTIVE
A000130,B00693,Client_B,120,57587.0,2026-04-17,ACTIVE
A000131,B01513,Client_B,75,50759.0,2024-05-02,ACTIVE
A000132,B01465,Client_C,150,16588.0,2024-12-11,CLOSED
A000133,B01418,Client_D,30,30434.0,2024-12-22,ACTIVE
A000134,B00272,Client_A,60,26054.0,2024-10-30,CLOSED
A000135,B02519,Client_B,60,10838.0,2024-09-01,ACTIVE
A000136,B02401,Client_D,30,13559.0,2025-07-10,ACTIVE
A000137,B01375,Client_C,75,45039.0,2025-09-23,ACTIVE
A000138,B01904,Client_A,75,60249.0,2024-05-03,CLOSED
A000139,B02029,Client_D,45,12786.0,2026-05-05,ACTIVE
A000140,B00067,Client_B,180,23371.0,2025-01-04,ACTIVE
A000141,B02910,Client_D,45,17209.0,2025-09-09,WRITTEN_OFF
A000142,B00601,Client_A,60,13565.0,2024-04-08,ACTIVE
A000143,B02246,Client_A,15,52184.0,2024-06-03,ACTIVE
A000144,B01944,Client_A,30,17398.0,2025-03-07,ACTIVE
A000145,B02502,Client_B,75,14235.0,2025-06-28,CLOSED
A000146,B01564,Client_B,45,16421.0,2024-05-07,WRITTEN_OFF
A000147,B02987,Client_A,150,10781.0,2025-12-14,ACTIVE
A000148,B00788,Client_D,45,40645.0,2024-02-17,ACTIVE
A000149,B00267,Client_D,30,7116.0,2025-12-28,ACTIVE
A000150,B01831,Client_C,60,13627.0,2025-11-10,ACTIVE
A000151,B02160,Client_A,120,9672.0,2026-05-28,CLOSED
A000152,B02790,Client_B,30,22673.0,2025-12-01,CLOSED
A000153,B00482,Client_C,90,34311.0,2025-07-25,ACTIVE
A000154,B01463,Client_D,30,20998.0,2024-10-12,ACTIVE
A000155,B02899,Client_D,60,35393.0,2025-05-15,ACTIVE
A000156,B01455,Client_B,60,19628.0,2025-04-10,ACTIVE
A000157,B00557,Client_A,180,15262.0,2026-02-12,ACTIVE
A000158,B02391,Client_A,30,16487.0,2025-06-21,ACTIVE
A000159,B01926,Client_B,120,16447.0,2024-12-15,ACTIVE
A000160,B01514,Client_C,30,37225.0,2024-12-10,ACTIVE
A000161,B01596,Client_B,150,50089.0,2024-08-16,CLOSED
A000162,B02506,Client_C,90,17345.0,2024-08-11,ACTIVE
A000163,B02249,Client_A,60,13479.0,2025-12-08,WRITTEN_OFF
A000164,B02575,Client_B,150,23737.0,2026-03-28,ACTIVE
A000165,B01454,Client_A,45,20249.0,2024-04-14,ACTIVE
A000166,B01809,Client_B,60,42545.0,2026-02-27,ACTIVE
A000167,B01259,Client_C,120,66255.0,2024-08-01,ACTIVE
A000168,B02104,Client_B,90,29635.0,2024-02-16,ACTIVE
A000169,B02377,Client_C,15,18234.0,2025-06-08,ACTIVE
A000170,B01178,Client_B,75,10079.0,2024-03-13,ACTIVE
A000171,B00054,Client_B,120,33467.0,2026-04-20,CLOSED
A000172,B02963,Client_A,90,25188.0,2024-07-02,ACTIVE
A000173,B02188,Client_B,75,18880.0,2025-06-02,ACTIVE
A000174,B01033,Client_D,45,36173.0,2025-04-13,ACTIVE
A000175,B00393,Client_B,45,42585.0,2024-12-28,ACTIVE
A000176,B01276,Client_C,60,4930.0,2024-06-23,ACTIVE
A000177,B00790,Client_B,75,37171.0,2024-03-29,CLOSED
A000178,B01018,Client_C,60,31498.0,2026-04-25,CLOSED
A000179,B00099,Client_A,15,44489.0,2026-06-01,ACTIVE
A000180,B01817,Client_A,75,17013.0,2025-05-13,CLOSED
A000181,B02540,Client_A,180,52826.0,2024-09-20,ACTIVE
A000182,B00341,Client_B,15,17829.0,2025-04-27,ACTIVE
A000183,B00859,Client_C,30,13042.0,2025-03-24,ACTIVE
A000184,B00727,Client_A,45,13942.0,2025-05-30,ACTIVE
A000185,B00301,Client_D,30,32838.0,2024-10-04,ACTIVE
A000186,B01123,Client_A,45,34669.0,2025-05-18,ACTIVE
A000187,B00237,Client_D,75,13801.0,2024-11-12,WRITTEN_OFF
A000188,B01740,Client_A,60,28257.0,2025-10-12,ACTIVE
A000189,B00728,Client_D,75,5133.0,2025-07-30,ACTIVE
A000190,B01249,Client_C,180,67151.0,2025-04-07,CLOSED
A000191,B02039,Client_A,60,18350.0,2024-02-28,ACTIVE
A000192,B02489,Client_B,45,11461.0,2024-11-30,ACTIVE
A000193,B02096,Client_B,45,62186.0,2025-08-14,ACTIVE
A000194,B01118,Client_D,180,23078.0,2025-09-28,ACTIVE
A000195,B01570,Client_B,30,20462.0,2024-11-08,ACTIVE
A000196,B02745,Client_A,90,46450.0,2024-01-30,ACTIVE
A000197,B01169,Client_A,75,30467.0,2024-07-30,ACTIVE
A000198,B01288,Client_B,75,27167.0,2024-04-29,ACTIVE
A000199,B02880,Client_C,30,23649.0,2024-11-17,CLOSED
A000200,B01203,Client_B,30,8809.0,2024-06-14,ACTIVE
A000201,B00934,Client_D,15,15316.0,2025-11-13,ACTIVE
A000202,B00528,Client_B,30,58310.0,2025-02-03,ACTIVE
A000203,B01026,Client_C,75,19317.0,2024-11-05,CLOSED
A000204,B00544,Client_B,150,6603.0,2025-03-11,ACTIVE
A000205,B00262,Client_A,75,6583.0,2024-11-01,WRITTEN_OFF
A000206,B02424,Client_A,90,20425.0,2024-03-16,ACTIVE
A000207,B01078,Client_B,90,12560.0,2025-09-30,ACTIVE
A000208,B02893,Client_B,75,26347.0,2025-11-13,ACTIVE
A000209,B02236,Client_A,75,11214.0,2025-07-11,ACTIVE
A000210,B01625,Client_A,75,62207.0,2024-01-07,ACTIVE
A000211,B01846,Client_B,30,11389.0,2024-12-04,ACTIVE
A000212,B00846,Client_D,90,48222.0,2024-08-11,CLOSED
A000213,B00241,Client_C,180,54410.0,2025-12-20,ACTIVE
A000214,B01334,Client_B,60,25244.0,2024-03-27,ACTIVE
A000215,B00184,Client_C,45,20206.0,2024-10-03,ACTIVE
A000216,B01303,Client_A,90,6881.0,2025-04-02,ACTIVE
A000217,B00272,Client_B,30,19907.0,2025-07-16,ACTIVE
A000218,B00755,Client_B,60,16979.0,2026-04-05,ACTIVE
A000219,B01617,Client_C,75,14565.0,2024-05-12,ACTIVE
A000220,B01559,Client_C,30,13691.0,2024-06-15,ACTIVE
A000221,B00105,Client_C,150,13108.0,2024-10-13,ACTIVE
A000222,B00646,Client_B,30,18308.0,2025-09-24,CLOSED
A000223,B01381,Client_C,120,24571.0,2025-08-18,ACTIVE
A000224,B00993,Client_D,90,17616.0,2025-02-09,ACTIVE
A000225,B01148,Client_C,120,44526.0,2025-12-21,ACTIVE
A000226,B02010,Client_A,45,59527.0,2025-05-15,CLOSED
A000227,B01251,Client_B,45,17965.0,2024-12-01,ACTIVE
A000228,B00040,Client_B,15,27801.0,2026-02-15,WRITTEN_OFF
A000229,B00422,Client_D,45,35794.0,2025-03-14,ACTIVE
A000230,B02829,Client_B,60,30138.0,2024-06-07,CLOSED
A000231,B00041,Client_D,60,26182.0,2025-01-01,ACTIVE
A000232,B00053,Client_A,30,16520.0,2025-03-11,CLOSED
A000233,B00202,Client_A,150,20170.0,2025-09-28,ACTIVE
A000234,B02315,Client_A,120,26337.0,2025-11-03,ACTIVE
A000235,B00287,Client_C,90,12275.0,2024-03-13,ACTIVE
A000236,B01001,Client_C,30,16666.0,2025-05-07,CLOSED
A000237,B02062,Client_B,90,8630.0,2025-04-28,ACTIVE
A000238,B01238,Client_B,180,70220.0,2024-12-27,ACTIVE
A000239,B01396,Client_D,120,28795.0,2026-03-12,CLOSED
A000240,B02913,Client_A,45,51369.0,2024-01-01,ACTIVE
A000241,B00357,Client_A,75,13585.0,2025-07-24,ACTIVE
A000242,B02836,Client_B,90,22575.0,2026-04-06,ACTIVE
A000243,B00746,Client_C,45,24872.0,2025-11-10,ACTIVE
A000244,B00695,Client_C,60,20006.0,2025-03-12,CLOSED
A000245,B00073,Client_C,180,29826.0,2024-07-07,ACTIVE
A000246,B00588,Client_C,30,31746.0,2024-09-14,ACTIVE
A000247,B00104,Client_B,75,28981.0,2024-10-22,CLOSED
A000248,B01999,Client_B,75,23345.0,2024-11-03,CLOSED
A000249,B00071,Client_A,90,11467.0,2024-08-04,ACTIVE
A000250,B02309,Client_C,90,22452.0,2025-01-30,CLOSED
A000251,B02132,Client_B,45,24133.0,2026-03-23,CLOSED
A000252,B01475,Client_A,75,18879.0,2025-04-19,WRITTEN_OFF
A000253,B00392,Client_C,60,46971.0,2024-10-24,CLOSED
A000254,B02433,Client_A,120,13024.0,2025-01-27,ACTIVE
A000255,B00249,Client_B,150,26734.0,2024-05-20,ACTIVE
A000256,B00024,Client_A,60,20545.0,2025-02-28,ACTIVE
A000257,B01585,Client_C,120,22131.0,2026-02-03,ACTIVE
A000258,B01889,Client_A,30,26273.0,2024-04-22,ACTIVE
A000259,B02597,Client_D,75,5797.0,2024-04-25,CLOSED
A000260,B00719,Client_C,90,18993.0,2026-03-04,ACTIVE
A000261,B00195,Client_A,60,14718.0,2025-10-15,ACTIVE
A000262,B01293,Client_C,90,28466.0,2025-10-18,CLOSED
A000263,B01787,Client_A,90,40611.0,2024-03-14,ACTIVE
A000264,B02765,Client_A,120,20294.0,2025-02-09,ACTIVE
A000265,B02791,Client_C,180,25862.0,2024-01-14,ACTIVE
A000266,B00498,Client_B,30,30600.0,2025-01-04,ACTIVE
A000267,B01468,Client_B,120,17732.0,2026-05-21,ACTIVE
A000268,B02798,Client_A,30,29850.0,2025-10-09,WRITTEN_OFF
A000269,B00500,Client_C,45,19508.0,2024-09-04,ACTIVE
A000270,B01610,Client_C,30,50959.0,2024-06-06,ACTIVE
A000271,B02315,Client_D,90,23852.0,2026-04-19,ACTIVE
A000272,B01559,Client_A,75,28565.0,2025-01-22,ACTIVE
A000273,B01719,Client_B,15,41288.0,2025-09-01,ACTIVE
A000274,B02237,Client_B,60,16153.0,2025-12-01,ACTIVE
A000275,B01847,Client_B,75,34558.0,2025-01-17,ACTIVE
A000276,B00099,Client_B,30,14349.0,2024-07-19,ACTIVE
A000277,B00252,Client_A,75,19815.0,2026-02-19,ACTIVE
A000278,B02380,Client_A,90,65332.0,2024-05-17,CLOSED
A000279,B01742,Client_B,90,23444.0,2025-10-12,CLOSED
A000280,B00692,Client_C,90,36587.0,2025-02-17,CLOSED
A000281,B01212,Client_A,60,20740.0,2024-04-24,ACTIVE
A000282,B02544,Client_C,45,7353.0,2025-05-03,ACTIVE
A000283,B02248,Client_D,45,45516.0,2025-07-23,ACTIVE
A000284,B02924,Client_B,120,81978.0,2025-07-23,ACTIVE
A000285,B01768,Client_A,60,28444.0,2024-11-24,ACTIVE
A000286,B00758,Client_C,150,42022.0,2024-10-14,CLOSED
A000287,B02469,Client_A,75,25727.0,2025-11-08,CLOSED
A000288,B02128,Client_D,45,13404.0,2024-03-24,ACTIVE
A000289,B02423,Client_C,90,12565.0,2026-02-07,WRITTEN_OFF
A000290,B01736,Client_A,75,86783.0,2024-10-24,ACTIVE
A000291,B00377,Client_B,45,15931.0,2024-07-20,ACTIVE
A000292,B02007,Client_A,150,3904.0,2024-07-20,ACTIVE
A000293,B00769,Client_A,60,55670.0,2025-01-27,ACTIVE
A000294,B01685,Client_B,90,10694.0,2025-07-20,ACTIVE
A000295,B00306,Client_B,90,43318.0,2024-06-09,CLOSED
A000296,B01399,Client_C,90,34330.0,2026-04-27,ACTIVE
A000297,B01754,Client_A,150,29217.0,2024-03-10,ACTIVE
A000298,B00724,Client_B,90,15658.0,2025-02-16,ACTIVE
A000299,B02981,Client_D,60,26395.0,2024-01-27,ACTIVE
A000300,B00206,Client_A,30,22458.0,2024-04-22,CLOSED
A000301,B00164,Client_B,150,18957.0,2024-01-29,ACTIVE
A000302,B01252,Client_B,120,12680.0,2024-05-28,ACTIVE
A000303,B00170,Client_C,90,15979.0,2024-03-28,ACTIVE
A000304,B02847,Client_A,75,20289.0,2024-01-09,ACTIVE
A000305,B02648,Client_D,90,4228.0,2024-12-30,ACTIVE
A000306,B02762,Client_B,30,46832.0,2026-05-26,ACTIVE
A000307,B00646,Client_A,120,23986.0,2026-01-30,ACTIVE
A000308,B02281,Client_A,60,8259.0,2024-07-02,WRITTEN_OFF
A000309,B01024,Client_C,30,42961.0,2025-01-08,ACTIVE
A000310,B02700,Client_A,15,45420.0,2024-05-27,ACTIVE
A000311,B02605,Client_B,15,31481.0,2024-12-04,ACTIVE
A000312,B00905,Client_A,120,18027.0,2025-10-10,ACTIVE
A000313,B02721,Client_C,150,21735.0,2024-04-08,ACTIVE
A000314,B00340,Client_B,30,35078.0,2025-03-30,ACTIVE
A000315,B00424,Client_D,75,23689.0,2025-07-22,WRITTEN_OFF
A000316,B01835,Client_A,75,20528.0,2024-07-16,ACTIVE
A000317,B01279,Client_B,90,93260.0,2025-11-17,ACTIVE
A000318,B01741,Client_A,120,75950.0,2025-04-20,ACTIVE
A000319,B01934,Client_B,180,20867.0,2026-03-25,ACTIVE
A000320,B01177,Client_C,60,20030.0,2025-12-25,ACTIVE
A000321,B02169,Client_B,150,12863.0,2025-04-30,ACTIVE
A000322,B00644,Client_C,75,30946.0,2024-11-24,ACTIVE
A000323,B01999,Client_A,75,24736.0,2025-04-29,ACTIVE
A000324,B00869,Client_D,75,36724.0,2024-02-15,WRITTEN_OFF
A000325,B00357,Client_A,60,26560.0,2026-04-22,ACTIVE
A000326,B02285,Client_B,120,39318.0,2025-09-01,ACTIVE
A000327,B00932,Client_B,90,15000.0,2025-03-15,ACTIVE
A000328,B01259,Client_A,75,17213.0,2026-03-04,ACTIVE
A000329,B00499,Client_D,45,43687.0,2025-05-09,ACTIVE
A000330,B02477,Client_B,15,25028.0,2024-08-10,ACTIVE
A000331,B01463,Client_D,45,18023.0,2026-02-02,ACTIVE
A000332,B02686,Client_D,30,16725.0,2026-05-26,ACTIVE
A000333,B00201,Client_A,30,7904.0,2026-01-28,ACTIVE
A000334,B02964,Client_B,15,32527.0,2026-04-12,ACTIVE
A000335,B00852,Client_A,150,27949.0,2025-08-01,ACTIVE
A000336,B00632,Client_C,75,33452.0,2025-01-02,ACTIVE
A000337,B02246,Client_B,15,32328.0,2026-02-06,CLOSED
A000338,B00025,Client_B,60,23045.0,2026-03-10,CLOSED
A000339,B01795,Client_B,120,34703.0,2024-11-13,ACTIVE
A000340,B00638,Client_B,60,18015.0,2025-08-31,ACTIVE
A000341,B01133,Client_C,75,16030.0,2024-05-30,WRITTEN_OFF
A000342,B00323,Client_B,180,49823.0,2024-02-06,ACTIVE
A000343,B00300,Client_B,75,33440.0,2024-10-31,ACTIVE
A000344,B00210,Client_A,30,38342.0,2024-06-01,ACTIVE
A000345,B02312,Client_C,45,19431.0,2025-06-06,ACTIVE
A000346,B02724,Client_A,75,11625.0,2025-07-28,ACTIVE
A000347,B02731,Client_C,60,50352.0,2024-09-24,ACTIVE
A000348,B01750,Client_A,45,25148.0,2024-04-09,ACTIVE
A000349,B00697,Client_B,45,35886.0,2025-04-27,CLOSED
A000350,B02625,Client_C,60,6615.0,2025-12-29,ACTIVE
A000351,B01415,Client_C,45,14379.0,2025-10-02,CLOSED
A000352,B01408,Client_B,60,27380.0,2024-06-18,ACTIVE
A000353,B01426,Client_A,30,28175.0,2024-04-18,ACTIVE
A000354,B02992,Client_B,90,15302.0,2026-05-12,ACTIVE
A000355,B01535,Client_C,90,18433.0,2024-12-27,ACTIVE
A000356,B01144,Client_A,75,10739.0,2025-11-03,ACTIVE
A000357,B02488,Client_A,150,15489.0,2025-05-22,ACTIVE
A000358,B02349,Client_A,60,27751.0,2025-03-05,ACTIVE
A000359,B02122,Client_C,150,17089.0,2024-12-21,ACTIVE
A000360,B01207,Client_B,45,14753.0,2026-04-10,ACTIVE
A000361,B02454,Client_A,180,62806.0,2025-08-13,ACTIVE
A000362,B02256,Client_B,45,23365.0,2025-12-01,ACTIVE
A000363,B02809,Client_B,15,14623.0,2024-10-22,WRITTEN_OFF
A000364,B02671,Client_D,75,90007.0,2025-08-22,ACTIVE
A000365,B01740,Client_B,60,23315.0,2024-07-22,WRITTEN_OFF
A000366,B00502,Client_B,45,15147.0,2024-10-24,ACTIVE
A000367,B01868,Client_C,45,44376.0,2026-05-18,ACTIVE
A000368,B02675,Client_B,120,13914.0,2024-10-15,ACTIVE
A000369,B01105,Client_B,60,21175.0,2026-04-15,CLOSED
A000370,B02507,Client_C,15,27663.0,2024-07-30,ACTIVE
A000371,B00068,Client_C,75,13581.0,2025-07-09,ACTIVE
A000372,B01876,Client_B,90,17203.0,2025-09-04,ACTIVE
A000373,B00854,Client_A,60,20210.0,2025-03-12,ACTIVE
A000374,B02164,Client_B,60,18674.0,2025-09-14,WRITTEN_OFF
A000375,B00852,Client_D,45,20772.0,2024-06-25,ACTIVE
A000376,B01969,Client_A,75,26225.0,2025-04-14,ACTIVE
A000377,B00151,Client_D,45,24287.0,2024-03-22,ACTIVE
A000378,B02394,Client_C,120,30572.0,2026-03-09,ACTIVE
A000379,B02436,Client_A,30,23734.0,2024-03-06,ACTIVE
A000380,B01079,Client_C,45,25517.0,2025-06-29,ACTIVE
A000381,B00752,Client_A,120,46329.0,2025-07-21,CLOSED
A000382,B01664,Client_B,60,10686.0,2026-04-29,ACTIVE
A000383,B02647,Client_A,150,39128.0,2026-01-10,WRITTEN_OFF
A000384,B01594,Client_A,150,5463.0,2025-08-15,ACTIVE
A000385,B02136,Client_C,60,47634.0,2026-02-14,ACTIVE
A000386,B00790,Client_B,45,14060.0,2025-12-05,ACTIVE
A000387,B02757,Client_A,75,44008.0,2024-05-21,ACTIVE
A000388,B02278,Client_A,75,73374.0,2024-06-06,ACTIVE
A000389,B02671,Client_B,60,28559.0,2025-03-20,ACTIVE
A000390,B01817,Client_D,30,9912.0,2025-01-11,ACTIVE
A000391,B00174,Client_C,45,29476.0,2025-05-26,ACTIVE
A000392,B02769,Client_C,120,3786.0,2025-10-18,CLOSED
A000393,B00579,Client_D,75,11658.0,2024-09-29,ACTIVE
A000394,B01578,Client_C,150,17431.0,2024-05-13,ACTIVE
A000395,B02442,Client_B,60,28223.0,2024-01-04,ACTIVE
A000396,B02549,Client_C,60,63386.0,2025-06-24,CLOSED
A000397,B01276,Client_B,60,54256.0,2025-05-08,ACTIVE
A000398,B00745,Client_D,75,20849.0,2025-12-20,ACTIVE
A000399,B01368,Client_A,60,18858.0,2025-10-29,ACTIVE
A000400,B02448,Client_C,60,11541.0,2025-06-14,ACTIVE
A000401,B01782,Client_A,15,21266.0,2025-05-24,ACTIVE
A000402,B00647,Client_A,60,26131.0,2024-03-18,ACTIVE
A000403,B01304,Client_B,75,9369.0,2024-11-14,ACTIVE
A000404,B00943,Client_B,75,12396.0,2025-11-12,ACTIVE
A000405,B02966,Client_B,75,20708.0,2025-04-05,ACTIVE
A000406,B00442,Client_B,75,20838.0,2024-08-25,ACTIVE
A000407,B02221,Client_A,60,24530.0,2026-01-13,ACTIVE
A000408,B02434,Client_B,60,23832.0,2024-01-22,ACTIVE
