disposition_id,call_id,raw_disposition_code,disposition_timestamp
DISP000000128,CALL00000128,NA,2026-04-17 15:21:00
DISP000000129,CALL00000129,NA,2026-05-06 22:16:00
DISP000000130,CALL00000130,NO_ANSWER,2026-02-13 20:34:00
DISP000000131,CALL00000131,NA,2026-06-16 07:21:00
DISP000000132,CALL00000132,NA,2026-04-10 14:52:00
DISP000000133,CALL00000133,PTP,2026-03-05 09:24:00
DISP000000134,CALL00000134,PTP,2026-03-22 16:05:00
DISP000000135,CALL00000135,BUSY,2026-04-07 21:07:00
DISP000000136,CALL00000136,BUSY,2026-05-11 16:19:00
DISP000000137,CALL00000137,CONNECTED,2026-05-27 22:12:00
DISP000000138,CALL00000138,NA,2026-08-14 20:56:00
DISP000000139,CALL00000139,CONNECTED,2026-04-17 19:48:00
DISP000000140,CALL00000140,NO_ANSWER,2025-11-08 14:40:00
DISP000000141,CALL00000141,NA,2026-05-01 18:04:00
DISP000000142,CALL00000142,NA,2026-04-22 16:41:00
DISP000000143,CALL00000143,WRONG_PARTY,2025-10-05 16:28:00
DISP000000144,CALL00000144,WRONG_NUMBER,2026-07-08 09:15:00
DISP000000145,CALL00000145,ANSWERED,2026-03-24 23:59:00
DISP000000146,CALL00000146,WRONG_PARTY,2026-03-27 22:43:00
DISP000000147,CALL00000147,WRONG_PARTY,2026-02-01 17:54:00
DISP000000148,CALL00000148,ANSWERED,2025-10-09 22:57:00
DISP000000149,CALL00000149,ANSWERED,2025-10-04 06:17:00
DISP000000150,CALL00000150,ANSWERED,2026-01-21 07:43:00
DISP000000151,CALL00000151,ANSWERED,2026-02-12 06:43:00
DISP000000152,CALL00000152,WRONG_PARTY,2025-09-24 09:57:00
DISP000000153,CALL00000153,BUSY,2025-09-27 07:41:00
DISP000000154,CALL00000154,PTP,2025-10-01 18:43:00
DISP000000155,CALL00000155,BUSY,2025-10-27 16:13:00
DISP000000156,CALL00000156,ANSWERED,2025-11-10 12:40:00
DISP000000157,CALL00000157,NO_ANSWER,2025-11-22 15:39:00
DISP000000158,CALL00000158,BUSY,2026-03-21 14:01:00
DISP000000159,CALL00000159,ANSWERED,2026-03-01 16:41:00
DISP000000160,CALL00000160,CONNECTED,2026-06-08 17:08:00
DISP000000161,CALL00000161,NA,2026-08-06 16:31:00
DISP000000162,CALL00000162,CONNECTED,2026-04-25 20:39:00
DISP000000163,CALL00000163,NO_ANSWER,2025-09-20 17:00:00
DISP000000164,CALL00000164,NO_ANSWER,2025-12-24 20:36:00
DISP000000165,CALL00000165,NO_ANSWER,2025-12-01 15:48:00
DISP000000166,CALL00000166,ANSWERED,2025-11-10 06:20:00
DISP000000167,CALL00000167,NA,2026-07-26 11:41:00
DISP000000168,CALL00000168,CONNECTED,2026-06-23 22:46:00
DISP000000169,CALL00000169,NA,2026-05-01 12:16:00
DISP000000170,CALL00000170,CONNECTED,2026-04-23 08:17:00
DISP000000171,CALL00000171,BUSY,2026-03-16 08:54:00
DISP000000172,CALL00000172,WRONG_NUMBER,2026-05-04 18:22:00
DISP000000173,CALL00000173,BUSY,2026-07-08 06:31:00
DISP000000174,CALL00000174,CONNECTED,2026-07-17 08:26:00
DISP000000175,CALL00000175,ANSWERED,2025-09-24 17:21:00
DISP000000176,CALL00000176,WRONG_PARTY,2025-11-11 12:42:00
DISP000000177,CALL00000177,NO_ANSWER,2025-11-11 09:15:00
DISP000000178,CALL00000178,NA,2026-06-12 06:58:00
DISP000000179,CALL00000179,NA,2026-04-05 19:25:00
DISP000000180,CALL00000180,NA,2026-08-20 15:29:00
DISP000000181,CALL00000181,ANSWERED,2025-12-26 09:13:00
DISP000000182,CALL00000182,CONNECTED,2026-05-18 10:58:00
DISP000000183,CALL00000183,WRONG_PARTY,2025-09-10 22:49:00
DISP000000184,CALL00000184,ANSWERED,2025-11-25 15:22:00
DISP000000185,CALL00000185,NA,2026-06-16 23:29:00
DISP000000186,CALL00000186,BUSY,2026-02-07 13:24:00
DISP000000187,CALL00000187,CONNECTED,2026-07-07 14:03:00
DISP000000188,CALL00000188,CONNECTED,2026-06-25 21:28:00
DISP000000189,CALL00000189,BUSY,2026-08-11 15:46:00
DISP000000190,CALL00000190,WRONG_PARTY,2026-01-12 07:21:00
DISP000000191,CALL00000191,ANSWERED,2026-02-22 20:27:00
DISP000000192,CALL00000192,ANSWERED,2026-02-14 11:48:00
DISP000000193,CALL00000193,NO_ANSWER,2025-11-16 16:29:00
DISP000000194,CALL00000194,NO_ANSWER,2025-10-04 18:34:00
DISP000000195,CALL00000195,NO_ANSWER,2026-03-03 20:11:00
DISP000000196,CALL00000196,NA,2026-08-01 14:08:00
DISP000000197,CALL00000197,ANSWERED,2026-01-15 10:06:00
DISP000000198,CALL00000198,NO_ANSWER,2026-03-24 19:19:00
DISP000000199,CALL00000199,NA,2026-08-11 14:47:00
DISP000000200,CALL00000200,PTP,2026-01-19 08:26:00
DISP000000201,CALL00000201,NO_ANSWER,2025-09-21 15:30:00
DISP000000202,CALL00000202,NA,2026-07-18 15:31:00
DISP000000203,CALL00000203,NO_ANSWER,2025-10-14 14:46:00
DISP000000204,CALL00000204,NA,2026-07-01 17:40:00
DISP000000205,CALL00000205,NO_ANSWER,2026-03-23 11:50:00
DISP000000206,CALL00000206,BUSY,2026-02-03 19:50:00
DISP000000207,CALL00000207,NA,2026-04-08 17:29:00
DISP000000208,CALL00000208,CONNECTED,2026-05-12 15:48:00
DISP000000209,CALL00000209,ANSWERED,2026-01-27 12:19:00
DISP000000210,CALL00000210,NO_ANSWER,2025-11-19 22:48:00
DISP000000211,CALL00000211,NO_ANSWER,2025-09-11 16:48:00
DISP000000212,CALL00000212,NO_ANSWER,2025-12-24 12:09:00
DISP000000213,CALL00000213,NO_ANSWER,2026-01-22 14:42:00
DISP000000214,CALL00000214,NA,2026-05-18 06:23:00
DISP000000215,CALL00000215,NO_ANSWER,2026-02-05 17:36:00
DISP000000216,CALL00000216,NO_ANSWER,2025-12-26 14:31:00
DISP000000217,CALL00000217,WRONG_NUMBER,2026-04-26 11:25:00
DISP000000218,CALL00000218,ANSWERED,2025-10-04 23:17:00
DISP000000219,CALL00000219,WRONG_PARTY,2025-10-10 14:39:00
DISP000000220,CALL00000220,ANSWERED,2026-01-03 19:34:00
DISP000000221,CALL00000221,NO_ANSWER,2025-11-01 11:37:00
DISP000000222,CALL00000222,BUSY,2025-12-27 16:56:00
DISP000000223,CALL00000223,NO_ANSWER,2025-09-05 16:56:00
DISP000000224,CALL00000224,ANSWERED,2025-12-26 12:47:00
DISP000000225,CALL00000225,NO_ANSWER,2025-09-22 21:47:00
DISP000000226,CALL00000226,ANSWERED,2025-11-05 11:31:00
DISP000000227,CALL00000227,ANSWERED,2025-10-24 23:54:00
DISP000000228,CALL00000228,ANSWERED,2026-01-03 19:59:00
DISP000000229,CALL00000229,ANSWERED,2025-11-14 09:09:00
DISP000000230,CALL00000230,NO_ANSWER,2026-02-03 20:19:00
DISP000000231,CALL00000231,ANSWERED,2025-09-14 22:47:00
DISP000000232,CALL00000232,BUSY,2026-05-01 17:19:00
DISP000000233,CALL00000233,NA,2026-08-08 13:19:00
DISP000000234,CALL00000234,NA,2026-07-17 17:20:00
DISP000000235,CALL00000235,NO_ANSWER,2026-01-11 15:53:00
DISP000000236,CALL00000236,WRONG_NUMBER,2026-06-26 19:25:00
DISP000000237,CALL00000237,NO_ANSWER,2025-09-10 07:54:00
DISP000000238,CALL00000238,ANSWERED,2026-03-10 06:35:00
DISP000000239,CALL00000239,PTP,2025-10-16 22:25:00
DISP000000240,CALL00000240,WRONG_NUMBER,2026-08-08 21:52:00
DISP000000241,CALL00000241,WRONG_PARTY,2025-12-24 06:58:00
DISP000000242,CALL00000242,NO_ANSWER,2026-01-03 17:32:00
DISP000000243,CALL00000243,BUSY,2026-08-21 07:34:00
DISP000000244,CALL00000244,BUSY,2025-11-25 16:11:00
DISP000000245,CALL00000245,WRONG_NUMBER,2026-08-17 13:44:00
DISP000000246,CALL00000246,PTP,2025-12-26 21:57:00
DISP000000247,CALL00000247,NO_ANSWER,2025-11-02 10:36:00
DISP000000248,CALL00000248,PROMISE,2026-07-09 18:57:00
DISP000000249,CALL00000249,NO_ANSWER,2026-02-05 08:18:00
DISP000000250,CALL00000250,ANSWERED,2025-11-06 17:41:00
DISP000000251,CALL00000251,CONNECTED,2026-07-12 21:32:00
DISP000000252,CALL00000252,ANSWERED,2025-10-26 09:19:00
DISP000000253,CALL00000253,BUSY,2026-08-08 07:00:00
DISP000000254,CALL00000254,NA,2026-08-22 06:13:00
DISP000000255,CALL00000255,NA,2026-04-25 07:35:00
DISP000000256,CALL00000256,NA,2026-06-22 15:51:00
DISP000000257,CALL00000257,WRONG_PARTY,2026-01-06 13:28:00
DISP000000258,CALL00000258,BUSY,2026-05-25 12:21:00
DISP000000259,CALL00000259,NA,2026-07-11 23:31:00
DISP000000260,CALL00000260,NO_ANSWER,2025-09-24 21:26:00
DISP000000261,CALL00000261,NO_ANSWER,2026-03-20 20:48:00
DISP000000262,CALL00000262,NO_ANSWER,2025-11-24 15:09:00
DISP000000263,CALL00000263,NA,2026-05-22 08:45:00
DISP000000264,CALL00000264,BUSY,2025-09-07 13:59:00
DISP000000265,CALL00000265,WRONG_PARTY,2026-01-01 08:05:00
DISP000000266,CALL00000266,BUSY,2026-08-10 07:03:00
DISP000000267,CALL00000267,CONNECTED,2026-08-15 15:15:00
DISP000000268,CALL00000268,NA,2026-04-01 08:32:00
DISP000000269,CALL00000269,WRONG_PARTY,2025-09-22 17:01:00
DISP000000270,CALL00000270,BUSY,2026-02-04 15:46:00
DISP000000271,CALL00000271,NO_ANSWER,2025-11-27 06:41:00
DISP000000272,CALL00000272,WRONG_NUMBER,2026-08-11 14:42:00
DISP000000273,CALL00000273,NO_ANSWER,2026-02-25 08:26:00
DISP000000274,CALL00000274,BUSY,2026-05-10 19:13:00
DISP000000275,CALL00000275,NA,2026-08-07 14:29:00
DISP000000276,CALL00000276,BUSY,2026-03-23 11:47:00
DISP000000277,CALL00000277,NA,2026-08-17 09:06:00
DISP000000278,CALL00000278,NA,2026-06-13 18:33:00
DISP000000279,CALL00000279,WRONG_NUMBER,2026-05-07 18:10:00
DISP000000280,CALL00000280,CONNECTED,2026-07-26 20:20:00
DISP000000281,CALL00000281,NO_ANSWER,2025-12-09 16:18:00
DISP000000282,CALL00000282,NA,2026-08-11 21:17:00
DISP000000283,CALL00000283,NA,2026-06-13 12:47:00
DISP000000284,CALL00000284,NA,2026-04-08 21:16:00
DISP000000285,CALL00000285,NO_ANSWER,2025-12-03 06:21:00
DISP000000286,CALL00000286,ANSWERED,2026-02-18 14:02:00
DISP000000287,CALL00000287,NA,2026-07-25 18:14:00
DISP000000288,CALL00000288,CONNECTED,2026-05-09 08:19:00
DISP000000289,CALL00000289,PROMISE,2026-05-07 13:17:00
DISP000000290,CALL00000290,NO_ANSWER,2026-01-26 09:15:00
DISP000000291,CALL00000291,ANSWERED,2025-10-13 19:59:00
DISP000000292,CALL00000292,WRONG_PARTY,2025-11-09 11:54:00
DISP000000293,CALL00000293,ANSWERED,2026-01-26 17:25:00
DISP000000294,CALL00000294,NO_ANSWER,2025-12-08 17:06:00
DISP000000295,CALL00000295,NO_ANSWER,2025-11-03 14:02:00
DISP000000296,CALL00000296,ANSWERED,2026-01-20 15:35:00
DISP000000297,CALL00000297,BUSY,2026-07-24 09:35:00
DISP000000298,CALL00000298,BUSY,2026-05-26 16:48:00
DISP000000299,CALL00000299,NO_ANSWER,2025-09-03 19:32:00
DISP000000300,CALL00000300,WRONG_PARTY,2026-02-05 06:16:00
DISP000000301,CALL00000301,NO_ANSWER,2025-09-25 15:04:00
DISP000000302,CALL00000302,PTP,2025-11-08 11:56:00
DISP000000303,CALL00000303,ANSWERED,2026-02-27 17:52:00
DISP000000304,CALL00000304,NA,2026-04-26 17:22:00
DISP000000305,CALL00000305,ANSWERED,2025-09-27 23:27:00
DISP000000306,CALL00000306,CONNECTED,2026-07-14 13:48:00
DISP000000307,CALL00000307,ANSWERED,2025-10-09 11:30:00
DISP000000308,CALL00000308,BUSY,2026-06-17 07:43:00
DISP000000309,CALL00000309,ANSWERED,2026-01-26 20:37:00
DISP000000310,CALL00000310,WRONG_NUMBER,2026-04-14 17:09:00
DISP000000311,CALL00000311,WRONG_NUMBER,2026-08-10 20:39:00
DISP000000312,CALL00000312,PTP,2026-01-01 12:32:00
DISP000000313,CALL00000313,PTP,2026-01-25 20:19:00
DISP000000314,CALL00000314,NA,2026-06-18 17:10:00
DISP000000315,CALL00000315,BUSY,2026-07-20 18:10:00
DISP000000316,CALL00000316,WRONG_NUMBER,2026-06-07 12:05:00
DISP000000317,CALL00000317,BUSY,2025-09-12 17:39:00
DISP000000318,CALL00000318,PTP,2025-09-02 23:10:00
DISP000000319,CALL00000319,WRONG_PARTY,2025-11-18 14:07:00
DISP000000320,CALL00000320,CONNECTED,2026-06-19 15:05:00
DISP000000321,CALL00000321,NA,2026-07-12 11:32:00
DISP000000322,CALL00000322,ANSWERED,2026-02-18 20:19:00
DISP000000323,CALL00000323,NO_ANSWER,2025-11-01 23:04:00
DISP000000324,CALL00000324,NO_ANSWER,2025-10-16 13:19:00
DISP000000325,CALL00000325,WRONG_PARTY,2026-03-25 17:10:00
DISP000000326,CALL00000326,NO_ANSWER,2026-01-20 17:15:00
DISP000000327,CALL00000327,CONNECTED,2026-07-17 06:49:00
DISP000000328,CALL00000328,NO_ANSWER,2025-09-04 12:07:00
DISP000000329,CALL00000329,CONNECTED,2026-08-08 16:41:00
DISP000000330,CALL00000330,ANSWERED,2025-12-21 13:14:00
DISP000000331,CALL00000331,NO_ANSWER,2026-02-04 21:03:00
DISP000000332,CALL00000332,CONNECTED,2026-04-12 20:35:00
DISP000000333,CALL00000333,NO_ANSWER,2026-02-18 16:27:00
DISP000000334,CALL00000334,NA,2026-06-13 10:51:00
DISP000000335,CALL00000335,NA,2026-07-13 23:42:00
DISP000000336,CALL00000336,PROMISE,2026-05-18 13:17:00
DISP000000337,CALL00000337,BUSY,2025-12-10 21:57:00
DISP000000338,CALL00000338,NA,2026-05-15 16:02:00
DISP000000339,CALL00000339,CONNECTED,2026-05-05 13:51:00
DISP000000340,CALL00000340,ANSWERED,2026-02-12 14:27:00
DISP000000341,CALL00000341,WRONG_PARTY,2025-10-21 14:46:00
DISP000000342,CALL00000342,CONNECTED,2026-04-07 19:03:00
DISP000000343,CALL00000343,NO_ANSWER,2025-12-19 14:56:00
DISP000000344,CALL00000344,ANSWERED,2025-10-12 08:31:00
DISP000000345,CALL00000345,NO_ANSWER,2025-11-27 07:23:00
DISP000000346,CALL00000346,WRONG_PARTY,2025-12-14 09:05:00
DISP000000347,CALL00000347,WRONG_PARTY,2026-02-21 08:45:00
DISP000000348,CALL00000348,PTP,2026-03-07 16:10:00
DISP000000349,CALL00000349,CONNECTED,2026-06-26 21:26:00
DISP000000350,CALL00000350,NO_ANSWER,2025-11-24 14:33:00
DISP000000351,CALL00000351,NO_ANSWER,2026-01-04 09:38:00
DISP000000352,CALL00000352,ANSWERED,2025-11-14 17:19:00
DISP000000353,CALL00000353,NA,2026-07-09 11:45:00
DISP000000354,CALL00000354,ANSWERED,2025-12-09 12:34:00
DISP000000355,CALL00000355,BUSY,2026-05-15 08:20:00
DISP000000356,CALL00000356,NA,2026-04-26 19:50:00
DISP000000357,CALL00000357,NA,2026-04-17 21:29:00
DISP000000358,CALL00000358,ANSWERED,2025-09-19 20:46:00
DISP000000359,CALL00000359,NO_ANSWER,2026-03-13 13:40:00
DISP000000360,CALL00000360,WRONG_PARTY,2025-10-11 07:22:00
DISP000000361,CALL00000361,NO_ANSWER,2025-11-21 11:11:00
DISP000000362,CALL00000362,NO_ANSWER,2025-09-02 22:14:00
DISP000000363,CALL00000363,NA,2026-05-22 19:34:00
DISP000000364,CALL00000364,NO_ANSWER,2026-02-04 22:02:00
DISP000000365,CALL00000365,CONNECTED,2026-04-25 12:56:00
DISP000000366,CALL00000366,BUSY,2026-02-03 11:58:00
DISP000000367,CALL00000367,BUSY,2026-05-16 12:08:00
DISP000000368,CALL00000368,NA,2026-04-01 18:21:00
DISP000000369,CALL00000369,NO_ANSWER,2026-03-25 07:06:00
DISP000000370,CALL00000370,CONNECTED,2026-04-22 18:55:00
DISP000000371,CALL00000371,PROMISE,2026-06-19 13:22:00
DISP000000372,CALL00000372,ANSWERED,2025-10-08 22:29:00
DISP000000373,CALL00000373,NA,2026-06-26 15:30:00
DISP000000374,CALL00000374,BUSY,2026-05-03 07:30:00
DISP000000375,CALL00000375,CONNECTED,2026-04-06 14:14:00
DISP000000376,CALL00000376,NO_ANSWER,2026-01-08 08:42:00
DISP000000377,CALL00000377,NO_ANSWER,2026-02-21 17:03:00
DISP000000378,CALL00000378,NO_ANSWER,2025-12-09 20:23:00
DISP000000379,CALL00000379,WRONG_PARTY,2026-01-07 19:49:00
DISP000000380,CALL00000380,NO_ANSWER,2026-02-16 14:32:00
DISP000000381,CALL00000381,NA,2026-08-22 12:09:00
DISP000000382,CALL00000382,NO_ANSWER,2025-09-13 23:27:00
DISP000000383,CALL00000383,NO_ANSWER,2025-11-04 07:11:00
DISP000000384,CALL00000384,NA,2026-08-11 14:08:00
DISP000000385,CALL00000385,ANSWERED,2025-10-24 08:36:00
DISP000000386,CALL00000386,NA,2026-08-21 16:56:00
DISP000000387,CALL00000387,WRONG_NUMBER,2026-08-13 08:20:00
DISP000000388,CALL00000388,WRONG_PARTY,2025-10-26 14:36:00
DISP000000389,CALL00000389,BUSY,2025-12-27 16:19:00
DISP000000390,CALL00000390,NA,2026-07-20 06:37:00
DISP000000391,CALL00000391,ANSWERED,2025-10-05 06:45:00
DISP000000392,CALL00000392,NO_ANSWER,2025-10-12 06:03:00
DISP000000393,CALL00000393,ANSWERED,2025-12-25 10:14:00
DISP000000394,CALL00000394,ANSWERED,2025-10-25 23:37:00
DISP000000395,CALL00000395,NO_ANSWER,2025-12-27 08:36:00
DISP000000396,CALL00000396,NO_ANSWER,2025-10-19 20:16:00
DISP000000397,CALL00000397,ANSWERED,2025-11-02 08:46:00
DISP000000398,CALL00000398,CONNECTED,2026-07-25 21:38:00
DISP000000399,CALL00000399,NA,2026-05-02 19:42:00
DISP000000400,CALL00000400,WRONG_NUMBER,2026-04-11 07:07:00
DISP000000401,CALL00000401,CONNECTED,2026-05-02 21:21:00
DISP000000402,CALL00000402,PTP,2026-01-06 09:07:00
DISP000000403,CALL00000403,BUSY,2026-02-10 07:01:00
DISP000000404,CALL00000404,WRONG_PARTY,2026-02-22 19:18:00
DISP000000405,CALL00000405,CONNECTED,2026-04-12 22:28:00
DISP000000406,CALL00000406,NO_ANSWER,2025-09-18 16:18:00
DISP000000407,CALL00000407,NO_ANSWER,2025-11-08 22:19:00
DISP000000408,CALL00000408,WRONG_PARTY,2025-10-11 07:54:00
DISP000000409,CALL00000409,NA,2026-08-20 20:06:00
DISP000000410,CALL00000410,NO_ANSWER,2026-02-06 11:58:00
DISP000000411,CALL00000411,BUSY,2026-07-04 18:24:00
DISP000000412,CALL00000412,WRONG_PARTY,2025-12-20 19:35:00
DISP000000413,CALL00000413,ANSWERED,2026-01-25 09:56:00
