borrower_id,client,geography,language,borrower_segment,income_band
B00040,Client_A,North,Bengali,Self_Employed,40K-70K
B00041,Client_B,West,English,Self_Employed,>70K
B00042,Client_B,North,English,Self_Employed,<20K
B00043,Client_C,East,Hindi,Salaried,20K-40K
B00044,Client_B,West,Hindi,Informal,20K-40K
B00045,Client_B,East,Bengali,Salaried,40K-70K
B00046,Client_C,West,Bengali,Self_Employed,>70K
B00047,Client_B,South,Hindi,Salaried,>70K
B00048,Client_D,East,Hindi,Self_Employed,20K-40K
B00049,Client_A,West,Bengali,Salaried,20K-40K
B00050,Client_C,East,Telugu,Self_Employed,40K-70K
B00051,Client_B,North,Hindi,Salaried,40K-70K
B00052,Client_B,North,Hindi,Salaried,20K-40K
B00053,Client_B,North,Tamil,Self_Employed,20K-40K
B00054,Client_B,South,Telugu,Salaried,40K-70K
B00055,Client_B,South,Bengali,Informal,>70K
B00056,Client_A,North,Bengali,Self_Employed,<20K
B00057,Client_A,East,English,Salaried,>70K
B00058,Client_C,East,Tamil,Informal,20K-40K
B00059,Client_B,South,Bengali,Salaried,>70K
B00060,Client_C,North,English,Informal,<20K
B00061,Client_D,South,Telugu,Salaried,<20K
B00062,Client_C,South,Telugu,Self_Employed,<20K
B00063,Client_A,North,Hindi,Self_Employed,40K-70K
B00064,Client_A,North,Tamil,Salaried,20K-40K
B00065,Client_B,West,English,Informal,40K-70K
B00066,Client_A,South,Bengali,Informal,20K-40K
B00067,Client_D,East,Telugu,Salaried,40K-70K
B00068,Client_D,North,English,Self_Employed,40K-70K
B00069,Client_C,East,Tamil,Salaried,<20K
B00070,Client_B,North,Bengali,Informal,<20K
B00071,Client_C,North,Bengali,Salaried,<20K
B00072,Client_A,East,Tamil,Self_Employed,20K-40K
B00073,Client_A,North,Hindi,Salaried,20K-40K
B00074,Client_B,North,Tamil,Self_Employed,>70K
B00075,Client_C,West,English,Self_Employed,20K-40K
B00076,Client_B,North,English,Salaried,20K-40K
B00077,Client_A,North,Telugu,Salaried,40K-70K
B00078,Client_A,East,Bengali,Salaried,<20K
B00079,Client_A,East,English,Salaried,40K-70K
B00080,Client_A,North,Tamil,Salaried,<20K
B00081,Client_A,West,Bengali,Salaried,>70K
B00082,Client_B,East,Bengali,Self_Employed,>70K
B00083,Client_B,North,Tamil,Self_Employed,<20K
B00084,Client_C,South,Bengali,Informal,>70K
B00085,Client_C,East,Bengali,Salaried,<20K
B00086,Client_B,North,Tamil,Self_Employed,40K-70K
B00087,Client_B,North,Tamil,Salaried,20K-40K
B00088,Client_C,South,English,Salaried,<20K
B00089,Client_D,East,Telugu,Salaried,20K-40K
B00090,Client_C,North,Bengali,Salaried,20K-40K
B00091,Client_C,North,Telugu,Self_Employed,<20K
B00092,Client_D,West,Hindi,Salaried,<20K
B00093,Client_A,South,Hindi,Self_Employed,20K-40K
B00094,Client_D,West,English,Self_Employed,40K-70K
B00095,Client_A,North,Telugu,Self_Employed,>70K
B00096,Client_B,East,Bengali,Self_Employed,>70K
B00097,Client_C,South,Tamil,Salaried,>70K
B00098,Client_C,West,Tamil,Informal,40K-70K
B00099,Client_A,East,Hindi,Self_Employed,40K-70K
B00100,Client_C,East,Bengali,Informal,<20K
B00101,Client_A,North,Telugu,Self_Employed,>70K
B00102,Client_B,West,Telugu,Salaried,>70K
B00103,Client_C,East,Tamil,Self_Employed,40K-70K
B00104,Client_B,East,Telugu,Self_Employed,20K-40K
B00105,Client_B,West,Tamil,Informal,>70K
B00106,Client_C,South,English,Self_Employed,40K-70K
B00107,Client_C,East,Tamil,Salaried,40K-70K
B00108,Client_C,East,Telugu,Salaried,>70K
B00109,Client_A,East,Bengali,Self_Employed,<20K
B00110,Client_B,North,Tamil,Self_Employed,40K-70K
B00111,Client_B,North,English,Self_Employed,40K-70K
B00112,Client_A,East,Tamil,Self_Employed,40K-70K
B00113,Client_B,South,Hindi,Salaried,40K-70K
B00114,Client_B,East,Bengali,Informal,>70K
B00115,Client_C,North,Hindi,Salaried,<20K
B00116,Client_D,North,Telugu,Salaried,<20K
B00117,Client_A,North,Hindi,Salaried,20K-40K
B00118,Client_A,West,Telugu,Salaried,40K-70K
B00119,Client_C,South,Hindi,Self_Employed,40K-70K
B00120,Client_A,North,Telugu,Self_Employed,20K-40K
B00121,Client_A,South,Tamil,Salaried,>70K
B00122,Client_B,South,Hindi,Salaried,>70K
B00123,Client_A,North,Tamil,Self_Employed,<20K
B00124,Client_C,South,Hindi,Informal,20K-40K
B00125,Client_D,South,Tamil,Self_Employed,20K-40K
B00126,Client_A,North,Tamil,Self_Employed,20K-40K
B00127,Client_B,West,English,Informal,>70K
B00128,Client_C,West,Hindi,Salaried,40K-70K
B00129,Client_D,North,Hindi,Salaried,40K-70K
B00130,Client_A,East,Tamil,Informal,<20K
B00131,Client_A,South,Hindi,Self_Employed,20K-40K
B00132,Client_D,South,Telugu,Salaried,<20K
B00133,Client_D,West,Hindi,Informal,40K-70K
B00134,Client_A,West,Tamil,Salaried,>70K
B00135,Client_B,North,Telugu,Informal,<20K
B00136,Client_C,South,English,Self_Employed,20K-40K
B00137,Client_C,South,Bengali,Salaried,>70K
B00138,Client_A,West,Hindi,Informal,>70K
B00139,Client_C,East,Hindi,Salaried,40K-70K
B00140,Client_C,West,English,Salaried,<20K
B00141,Client_B,East,Bengali,Informal,40K-70K
B00142,Client_A,North,Telugu,Salaried,>70K
B00143,Client_A,South,Tamil,Self_Employed,<20K
B00144,Client_A,South,English,Self_Employed,40K-70K
B00145,Client_C,South,Hindi,Salaried,40K-70K
B00146,Client_A,East,English,Salaried,>70K
B00147,Client_A,North,Bengali,Salaried,<20K
B00148,Client_B,North,Telugu,Salaried,>70K
B00149,Client_A,West,Hindi,Self_Employed,40K-70K
B00150,Client_A,South,English,Informal,<20K
B00151,Client_A,East,English,Informal,<20K
B00152,Client_B,North,Hindi,Self_Employed,40K-70K
B00153,Client_C,North,Tamil,Self_Employed,20K-40K
B00154,Client_B,North,English,Self_Employed,<20K
B00155,Client_A,North,Hindi,Self_Employed,>70K
B00156,Client_A,South,Bengali,Salaried,<20K
B00157,Client_B,West,Telugu,Salaried,40K-70K
B00158,Client_D,South,English,Salaried,>70K
B00159,Client_D,East,Tamil,Self_Employed,20K-40K
B00160,Client_A,North,Tamil,Salaried,>70K
B00161,Client_A,East,Telugu,Salaried,<20K
B00162,Client_C,North,English,Self_Employed,40K-70K
B00163,Client_D,North,Telugu,Self_Employed,<20K
B00164,Client_B,North,English,Informal,>70K
B00165,Client_C,North,Bengali,Salaried,40K-70K
B00166,Client_D,North,English,Salaried,<20K
B00167,Client_B,West,English,Informal,<20K
B00168,Client_D,North,Tamil,Salaried,>70K
B00169,Client_A,West,Telugu,Self_Employed,40K-70K
B00170,Client_A,South,Hindi,Self_Employed,<20K
B00171,Client_A,South,Bengali,Informal,>70K
B00172,Client_A,West,Hindi,Informal,<20K
B00173,Client_D,West,Bengali,Self_Employed,>70K
B00174,Client_A,North,English,Informal,40K-70K
B00175,Client_C,East,Tamil,Salaried,<20K
B00176,Client_A,East,Hindi,Self_Employed,40K-70K
B00177,Client_B,South,Telugu,Self_Employed,40K-70K
B00178,Client_B,West,Tamil,Salaried,20K-40K
B00179,Client_A,North,Tamil,Informal,>70K
B00180,Client_B,West,Telugu,Salaried,20K-40K
B00181,Client_B,North,Bengali,Salaried,<20K
B00182,Client_A,East,Bengali,Salaried,20K-40K
B00183,Client_C,South,Tamil,Salaried,>70K
B00184,Client_A,East,English,Informal,<20K
B00185,Client_A,North,Telugu,Self_Employed,40K-70K
B00186,Client_B,East,Bengali,Self_Employed,>70K
B00187,Client_B,North,English,Salaried,<20K
B00188,Client_A,West,Telugu,Informal,<20K
B00189,Client_D,South,Tamil,Informal,40K-70K
B00190,Client_C,South,Bengali,Self_Employed,<20K
B00191,Client_A,West,Bengali,Informal,<20K
B00192,Client_B,West,Tamil,Salaried,>70K
B00193,Client_A,West,English,Self_Employed,20K-40K
B00194,Client_B,South,Tamil,Salaried,<20K
B00195,Client_A,South,Hindi,Self_Employed,<20K
B00196,Client_B,South,Hindi,Informal,<20K
B00197,Client_D,West,Tamil,Self_Employed,20K-40K
B00198,Client_B,West,Bengali,Salaried,>70K
B00199,Client_C,North,English,Self_Employed,<20K
B00200,Client_B,West,English,Salaried,<20K
B00201,Client_C,West,Telugu,Self_Employed,20K-40K
B00202,Client_A,West,Hindi,Self_Employed,>70K
B00203,Client_C,East,Bengali,Salaried,20K-40K
B00204,Client_D,North,English,Salaried,40K-70K
B00205,Client_B,East,Telugu,Salaried,40K-70K
B00206,Client_A,West,Tamil,Salaried,20K-40K
B00207,Client_C,North,Bengali,Salaried,<20K
B00208,Client_C,East,Telugu,Self_Employed,<20K
B00209,Client_C,South,Hindi,Salaried,>70K
B00210,Client_A,West,Tamil,Informal,>70K
B00211,Client_D,West,Telugu,Salaried,20K-40K
B00212,Client_D,West,Tamil,Salaried,20K-40K
B00213,Client_B,South,Bengali,Salaried,40K-70K
B00214,Client_B,South,Hindi,Salaried,>70K
B00215,Client_A,South,Bengali,Self_Employed,40K-70K
B00216,Client_D,North,Hindi,Self_Employed,<20K
B00217,Client_C,North,Bengali,Self_Employed,<20K
B00218,Client_B,East,English,Informal,<20K
B00219,Client_C,South,Telugu,Self_Employed,<20K
B00220,Client_A,West,Hindi,Salaried,<20K
B00221,Client_A,North,Bengali,Salaried,>70K
B00222,Client_A,East,English,Self_Employed,40K-70K
B00223,Client_B,East,English,Salaried,20K-40K
B00224,Client_A,West,Bengali,Self_Employed,40K-70K
B00225,Client_D,West,Telugu,Salaried,40K-70K
B00226,Client_B,West,Tamil,Self_Employed,20K-40K
B00227,Client_B,West,English,Informal,>70K
B00228,Client_A,South,Hindi,Self_Employed,>70K
B00229,Client_C,North,Bengali,Self_Employed,<20K
B00230,Client_C,West,Telugu,Self_Employed,20K-40K
B00231,Client_B,West,Bengali,Salaried,<20K
B00232,Client_A,South,English,Self_Employed,>70K
B00233,Client_C,East,Telugu,Salaried,>70K
B00234,Client_A,East,Tamil,Salaried,20K-40K
B00235,Client_C,North,Hindi,Self_Employed,>70K
B00236,Client_B,North,Tamil,Informal,<20K
B00237,Client_A,North,English,Salaried,40K-70K
B00238,Client_B,East,Telugu,Self_Employed,20K-40K
B00239,Client_B,West,Hindi,Self_Employed,<20K
B00240,Client_A,South,Telugu,Self_Employed,20K-40K
B00241,Client_C,South,Telugu,Salaried,40K-70K
B00242,Client_B,West,Tamil,Salaried,20K-40K
B00243,Client_D,South,English,Salaried,40K-70K
B00244,Client_C,West,Hindi,Self_Employed,20K-40K
B00245,Client_A,North,Tamil,Salaried,>70K
B00246,Client_B,North,Bengali,Self_Employed,20K-40K
B00247,Client_A,North,Hindi,Salaried,40K-70K
B00248,Client_C,North,Telugu,Self_Employed,40K-70K
B00249,Client_B,West,Tamil,Self_Employed,40K-70K
B00250,Client_B,North,Hindi,Salaried,20K-40K
B00251,Client_D,South,Bengali,Informal,20K-40K
B00252,Client_A,South,English,Self_Employed,40K-70K
B00253,Client_B,South,Tamil,Informal,40K-70K
B00254,Client_A,East,Hindi,Informal,40K-70K
B00255,Client_A,South,English,Self_Employed,40K-70K
B00256,Client_C,North,English,Salaried,>70K
B00257,Client_B,South,Tamil,Informal,20K-40K
B00258,Client_D,East,Telugu,Informal,40K-70K
B00259,Client_B,West,Telugu,Informal,20K-40K
B00260,Client_A,South,Telugu,Self_Employed,<20K
B00261,Client_D,West,Telugu,Self_Employed,20K-40K
B00262,Client_A,North,Telugu,Informal,<20K
B00263,Client_A,North,English,Self_Employed,20K-40K
B00264,Client_C,North,Tamil,Salaried,40K-70K
B00265,Client_B,North,Telugu,Self_Employed,40K-70K
B00266,Client_B,West,English,Self_Employed,40K-70K
B00267,Client_D,North,English,Informal,<20K
B00268,Client_A,North,English,Salaried,<20K
B00269,Client_D,North,Bengali,Informal,<20K
B00270,Client_B,North,Bengali,Informal,20K-40K
B00271,Client_A,South,Telugu,Salaried,<20K
B00272,Client_A,West,Bengali,Salaried,>70K
B00273,Client_A,East,English,Salaried,20K-40K
B00274,Client_D,North,Hindi,Salaried,40K-70K
B00275,Client_B,East,Tamil,Self_Employed,20K-40K
B00276,Client_A,North,Telugu,Salaried,40K-70K
B00277,Client_A,East,Telugu,Self_Employed,20K-40K
B00278,Client_D,East,Hindi,Salaried,20K-40K
B00279,Client_A,West,Tamil,Informal,>70K
B00280,Client_C,North,English,Self_Employed,>70K
B00281,Client_A,South,Hindi,Self_Employed,20K-40K
B00282,Client_D,West,Bengali,Salaried,<20K
B00283,Client_B,West,English,Informal,40K-70K
B00284,Client_A,South,Hindi,Salaried,40K-70K
B00285,Client_D,East,Hindi,Self_Employed,<20K
B00286,Client_B,South,Tamil,Salaried,<20K
B00287,Client_C,West,Hindi,Self_Employed,<20K
B00288,Client_B,East,English,Informal,40K-70K
B00289,Client_A,West,Tamil,Salaried,40K-70K
B00290,Client_A,South,Hindi,Salaried,<20K
B00291,Client_A,North,Telugu,Self_Employed,20K-40K
B00292,Client_A,South,Telugu,Salaried,<20K
B00293,Client_A,West,English,Self_Employed,20K-40K
B00294,Client_A,North,English,Self_Employed,<20K
B00295,Client_D,North,Bengali,Informal,20K-40K
B00296,Client_A,West,Tamil,Salaried,>70K
B00297,Client_B,North,Hindi,Salaried,>70K
B00298,Client_A,South,Tamil,Salaried,>70K
B00299,Client_A,South,Telugu,Self_Employed,40K-70K
B00300,Client_C,North,Hindi,Salaried,>70K
B00301,Client_D,North,English,Salaried,20K-40K
B00302,Client_B,North,English,Salaried,<20K
B00303,Client_A,North,Telugu,Salaried,>70K
B00304,Client_D,West,Hindi,Salaried,40K-70K
B00305,Client_A,West,English,Salaried,<20K
B00306,Client_B,East,Telugu,Salaried,20K-40K
B00307,Client_B,East,Bengali,Informal,40K-70K
B00308,Client_D,West,English,Self_Employed,<20K
B00309,Client_C,North,Hindi,Self_Employed,>70K
B00310,Client_B,South,English,Self_Employed,>70K
B00311,Client_B,South,Tamil,Self_Employed,>70K
B00312,Client_C,East,Tamil,Self_Employed,<20K
B00313,Client_D,South,Telugu,Salaried,>70K
B00314,Client_D,North,Bengali,Salaried,40K-70K
B00315,Client_C,South,Tamil,Salaried,20K-40K
B00316,Client_A,North,English,Informal,>70K
B00317,Client_A,East,Tamil,Salaried,>70K
B00318,Client_B,South,Hindi,Salaried,>70K
B00319,Client_B,South,Tamil,Self_Employed,<20K
B00320,Client_C,South,Bengali,Informal,20K-40K
B00321,Client_A,North,Telugu,Salaried,20K-40K
B00322,Client_C,North,Telugu,Self_Employed,40K-70K
B00323,Client_B,North,English,Salaried,20K-40K
B00324,Client_C,North,Tamil,Salaried,20K-40K
B00325,Client_A,East,English,Self_Employed,20K-40K
B00326,Client_B,South,Telugu,Salaried,20K-40K
B00327,Client_A,North,Tamil,Salaried,>70K
B00328,Client_A,North,Hindi,Salaried,>70K
B00329,Client_D,East,Tamil,Salaried,>70K
B00330,Client_A,North,Hindi,Salaried,20K-40K
B00331,Client_D,North,Telugu,Salaried,40K-70K
B00332,Client_B,East,Tamil,Salaried,<20K
B00333,Client_A,East,Telugu,Salaried,>70K
B00334,Client_C,South,Hindi,Self_Employed,<20K
B00335,Client_A,South,Hindi,Informal,<20K
B00336,Client_C,West,Tamil,Self_Employed,>70K
B00337,Client_A,West,Telugu,Self_Employed,20K-40K
B00338,Client_C,West,English,Self_Employed,40K-70K
B00339,Client_A,East,Hindi,Salaried,>70K
B00340,Client_A,North,Telugu,Salaried,>70K
B00341,Client_D,East,Hindi,Salaried,40K-70K
B00342,Client_B,West,Telugu,Salaried,20K-40K
B00343,Client_C,East,English,Self_Employed,20K-40K
B00344,Client_C,West,Telugu,Self_Employed,40K-70K
B00345,Client_A,East,Tamil,Salaried,20K-40K
B00346,Client_C,West,English,Self_Employed,<20K
B00347,Client_D,West,Telugu,Salaried,40K-70K
B00348,Client_A,North,Telugu,Salaried,20K-40K
B00349,Client_B,North,Bengali,Salaried,>70K
B00350,Client_A,East,Tamil,Salaried,40K-70K
B00351,Client_C,West,Telugu,Salaried,40K-70K
B00352,Client_A,West,Tamil,Salaried,20K-40K
B00353,Client_B,North,Bengali,Self_Employed,20K-40K
B00354,Client_C,West,Bengali,Informal,20K-40K
B00355,Client_C,East,Tamil,Informal,40K-70K
B00356,Client_A,North,Hindi,Informal,>70K
B00357,Client_C,West,Bengali,Informal,40K-70K
B00358,Client_A,East,Bengali,Salaried,<20K
B00359,Client_C,West,Tamil,Informal,40K-70K
B00360,Client_B,East,Tamil,Salaried,20K-40K
B00361,Client_A,East,Bengali,Self_Employed,<20K
B00362,Client_C,West,English,Salaried,<20K
B00363,Client_C,North,English,Self_Employed,40K-70K
B00364,Client_C,East,Telugu,Informal,20K-40K
B00365,Client_D,South,Tamil,Informal,20K-40K
B00366,Client_A,North,English,Self_Employed,<20K
B00367,Client_A,North,Hindi,Self_Employed,>70K
B00368,Client_A,North,Bengali,Informal,20K-40K
B00369,Client_B,West,Bengali,Self_Employed,20K-40K
B00370,Client_B,West,Hindi,Self_Employed,40K-70K
B00371,Client_B,East,Bengali,Self_Employed,>70K
B00372,Client_B,East,English,Self_Employed,40K-70K
B00373,Client_A,West,Tamil,Salaried,20K-40K
B00374,Client_A,East,Hindi,Self_Employed,>70K
B00375,Client_B,North,English,Self_Employed,40K-70K
B00376,Client_A,West,Tamil,Self_Employed,>70K
B00377,Client_B,West,Hindi,Self_Employed,>70K
B00378,Client_D,South,English,Self_Employed,<20K
B00379,Client_A,West,Tamil,Informal,40K-70K
B00380,Client_B,West,Telugu,Self_Employed,>70K
B00381,Client_B,South,Tamil,Informal,40K-70K
B00382,Client_A,East,English,Salaried,40K-70K
B00383,Client_B,East,Telugu,Self_Employed,<20K
B00384,Client_D,East,Tamil,Self_Employed,40K-70K
B00385,Client_A,East,Tamil,Informal,40K-70K
B00386,Client_C,South,Telugu,Salaried,40K-70K
B00387,Client_C,North,Telugu,Self_Employed,<20K
B00388,Client_B,East,Bengali,Self_Employed,>70K
B00389,Client_D,South,Telugu,Informal,20K-40K
B00390,Client_B,North,Hindi,Informal,20K-40K
B00391,Client_B,North,Bengali,Informal,40K-70K
B00392,Client_C,West,Telugu,Salaried,20K-40K
B00393,Client_B,East,Hindi,Informal,>70K
B00394,Client_C,South,Hindi,Self_Employed,20K-40K
B00395,Client_A,East,Hindi,Salaried,40K-70K
B00396,Client_D,West,Bengali,Self_Employed,>70K
B00397,Client_B,East,Telugu,Salaried,40K-70K
B00398,Client_A,East,Hindi,Salaried,20K-40K
B00399,Client_B,West,English,Self_Employed,<20K
B00400,Client_D,East,English,Salaried,<20K
B00401,Client_C,South,Tamil,Self_Employed,<20K
B00402,Client_B,North,Bengali,Self_Employed,<20K
B00403,Client_B,West,Tamil,Informal,<20K
B00404,Client_B,South,Telugu,Self_Employed,40K-70K
B00405,Client_D,North,Telugu,Self_Employed,40K-70K
B00406,Client_A,West,Tamil,Self_Employed,20K-40K
B00407,Client_D,East,English,Informal,<20K
B00408,Client_D,North,Bengali,Informal,<20K
B00409,Client_A,East,Hindi,Salaried,>70K
B00410,Client_A,West,English,Informal,>70K
B00411,Client_B,West,English,Self_Employed,<20K
B00412,Client_C,West,English,Self_Employed,>70K
B00413,Client_D,East,English,Self_Employed,<20K
B00414,Client_D,North,Telugu,Salaried,<20K
B00415,Client_A,North,Tamil,Salaried,20K-40K
B00416,Client_A,North,English,Salaried,20K-40K
B00417,Client_B,East,Tamil,Informal,>70K
B00418,Client_B,South,Tamil,Salaried,20K-40K
B00419,Client_C,West,Hindi,Self_Employed,20K-40K
B00420,Client_A,East,Hindi,Salaried,40K-70K
B00421,Client_B,West,Bengali,Informal,>70K
B00422,Client_D,East,Hindi,Informal,>70K
B00423,Client_D,North,Hindi,Salaried,20K-40K
B00424,Client_D,North,Tamil,Salaried,40K-70K
B00425,Client_D,South,Telugu,Informal,>70K
B00426,Client_D,East,Hindi,Self_Employed,40K-70K
B00427,Client_A,West,Bengali,Self_Employed,40K-70K
B00428,Client_D,South,English,Salaried,<20K
B00429,Client_A,West,English,Salaried,40K-70K
B00430,Client_A,West,English,Salaried,40K-70K
B00431,Client_B,North,English,Informal,40K-70K
B00432,Client_D,East,Tamil,Salaried,40K-70K
B00433,Client_B,East,Tamil,Self_Employed,<20K
B00434,Client_B,West,Hindi,Salaried,40K-70K
B00435,Client_B,West,Hindi,Self_Employed,20K-40K
B00436,Client_D,South,English,Self_Employed,20K-40K
B00437,Client_C,West,Bengali,Self_Employed,20K-40K
B00438,Client_A,East,Bengali,Informal,<20K
B00439,Client_A,North,English,Self_Employed,40K-70K
B00440,Client_B,East,Bengali,Self_Employed,<20K
B00441,Client_A,North,English,Self_Employed,<20K
B00442,Client_B,East,Hindi,Salaried,>70K
B00443,Client_A,East,Bengali,Salaried,20K-40K
B00444,Client_B,North,English,Self_Employed,<20K
B00445,Client_D,South,English,Self_Employed,40K-70K
B00446,Client_C,South,Telugu,Informal,40K-70K
B00447,Client_A,East,Hindi,Self_Employed,<20K
B00448,Client_A,South,Telugu,Self_Employed,20K-40K
B00449,Client_B,West,Hindi,Salaried,20K-40K
B00450,Client_B,North,English,Self_Employed,>70K
B00451,Client_B,South,Telugu,Self_Employed,<20K
B00452,Client_A,South,Telugu,Self_Employed,>70K
B00453,Client_A,South,English,Salaried,<20K
B00454,Client_A,East,Telugu,Self_Employed,<20K
B00455,Client_D,North,Hindi,Self_Employed,20K-40K
B00456,Client_C,North,Tamil,Informal,20K-40K
B00457,Client_B,North,Telugu,Self_Employed,40K-70K
B00458,Client_C,West,Bengali,Self_Employed,40K-70K
B00459,Client_B,North,Bengali,Salaried,40K-70K
B00460,Client_B,West,Bengali,Self_Employed,20K-40K
B00461,Client_B,East,Bengali,Informal,>70K
B00462,Client_B,West,Bengali,Informal,>70K
B00463,Client_D,South,Bengali,Self_Employed,>70K
B00464,Client_C,North,Tamil,Salaried,20K-40K
B00465,Client_C,West,English,Self_Employed,20K-40K
B00466,Client_A,West,English,Informal,>70K
B00467,Client_B,South,Telugu,Salaried,>70K
B00468,Client_B,West,Bengali,Self_Employed,20K-40K
B00469,Client_A,South,Tamil,Self_Employed,<20K
B00470,Client_B,West,Tamil,Salaried,20K-40K
B00471,Client_A,South,Tamil,Self_Employed,20K-40K
B00472,Client_A,South,English,Self_Employed,40K-70K
B00473,Client_C,East,Hindi,Informal,<20K
B00474,Client_C,South,English,Salaried,40K-70K
B00475,Client_C,West,Bengali,Informal,40K-70K
B00476,Client_A,West,English,Self_Employed,>70K
B00477,Client_A,West,Telugu,Salaried,<20K
B00478,Client_A,North,Bengali,Salaried,40K-70K
B00479,Client_A,North,Telugu,Salaried,20K-40K
B00480,Client_A,North,Bengali,Self_Employed,<20K
B00481,Client_D,South,Tamil,Self_Employed,>70K
B00482,Client_D,South,Tamil,Salaried,20K-40K
B00483,Client_A,South,Bengali,Informal,>70K
B00484,Client_A,North,Hindi,Salaried,20K-40K
B00485,Client_D,North,Tamil,Salaried,40K-70K
B00486,Client_B,North,English,Informal,<20K
B00487,Client_B,South,Tamil,Self_Employed,>70K
B00488,Client_B,South,Tamil,Salaried,<20K
B00489,Client_A,South,Telugu,Self_Employed,40K-70K
B00490,Client_B,South,Telugu,Salaried,<20K
B00491,Client_C,East,English,Salaried,<20K
B00492,Client_B,East,English,Salaried,20K-40K
B00493,Client_C,West,English,Self_Employed,40K-70K
B00494,Client_A,West,Hindi,Self_Employed,>70K
B00495,Client_B,South,Tamil,Salaried,>70K
B00496,Client_D,North,Telugu,Salaried,>70K
B00497,Client_A,East,Hindi,Self_Employed,>70K
B00498,Client_B,East,Bengali,Self_Employed,<20K
B00499,Client_B,South,Telugu,Self_Employed,>70K
B00500,Client_A,South,Hindi,Salaried,40K-70K
B00501,Client_D,North,Telugu,Informal,<20K
B00502,Client_B,East,Tamil,Salaried,40K-70K
B00503,Client_B,West,Telugu,Salaried,40K-70K
B00504,Client_D,South,Bengali,Salaried,<20K
B00505,Client_A,East,Hindi,Informal,40K-70K
B00506,Client_D,South,Hindi,Self_Employed,40K-70K
B00507,Client_A,West,English,Self_Employed,<20K
B00508,Client_B,East,English,Informal,>70K
B00509,Client_B,North,Tamil,Salaried,<20K
B00510,Client_B,South,English,Salaried,>70K
B00511,Client_A,South,Telugu,Informal,40K-70K
B00512,Client_A,West,Bengali,Self_Employed,<20K
B00513,Client_B,South,Bengali,Self_Employed,40K-70K
B00514,Client_D,North,Tamil,Salaried,20K-40K
B00515,Client_D,South,Hindi,Salaried,>70K
B00516,Client_B,South,Hindi,Salaried,20K-40K
B00517,Client_D,South,Tamil,Self_Employed,>70K
B00518,Client_D,North,Hindi,Self_Employed,40K-70K
B00519,Client_B,South,Bengali,Salaried,>70K
B00520,Client_A,South,Telugu,Self_Employed,<20K
B00521,Client_B,West,Hindi,Salaried,>70K
B00522,Client_A,North,English,Informal,40K-70K
B00523,Client_A,East,Hindi,Self_Employed,20K-40K
B00524,Client_D,North,English,Salaried,20K-40K
B00525,Client_D,East,Telugu,Salaried,20K-40K
B00526,Client_B,East,Tamil,Informal,40K-70K
B00527,Client_B,South,Tamil,Self_Employed,20K-40K
B00528,Client_C,South,Bengali,Salaried,<20K
B00529,Client_D,West,Hindi,Self_Employed,>70K
B00530,Client_B,West,Hindi,Salaried,>70K
B00531,Client_B,North,Bengali,Salaried,>70K
B00532,Client_A,North,Bengali,Salaried,>70K
B00533,Client_A,South,English,Self_Employed,>70K
B00534,Client_B,South,English,Salaried,<20K
B00535,Client_A,North,Bengali,Salaried,40K-70K
B00536,Client_A,East,Telugu,Informal,<20K
